time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,0.3268737872473849,0.19878064060414694,0.0,2.237774556703158e-09,-2.8943050754397415e-07,-3.700662051147473e-07,0.002052716976671977,7.691036383629453e-10,-9.615420983414005e-10,-7.755920170841246e-11,0.0,0.0,0.0
0.01,0.3351673069719699,0.19612626706567135,0.0,2.7836230658382324e-09,-9.924372618039499e-08,-1.272870203408889e-07,0.0019166201539262287,-5.950263990972373e-10,-2.6246362390209866e-09,-7.102420830031529e-11,0.0027552189965462,0.0,0.0
0.02,0.34259837265218646,0.19380810952877447,0.0,3.1668608951270243e-09,1.5297465546623867e-07,1.9474391157626442e-07,0.0017314667241883155,-2.259001785389932e-09,-4.442449821953776e-09,-5.4851563203081837e-11,0.0055097513347562,0.0,0.0
0.03,0.34872582465721746,0.19208857535595303,0.0,3.3013255801169898e-09,4.5586338947824737e-07,5.815340746829351e-07,0.0014697574141786809,-4.118523951149531e-09,-6.254678607679848e-09,-2.825155562170088e-11,0.0082629105274234,0.0,0.0
0.04,0.3532078066767269,0.19115809255408162,0.0,3.105360777058827e-09,7.893886092714016e-07,1.0075143514948538e-06,0.0010987934323211897,-6.019609539949541e-09,-7.858639749392275e-09,8.61975525197316e-12,0.0110140104295578,0.0,0.0
0.05,0.35579654461506827,0.19111821520362166,0.0,2.5120900355501243e-09,1.1247416244963545e-06,1.4359064911224657e-06,0.0005889178259845727,-7.762357880068011e-09,-9.020405390995144e-09,5.442418011949773e-11,0.0137623654093879,0.0,0.0
0.06,0.356333742479005,0.19197904218670053,0.0,1.480805526011023e-09,1.4251834394869013e-06,1.8197994115355328e-06,-7.742312454886079e-05,-9.110826526974599e-09,-9.492391312963436e-09,1.0647287462669601e-10,0.0165072905192344,0.0,0.0
0.07,0.35474833393682814,0.19366783803258433,0.0,8.506466546509979e-12,1.6479961817079295e-06,2.104639097149845e-06,-0.0008966595393127291,-9.809556917180627e-09,-9.037179465498088e-09,1.6066255391739237e-10,0.0192481016662133,0.0,0.0
0.08,0.35105713032051417,0.19604457385025878,0.0,-1.8596535368097508e-09,1.747621709892289e-06,2.2322348457748476e-06,-0.0018360774329152741,-9.606699303289498e-09,-7.45660185045066e-09,2.115516222466018e-10,0.0219841157827265,0.0,0.0
0.09,0.3453676516668261,0.19892060219382404,0.0,-4.022462712907285e-09,1.6799574074704438e-06,2.146243843061771e-06,-0.002827801541149533,-8.28293988572929e-09,-4.624268258917031e-09,2.526052957030708e-10,0.0247146509966967,0.0,0.0
0.1,0.3378813073111505,0.20207771974908972,0.0,-6.318850613329123e-09,1.4076426563740498e-06,1.7989217272039446e-06,-0.0037657626975054824,-5.684575122013252e-09,-5.188505428622195e-10,2.7662783493889573e-10,0.0274390268015036,0.0,0.0
0.11,0.32889430415946874,0.20528589621823937,0.0,-8.52971340351773e-09,9.060148439568703e-07,1.1587293070755741e-06,-0.004506529210526122,-1.758173867050166e-09,4.745368711199129e-09,2.7638409227845364e-10,0.030156564225581,0.0,0.0
0.12,0.3187933997865399,0.20831880718438547,0.0,-1.0386671338397246e-08,1.6925328574840823e-07,2.181806199777585e-07,-0.00487469168158488,3.416594771930036e-09,1.0894808244536616e-08,2.4539215209829953e-10,0.0328665860016304,0.0,0.0
0.13,0.3080440685108418,0.21096695034389348,0.0,-1.15886456385402e-08,-7.839205995239442e-07,-9.988741894368167e-07,-0.0046732108701841015,9.600104267348433e-09,1.7484230907949975e-08,1.7884496195603978e-10,0.0355684167354107,0.0,0.0
0.14,0.29716997570543885,0.2130485159428216,0.0,-1.1826511890149128e-08,-1.905738695348717e-06,-2.4314912774668184e-06,-0.0036987776269888444,1.6376467267121343e-08,2.3900128254114434e-08,7.459323880872065e-11,0.0382613830740598,0.0,0.0
0.15,0.2867248525968096,0.21441831961092658,0.0,-1.0815259444205383e-08,-3.1168979433992198e-06,-3.978449106299667e-06,-0.0017618032972437964,2.3152426728197432e-08,2.938369364487255e-08,-6.590303125646213e-11,0.040944813873909,0.0,0.0
0.16,0.27726018244447725,0.21497504007813606,0.0,-8.332099978067508e-09,-4.306905530804814e-06,-5.498681835982369e-06,0.0012898758088121572,2.9175640338401707e-08,3.30760877623819e-08,-2.367685548549703e-10,0.0436180403677457,0.0,0.0
0.17,0.26929277025295645,0.21466685332670862,0.0,-4.257890343469305e-09,-5.33797920209684e-06,-6.816252286058574e-06,0.0055452372598917025,3.3575530264679106e-08,3.408695088618839e-08,-4.27180654475739e-10,0.0462803963314842,0.0,0.0
0.18,0.2632741466365068,0.21349542059143267,0.0,1.3818398671578549e-09,-6.053023296968863e-06,-7.730530046385911e-06,0.011004880942683155,3.5428216012688045e-08,3.1584791545067684e-08,-6.212437065623834e-10,0.048931218250203,0.0,0.0
0.19,0.2595607713405791,0.21151803953443454,0.0,8.380916743896628e-09,-6.287888288801333e-06,-8.031840994990395e-06,0.017559963965914898,3.3844781710074307e-08,2.4905084961976096e-08,-7.983930737772537e-10,0.0515698454835062,0.0,0.0
0.2,0.25838384862935887,0.20884749779792405,0.0,1.63269560360014e-08,-5.887701796610793e-06,-7.522318489736949e-06,0.024979271363040664,2.807933783003917e-08,1.3668831047948431e-08,-9.344257157338234e-10,0.0541956204301694,0.0,0.0
0.21,0.25982120864399855,0.20564879768803618,0.0,2.459183199210037e-08,-4.726550174708285e-06,-6.041036684134177e-06,0.032908191608276044,1.7650190355131477e-08,-2.0987842094808648e-09,-1.0032111595480588e-09,0.0568078886920272,0.0,0.0
