time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.14,0.0609694331459759,0.036675768191622535,0.0,-2.1296493619997352e-11,-0.013543294667274863,-0.011965036986323875,-0.0017396592016288462,0.0,-1.8076289231263895e-10,-1.3110741260799704e-10,7.859726613003799e-12,0.0382613830740598,0.0,0.0
0.15,0.06096052273411476,0.03710058871722822,0.0,-1.4386737003931095e-11,-0.015750938432628123,-0.013916491497859784,-0.0015202527678321214,0.0,-1.9232268192247353e-10,-1.4282739358867895e-10,1.0929355988590386e-11,0.040944813873909,0.0,0.0
0.16,0.06096739526675824,0.03739744953923849,0.0,-4.026422224974483e-12,-0.01492260385740674,-0.01318585851455152,-0.0010530317156164902,0.0,-1.8563243901153253e-10,-1.4183503667047947e-10,1.3609031877610417e-11,0.0436180403677457,0.0,0.0
0.17,0.06102188485728562,0.03756112900845659,0.0,9.559846418730244e-12,-0.010913832825504332,-0.009645442884245143,-0.000313213638425213,0.0,-1.5653965303497075e-10,-1.2483066238123051e-10,1.5496671984035507e-11,0.0462803963314842,0.0,0.0
0.18,0.06115554188660831,0.03759498547367345,0.0,2.572908902512469e-11,-0.0037995618632328146,-0.003361353791724449,0.0007043427834387463,0.0,-1.02265001832713e-10,-8.940709047117731e-11,1.6170270942544024e-11,0.048931218250203,0.0,0.0
0.19,0.06140081107075906,0.037511283256891674,0.0,4.337910918559222e-11,0.006116537870613429,0.005398240359038599,0.001980535362826174,0.0,-2.2079230482609556e-11,-3.4556269531996215e-11,1.5229405313113434e-11,0.0515698454835062,0.0,0.0
0.2,0.061791453399740515,0.03733108128611343,0.0,6.09476782606049e-11,0.018303963103736026,0.01616478555139017,0.003469147312907926,0.0,8.206599829313542e-11,3.884352397721969e-11,1.2345475591205445e-11,0.0541956204301694,0.0,0.0
0.21,0.06236111659918145,0.03708352779874979,0.0,7.646257139447466e-11,0.03202238633922363,0.028284356734224976,0.0050965029051219975,0.0,2.0503566238072201e-10,1.276192156563784e-10,7.317451150317657e-12,0.0568078886920272,0.0,0.0
0.22,0.06313988349833095,0.03680440865000919,0.0,8.765054053895532e-11,0.04635774165015847,0.04094952319310647,0.006764348692297167,0.0,3.382275690403184e-10,2.2603965596927803e-10,1.2840564273369913e-13,0.0594059992370635,0.0,0.0
0.23,0.06414960525762001,0.0365338381241733,0.0,9.210893557714022e-11,0.06028051843427769,0.053250830758911884,0.008356437819388336,0.0,4.695973250607329e-10,3.2576570894658603e-10,-9.003221401295287e-12,0.0619893045616618,0.0,0.0
