time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.1,0.47065639253504,0.2833025137274041,0.0,-6.162937394965782e-09,2.4224347394301367e-06,3.0822904699046966e-06,-0.0054312994535432105,-1.0799025609967385e-08,-4.998371540777583e-09,0.0274390268015036,0.0,0.0
0.11,0.45821615095504814,0.2881155678529598,0.0,-8.480858308048482e-09,1.5870771906910949e-06,2.0518708427577244e-06,-0.0065000580884766535,-1.2152278734016952e-08,-4.443147702538898e-09,0.030156564225581,0.0,0.0
0.12,0.44421263502429154,0.29268131292713456,0.0,-1.0479014353703325e-08,3.5146083545652123e-07,5.172714798725054e-07,-0.007034169858884081,-1.25194297091646e-08,-3.245738829528839e-09,0.0328665860016304,0.0,0.0
0.13,0.4293195535611168,0.2967047540002468,0.0,-1.184980903584334e-08,-1.2546042074930989e-06,-1.4863807204916122e-06,-0.00675196288087311,-1.1595215819695546e-08,-1.3668213472121293e-09,0.0355684167354107,0.0,0.0
0.14,0.41429598815869734,0.29992909988953126,0.0,-1.2272785478551137e-08,-3.1521864290562293e-06,-3.862464796721579e-06,-0.005363359811237096,-9.135854403188533e-09,1.1678183576051566e-09,0.0382613830740598,0.0,0.0
0.15,0.39994510106707815,0.30214855811817914,0.0,-1.1446752434954195e-08,-5.208819636953809e-06,-6.447097492092298e-06,-0.002598493626911186,-5.0025972871026256e-09,4.25268209078468e-09,0.040944813873909,0.0,0.0
0.16,0.38706620825992244,0.30321884020673234,0.0,-9.12838871869634e-09,-7.23884904039246e-06,-9.009284936393268e-06,0.0017584427509391978,7.946925327655284e-10,7.692890551045287e-09,0.0436180403677457,0.0,0.0
0.17,0.37640601671589635,0.3030654707880882,0.0,-5.1747780969966615e-09,-9.009774904671481e-06,-1.1258565306855193e-05,0.00783250286097741,8.058773677003666e-09,1.1201843077965276e-08,0.0462803963314842,0.0,0.0
0.18,0.36861196306664473,0.30168979681670993,0.0,4.137930991834485e-10,-1.0255498268515978e-05,-1.2861303330557138e-05,0.01562220952456131,1.637666242653614e-08,1.4408432130769537e-08,0.048931218250203,0.0,0.0
0.19,0.36418652778502736,0.2991723784069314,0.0,7.455456361558306e-09,-1.0696849595997459e-05,-1.346614838375584e-05,0.024969765256132846,2.510761133342632e-08,1.6875574458808626e-08,0.0515698454835062,0.0,0.0
0.2,0.3634412949283091,0.295673060764368,0.0,1.5558245150333765e-08,-1.0069074879650804e-05,-1.2738287913159773e-05,0.035542954703399,3.339314854165366e-08,1.8131037213493676e-08,0.0541956204301694,0.0,0.0
0.21,0.3664547139696641,0.2914265090601391,0.0,2.410725425931113e-08,-8.155094022777688e-06,-1.0401052705695063e-05,0.04683409638482933,4.0193980672814763e-08,1.771043472396357e-08,0.0568078886920272,0.0,0.0
0.22,0.37304333497965975,0.2867316417673974,0.0,3.227310448860114e-08,-4.822387616459885e-06,-6.28222717974983e-06,0.05818028471546816,4.435686814503221e-08,1.521088719566751e-08,0.0594059992370635,0.0,0.0
0.23,0.3827570334868534,0.28193356719323837,0.0,3.9046487667145964e-08,-6.039036063258462e-08,-3.611855772959132e-07,0.06880759161996913,4.471208829510151e-08,1.0352244264770506e-08,0.0619893045616618,0.0,0.0
0.24,0.39490306193376995,0.27739744201279726,0.0,4.330195256907171e-08,5.98562422118941e-06,7.188157256957239e-06,0.07789984576901712,4.019887102613426e-08,3.0411057976168178e-09,0.064557160851977,0.0,0.0
0.25,0.4085950859387654,0.2734750226900677,0.0,4.3891693842642886e-08,1.298887065153611e-05,1.59644713757935e-05,0.084689701701037,3.00123848299427e-08,-6.568717034224012e-09,0.0671089281443874,0.0,0.0
0.26,0.4228169424818174,0.2704663599406157,0.0,3.9766979706044305e-08,2.042864268571052e-05,2.532256587799507e-05,0.08856549465237289,1.3761735994076328e-08,-1.8026967327337662e-08,0.0696439704849866,0.0,0.0
0.27,0.43649040633969444,0.26858092328301236,0.0,3.0121151678111166e-08,2.7596104316998224e-05,3.43796041589015e-05,0.08918160192460611,-8.375605230416273e-09,-3.0557411772934395e-08,0.0721616560880771,0.0,0.0
0.28,0.4485415395726573,0.2679042825755545,0.0,1.454410750267141e-08,3.362251951190792e-05,4.204936874252572e-05,0.08655322859526793,-3.5521053543991e-08,-4.305657725056909e-08,0.0746613574936239,0.0,0.0
0.29,0.4579670558531289,0.2683776754469597,0.0,-6.825802525574488e-09,3.753280556896163e-05,4.710829562025459e-05,0.0811115108824419,-6.600438391125647e-08,-5.4128477110839347e-08,0.0771424517236315,0.0,0.0
0.3,0.4639050660701377,0.2697968700010866,0.0,-3.317002243188426e-08,3.832525752220626e-05,4.829446894333567e-05,0.07369719318546605,-9.73368093216423e-08,-6.216112556344118e-08,0.0796043204374023,0.0,0.0
0.31,0.46571080857541897,0.27183270229504264,0.0,-6.289821025559699e-08,3.507561295039579e-05,4.443742726181205e-05,0.06548442316707948,-1.2626770993869947e-07,-6.544755479137355e-08,0.0820463500856406,0.0,0.0
0.32,0.4630302755626542,0.27407005108325005,0.0,-9.36177729741649e-08,2.7060433383841833e-05,3.461263560103207e-05,0.057845224584785644,-1.4894115376081675e-07,-6.23498370823076e-08,0.0844679320633616,0.0,0.0
0.33,0.45585891540437773,0.2760579591644437,0.0,-1.2218429175572047e-07,1.3891286544093987e-05,1.831009093949173e-05,0.052179188229350304,-1.6116159983349649e-07,-5.149943832846133e-08,0.0868684628615688,0.0,0.0
0.34,0.44457196329481735,0.27736266072201166,0.0,-1.4484893688707864e-07,-4.352269579224305e-06,-4.397865474166433e-06,0.049736531674084636,-1.5876857310853467e-07,-3.2021405834173484e-08,0.0892473442176609,0.0,0.0
0.35,0.4299161923432632,0.2776164343480049,0.0,-1.5751252274974335e-07,-2.700598528635708e-05,-3.270837122588434e-05,0.05145912588157239,-1.3810794597304558e-07,-3.763895300362816e-09,0.0916039832645315,0.0,0.0
0.36,0.41295776891366026,0.2765569340732892,0.0,-1.560866030884219e-07,-5.273782333444298e-05,-6.49812177708629e-05,0.057858421203797326,-9.65734199970194e-08,3.2491011844875246e-08,0.0939377926783239,0.0,0.0
0.37,0.3949866343469508,0.2740532735942508,0.0,-1.3695023108208798e-07,-7.951670753243133e-05,-9.869632827815645e-05,0.06894360024781432,-3.317692512815651e-08,7.486362319138883e-08,0.0962481908248045,0.0,0.0
0.38,0.3773845869841493,0.27011659142100936,0.0,-9.747733722506172e-08,-0.00010465049133134194,-0.0001304975067774803,0.08420783671697304,5.090763003781563e-08,1.202908959950153e-07,0.0985346019043186,0.0,0.0
0.39,0.3614721023960833,0.26489420291593624,0.0,-3.659511999444871e-08,-0.00012490749827379983,-0.0001563407424325264,0.10267488067357583,1.5189476948245637e-07,1.645490696089974e-07,0.1007964560952911,0.0,0.0
