time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,pos_flex,pos_dev,pos_pro
0.0,0.05070955529696789,0.030459356027268642,0.0,-7.106455028087223e-13,-7.372531767615297e-07,2.2042891730263324e-09,0.0008630573023334608,0.0,2.5835003466560386e-13,8.150284115945191e-13,0.0,0.0,0.0,0.0
0.01,0.0562192483134333,0.032336365720316444,0.0,-6.057693730416334e-13,0.013285623912829298,0.011739123935789426,0.0010167618633577509,0.0,6.395284401378706e-13,1.0929296267940728e-12,0.0,0.0027552189965462,0.0,0.0
0.02,0.06146724895221707,0.034244034651365086,0.0,-4.055126184236616e-13,0.025409295742823412,0.022450808319126027,0.0010978485165588463,0.0,1.051953462237918e-12,1.3240408946122138e-12,0.0,0.0055097513347562,0.0,0.0
0.03,0.06641649465146833,0.03623444731541657,0.0,-1.0652270737553188e-13,0.03537197552581033,0.03125300018391437,0.0010776597806318633,0.0,1.4582209986051073e-12,1.4701548401873068e-12,0.0,0.0082629105274234,0.0,0.0
0.04,0.07105018249784549,0.03834888873623904,0.0,2.8449127033115196e-13,0.04246589443568744,0.03752036697212982,0.0009311100162845366,0.0,1.811577572384539e-12,1.4922516667616652e-12,0.0,0.0110140104295578,0.0,0.0
0.05,0.07536239901815528,0.04061351689030121,0.0,7.48804572968461e-13,0.04633804969204035,0.04094105314818823,0.0006404629849507943,0.0,2.05860288165733e-12,1.354613026895539e-12,0.0,0.0137623654093879,0.0,0.0
0.06,0.07935264574798032,0.04303761681264193,0.0,1.2545325634680971e-12,0.0469907723340295,0.041517181076200955,0.00019932754424472373,0.0,2.1433520109297762e-12,1.029672851590115e-12,0.0,0.0165072905192344,0.0,0.0
0.07,0.08302382332389507,0.045613957905737156,0.0,1.7566404918242736e-12,0.04473269730124392,0.03952152692356473,-0.00038350457661492313,0.0,2.0128889834578924e-12,5.032642969834773e-13,0.0,0.0192481016662133,0.0,0.0
0.08,0.08638271063763718,0.048320561552621016,0.0,2.1984157630524765e-12,0.040099841549431976,0.0354277827542109,-0.001080835193557124,0.0,1.6239705474019349e-12,-2.2021343078856215e-13,0.0,0.0219841157827265,0.0,0.0
0.09,0.08944185330072135,0.051123268205723056,0.0,2.5146315309816744e-12,0.03376486485729042,0.029830374992038975,-0.001844956794248706,0.0,9.50446723007312e-13,-1.11330345952352e-12,0.0,0.0247146509966967,0.0,0.0
