time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.0,0.40195961369908006,0.24469698873755297,0.0,2.226858996407636e-09,-4.1568500358179185e-07,-5.369099822555662e-07,0.002579199817702175,0.0,3.0632965431468286e-09,1.1481621539684713e-09,0.0,0.0,0.0
0.01,0.41245716937325444,0.24162428811682424,0.0,2.7948002363463595e-09,-1.480520922860354e-07,-2.0271822640201044e-07,0.0024166765965069814,0.0,2.7152595193561817e-09,4.242822120299447e-10,0.0027552189965462,0.0,0.0
0.02,0.42188514673743266,0.23896511323540792,0.0,3.204815921808283e-09,2.078043554991949e-07,2.43618989402476e-07,0.002190186106944403,0.0,1.972433182343421e-09,-5.408666905361127e-10,0.0055097513347562,0.0,0.0
0.03,0.42969709832512076,0.23704399448383404,0.0,3.369027537898677e-09,6.360431928184108e-07,7.826323905253806e-07,0.0018644921280889708,0.0,8.113876751516587e-10,-1.7048542862521251e-09,0.0082629105274234,0.0,0.0
0.04,0.4354694561753865,0.23609670359285254,0.0,3.2032727798296316e-09,1.1085386400839522e-06,1.379341973730185e-06,0.001398090833065737,0.0,-7.511628195545631e-10,-2.9917950794600884e-09,0.0110140104295578,0.0,0.0
0.05,0.43889498328285487,0.23624930759417423,0.0,2.6374456464796232e-09,1.5847075496825997e-06,1.982979854512451e-06,0.0007535760292442823,0.0,-2.6494477214035877e-09,-4.291799047910677e-09,0.0137623654093879,0.0,0.0
0.06,0.4397770307700654,0.23751487840209679,0.0,1.627049607534988e-09,2.012673293802622e-06,2.528391467022636e-06,-9.097332589661541e-05,0.0,-4.762783124186883e-09,-5.464050022588674e-09,0.0165072905192344,0.0,0.0
0.07,0.43802676092288406,0.2398040277703496,0.0,1.6500665198925667e-10,2.3319955903566697e-06,2.9394097486941295e-06,-0.0011306659452499136,0.0,-6.914240067126503e-09,-6.344143055629388e-09,0.0192481016662133,0.0,0.0
0.08,0.43366400769320607,0.24294399421594753,0.0,-1.7075201297818707e-09,2.4780832484441094e-06,3.134356940049919e-06,-0.0023237382470064852,0.0,-8.875199647416913e-09,-6.756008611050053e-09,0.0219841157827265,0.0,0.0
0.09,0.4268208875840341,0.2467016203527784,0.0,-3.892756501927004e-09,2.3882513633189692e-06,3.033633909379659e-06,-0.003584025609841167,0.0,-1.0376868322302136e-08,-6.528330141762602e-09,0.0247146509966967,0.0,0.0
0.1,0.4177458810925264,0.2508068415601325,0.0,-6.231986625906673e-09,2.0091916131694554e-06,2.5691144116360874e-06,-0.004777201234214711,0.0,-1.1129341968073637e-08,-5.514837719835717e-09,0.0274390268015036,0.0,0.0
0.11,0.40680512323513185,0.2549745695977056,0.0,-8.506826479852945e-09,1.305405379644252e-06,1.6947855162380618e-06,-0.005721890486909063,0.0,-1.0848127109235099e-08,-3.6172644983819782e-09,0.030156564225581,0.0,0.0
0.12,0.394477314007458,0.2589239130202277,0.0,-1.0447462920415583e-08,2.6792174741899016e-07,3.9778721655715374e-07,-0.006196528018038205,0.0,-9.287175305871062e-09,-8.091317448864065e-10,0.0328665860016304,0.0,0.0
0.13,0.3813392151127569,0.2623944648183863,0.0,-1.1748812129398207e-08,-1.07759103370651e-06,-1.2912672697382964e-06,-0.005952470157414838,0.0,-6.2765104145978436e-09,2.8420558040593106e-09,0.0355684167354107,0.0,0.0
0.14,0.36804034185955,0.2651598665907407,0.0,-1.2094927839365119e-08,-2.664383811542003e-06,-3.2900291602080624e-06,-0.004733417477400236,0.0,-1.7615034796574533e-09,7.1570946884621585e-09,0.0382613830740598,0.0,0.0
0.15,0.3552681816524092,0.26703902292529735,0.0,-1.1191162504082971e-08,-4.38101752165794e-06,-5.459678980872462e-06,-0.0023006557222921185,0.0,4.160122907465444e-09,1.1835015935374296e-08,0.040944813873909,0.0,0.0
0.16,0.3437081461923795,0.26790525283697864,0.0,-8.802590618981212e-09,-6.071747385368174e-06,-7.605190432438281e-06,0.0015370538505489835,0.0,1.120827785149549e-08,1.6453835857285454e-08,0.0436180403677457,0.0,0.0
0.17,0.3340032889360481,0.26769347318259434,0.0,-4.796108325625554e-09,-7.541928766273633e-06,-9.481904841757425e-06,0.0068910362603530366,0.0,1.890267960770467e-08,2.0484942703478686e-08,0.0462803963314842,0.0,0.0
0.18,0.32671619819810777,0.2664053385817718,0.0,8.174782990173047e-10,-8.569191518193254e-06,-1.0809379029781734e-05,0.01376103148008732,0.0,2.6562476687796738e-08,2.332317958997215e-08,0.048931218250203,0.0,0.0
0.19,0.322291788783216,0.2641120758842222,0.0,7.846051740885977e-09,-8.920689590752715e-06,-1.1292920228637465e-05,0.02200876681443447,0.0,3.332803361256435e-08,2.433349427963958e-08,0.0515698454835062,0.0,0.0
0.2,0.3210195414076586,0.26095441534907066,0.0,1.5888877610426213e-08,-8.376140496796355e-06,-1.0652479249774159e-05,0.031341813737692896,0.0,3.8208408013597094e-08,2.291342072742606e-08,0.0541956204301694,0.0,0.0
0.21,0.32299827095229877,0.25713856299779847,0.0,2.432513466406414e-08,-6.755649930225436e-06,-8.657668032512117e-06,0.041312467729715974,0.0,4.0156139629350026e-08,1.8568702567192654e-08,0.0568078886920272,0.0,0.0
0.22,0.3281116254887296,0.25292685032329776,0.0,3.232380119179592e-08,-3.950516102122041e-06,-5.166656838689553e-06,0.05133540879183517,0.0,3.8168374388003686e-08,1.0997188267565434e-08,0.0594059992370635,0.0,0.0
0.23,0.3360231946496392,0.24862184313887353,0.0,3.8879528676704094e-08,4.5606706335715194e-08,-1.656735490364161e-07,0.06072651889402542,0.0,3.1410161165911146e-08,1.7390304441422317e-10,0.0619893045616618,0.0,0.0
0.24,0.34619514830168974,0.24454340495706864,0.0,4.287749080520773e-08,5.108548657503492e-06,6.19511846900587e-06,0.06876342922086431,0.0,1.9352180819030354e-08,-1.3571831097368257e-08,0.064557160851977,0.0,0.0
0.25,0.3579267718864588,0.24099939700121248,0.0,4.318778070034767e-08,1.0962400865516286e-05,1.3574318306582504e-05,0.074765812545534,0.0,1.911488666131174e-09,-2.9497921625139003e-08,0.0671089281443874,0.0,0.0
0.26,0.3704037651620754,0.23825217008244218,0.0,3.8786802612574464e-08,1.716944449789266e-05,2.1425892538440216e-05,0.07818972020279373,0.0,-2.04195458208283e-08,-4.6421171034159595e-08,0.0696439704849866,0.0,0.0
0.27,0.3827490047820365,0.23648461327666306,0.0,2.889942250937081e-08,2.313534199263381e-05,2.9004904718333977e-05,0.07872516918050809,0.0,-4.647358225483197e-08,-6.273031155041704e-08,0.0721616560880771,0.0,0.0
0.28,0.3940704212177982,0.23577113493392365,0.0,1.3151664881382995e-08,2.8133107897589084e-05,3.53968631072714e-05,0.07638018006535288,0.0,-7.43568535063627e-08,-7.64500584292593e-08,0.0746613574936239,0.0,0.0
0.29,0.4035079994909033,0.23606000045071113,0.0,-8.280167067382651e-09,3.134823553190601e-05,3.9573763795858926e-05,0.07153002270952992,0.0,-1.0146455218330037e-07,-8.536275574579468e-08,0.0771424517236315,0.0,0.0
