time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.0,0.42698990156450073,0.26001701595655424,0.0,6.712203528409479e-10,-7.132479186736796e-07,-6.645508588701034e-07,0.002910215088257364,0.0,-8.059926647150812e-10,-1.2947927194674859e-09,0.0,0.0,0.0
0.01,0.4395907621516202,0.25738101843792355,0.0,9.329487914952162e-10,-3.304422030697436e-07,-8.366004421223525e-07,0.002738576206379425,0.0,-4.208111474958668e-10,-1.1655523380588748e-09,0.0027552189965462,0.0,0.0
0.02,0.45100701864554416,0.2551842908937018,0.0,1.1613095335108558e-09,1.9172805154934473e-07,-9.61923782475137e-07,0.0024890843521507885,0.0,1.144044921880692e-10,-8.72251695044514e-10,0.0055097513347562,0.0,0.0
0.03,0.46063271560333113,0.2537773478704008,0.0,1.3220008209405992e-09,8.326759620053865e-07,-1.0140746537931329e-06,0.0021210663439773713,0.0,7.804810541126342e-10,-4.0344551512571487e-10,0.0082629105274234,0.0,0.0
0.04,0.46799558910348776,0.2534158160142455,0.0,1.3790324267657637e-09,1.553106480402921e-06,-9.676363778247126e-07,0.0015875000008670316,0.0,1.5385749434322462e-09,2.358976858414829e-10,0.0110140104295578,0.0,0.0
0.05,0.472750247974682,0.2542376660395,0.0,1.298268214788664e-09,2.294360624393426e-06,-8.013196172144079e-07,0.0008467050527278422,0.0,2.3292081834714936e-09,1.0205444898249713e-09,0.0137623654093879,0.0,0.0
0.06,0.4746725854843458,0.25625931636849336,0.0,1.051713092595902e-09,2.9797334990986185e-06,-5.014328960745765e-07,-0.0001248524508120087,0.0,3.073336585793825e-09,1.902362188247053e-09,0.0165072905192344,0.0,0.0
0.07,0.47365776197081366,0.2593865373053082,0.0,6.222681103891633e-10,3.5181492228061215e-06,-6.544054498120905e-08,-0.0013198659579277572,0.0,3.6758765825582926e-09,2.809519936278e-09,0.0192481016662133,0.0,0.0
0.08,0.46972241984065904,0.2634345472543444,0.0,8.551389072860116e-12,3.8104169791731037e-06,4.947634653840001e-07,-0.0026889688004152817,0.0,4.031958679407302e-09,3.6481064836376923e-09,0.0219841157827265,0.0,0.0
0.09,0.46301003644154515,0.26815234960401774,0.0,-7.707326609380226e-10,3.758066018084601e-06,1.150305454557426e-06,-0.004132417095325115,0.0,4.0359446657431614e-09,4.306633090601174e-09,0.0247146509966967,0.0,0.0
0.1,0.45379675091990257,0.2732477308321786,0.0,-1.6734820421598384e-09,3.27447054079338e-06,1.8539829589951652e-06,-0.00549606938001613,0.0,3.5929488616071354e-09,4.663695634158763e-09,0.0274390268015036,0.0,0.0
0.11,0.44249389215302537,0.2784106885225764,0.0,-2.6325951654140197e-09,2.2976436570528757e-06,2.5405885674169947e-06,-0.0065729076332980176,0.0,2.6322560291767767e-09,4.598792688035395e-09,0.030156564225581,0.0,0.0
0.12,0.4296430579723781,0.28333418386333653,0.0,-3.556714470654709e-09,8.037277884641856e-07,3.129319440472853e-06,-0.007111066231408357,0.0,1.121655102273774e-09,4.005945136687885e-09,0.0328665860016304,0.0,0.0
0.13,0.4159002078799087,0.2877319461173428,0.0,-4.333862290096719e-09,-1.1801293123879298e-06,3.5285644671982493e-06,-0.0068289265134979195,0.0,-9.186568760869493e-10,2.809356798868582e-09,0.0355684167354107,0.0,0.0
0.14,0.402007060836975,0.2913535530705133,0.0,-4.838341107523053e-09,-3.5651071570685593e-06,3.643175367807009e-06,-0.005437308192220829,0.0,-3.404259439287832e-09,9.799249569810847e-10,0.0382613830740598,0.0,0.0
0.15,0.38875113211583345,0.2939971665230125,0.0,-4.941007793552122e-09,-6.194030393287508e-06,3.3840808122535083e-06,-0.0026681614374911926,0.0,-6.178653918570978e-09,-1.4490041551934592e-09,0.040944813873909,0.0,0.0
0.16,0.37691898224334314,0.29552018508157174,0.0,-4.52268622695589e-09,-8.840482746447096e-06,2.6798047117870393e-06,0.0016916081207477781,0.0,-9.011303539131688e-09,-4.3685865298006835e-09,0.0436180403677457,0.0,0.0
0.17,0.36724826438206126,0.29584784837987127,0.0,-3.490071111185165e-09,-1.121537008275579e-05,1.4891207373481843e-06,0.007763599191994866,0.0,-1.1603367159355163e-08,-7.586312856213242e-09,0.0462803963314842,0.0,0.0
0.18,0.36038140909654287,0.29497962666377725,0.0,-1.793025638076651e-09,-1.2982202080273878e-05,-1.8625700686196732e-07,0.01554242944364929,0.0,-1.3602553796749822e-08,-1.0824938321178376e-08,0.048931218250203,0.0,0.0
0.19,0.35681988543522414,0.2929930165304761,0.0,5.582734304396479e-10,-1.3781734611849718e-05,-2.290346313640591e-06,0.024866360940036226,0.0,-1.4627895343210365e-08,-1.3730532271486105e-08,0.0515698454835062,0.0,0.0
0.2,0.35687794589369,0.29004399189329144,0.0,3.478287553514053e-09,-1.3265747994310582e-05,-4.704555349909157e-06,0.03539970704601779,0.0,-1.4304347691373618e-08,-1.5891200336736708e-08,0.0541956204301694,0.0,0.0
0.21,0.3606398856243275,0.28636286066717026,0.0,6.7953981012274485e-09,-1.113866172648809e-05,-7.244054293807813e-06,0.04663233696405033,0.0,-1.230601531008128e-08,-1.686726326031617e-08,0.0568078886920272,0.0,0.0
0.22,0.3679305584188313,0.2822439524496173,0.0,1.024786925188289e-08,-7.204467833788488e-06,-9.660527151453422e-06,0.057900474977952594,0.0,-8.40551376512051e-09,-1.6232615178477164e-08,0.0594059992370635,0.0,0.0
0.23,0.3783096163107395,0.27802774744719594,0.0,1.3488732384791322e-08,-1.4151991132660993e-06,-1.1652709623029429e-05,0.06843141296407373,0.0,-2.5256365867996356e-09,-1.3625668629620493e-08,0.0619893045616618,0.0,0.0
0.24,0.39109434652699,0.27407487863785773,0.0,1.6101442750780664e-08,6.0840367365280725e-06,-1.288563161630417e-05,0.07741269252882234,0.0,5.2117912223203375e-09,-8.8068020869949e-09,0.064557160851977,0.0,0.0
0.25,0.40540742789640005,0.2707327925256667,0.0,1.76274597543597e-08,1.4919377728860711e-05,-1.3018763054163939e-05,0.08408339998207685,0.0,1.4446051149478282e-08,-1.717676648893844e-09,0.0671089281443874,0.0,0.0
0.26,0.4202395895266545,0.26829753095125597,0.0,1.7605887303792482e-08,2.4468353159979918e-05,-1.1742326504715487e-05,0.0878410063116846,0.0,2.455349768629624e-08,7.463661797823027e-09,0.0696439704849866,0.0,0.0
0.27,0.4345166913987729,0.2669749293396095,0.0,1.5624008437058854e-08,3.3862303066235263e-05,-8.819935975742427e-06,0.08835143331737169,0.0,3.464626718884812e-08,1.827914258292237e-08,0.0721616560880771,0.0,0.0
0.28,0.4471659381483157,0.26684736090391636,0.0,1.1376026300292722e-08,4.2016777572803094e-05,-4.134525191602646e-06,0.08564326553450441,0.0,4.3599972626765296e-08,2.9966411638479725e-08,0.0746613574936239,0.0,0.0
0.29,0.4571826650293368,0.26785335232473007,0.0,4.7256915409110095e-09,4.769404649201844e-05,2.2666510469166763e-06,0.08016204853248905,0.0,5.011508460584489e-08,4.146184603015146e-08,0.0771424517236315,0.0,0.0
0.3,0.46370196217865056,0.26978647619345564,0.0,-4.2330940154767535e-09,4.959939271452398e-05,1.013318689057587e-05,0.07276299994268547,0.0,5.281422015223198e-08,5.143782248500191e-08,0.0796043204374023,0.0,0.0
0.31,0.4660755798925966,0.2723159046400976,0.0,-1.5124968153879563e-08,4.6509561341560174e-05,1.898483294580015e-05,0.0646337317775504,0.0,5.037417031359156e-08,5.837929053694921e-08,0.0820463500856406,0.0,0.0
0.32,0.46394684419588245,0.27502540425121863,0.0,-2.7259282689696852e-08,3.74277300618686e-05,2.8103160196289934e-05,0.05715756406528705,0.0,4.168732755061712e-08,6.070169223762988e-08,0.0844679320633616,0.0,0.0
0.33,0.4573105740806171,0.2774635027234783,0.0,-3.962220632691061e-08,2.175491069391485e-05,3.6547429564541355e-05,0.051741983580785966,0.0,2.60424779766463e-08,5.690822799993499e-08,0.0868684628615688,0.0,0.0
0.34,0.4465443623051287,0.2791965966095844,0.0,-5.0902587474142124e-08,-5.368387445622593e-07,4.319939809622977e-05,0.049640450853820135,0.0,3.3100820268065422e-09,4.577956354648622e-08,0.0892473442176609,0.0,0.0
0.35,0.4324008318973697,0.27985791011275507,0.0,-5.955776132979444e-08,-2.874813476666219e-05,4.683984935562444e-05,0.05179227033835662,0.0,-2.5887321465795698e-08,2.6583619337336753e-08,0.0916039832645315,0.0,0.0
0.36,0.41595540782198437,0.27918692801575307,0.0,-6.392270995442636e-08,-6.133481301471628e-05,4.625686148412637e-05,0.05869963239910368,0.0,-6.00424955864214e-08,-7.124605776315387e-10,0.0939377926783239,0.0,0.0
0.37,0.39850994907541565,0.277055534569305,0.0,-6.236208553536792e-08,-9.585274964187898e-05,4.0382306637061656e-05,0.07035536605761664,0.0,-9.669352779527244e-08,-3.5251107443935996e-08,0.0962481908248045,0.0,0.0
0.38,0.38145943946244737,0.273478536497509,0.0,-5.345971720713564e-08,-0.00012898778958309607,2.844900092644631e-05,0.08622949413847299,0.0,-1.3244106567089746e-07,-7.514069120040968e-08,0.0985346019043186,0.0,0.0
