time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.0,0.3768621441839488,0.22940082538737713,0.0,1.4295069404267065e-09,-4.702510473147042e-07,-6.014615621905278e-07,0.0024856815318261226,0.0,1.6915004218807585e-09,3.614996172979494e-10,0.0,0.0,0.0
0.01,0.3872814555884351,0.22675643523728362,0.0,1.8345823963563749e-09,-1.8268761916686848e-07,-2.455094116568572e-07,0.0023334931347649217,0.0,2.241390641789702e-09,5.525826357874884e-10,0.0027552189965462,0.0,0.0
0.02,0.3966805913585561,0.22449969145091486,0.0,2.144645323750482e-09,2.0229039934252126e-07,2.3317548580339556e-07,0.0021176460827066258,0.0,2.6899503025698064e-09,7.335750506607427e-10,0.0055097513347562,0.0,0.0
0.03,0.40453961610471306,0.22293695149363812,0.0,2.299788715744289e-09,6.680742537504659e-07,8.143726141083128e-07,0.001803835654076909,0.0,2.9602024701313524e-09,8.816773487983185e-10,0.0082629105274234,0.0,0.0
0.04,0.4104552892021493,0.2222911336547156,0.0,2.2412350486341756e-09,1.1846295304759108e-06,1.4610572720769753e-06,0.0013519711397738008,0.0,2.974317423232912e-09,9.716257763479522e-10,0.0110140104295578,0.0,0.0
0.05,0.4141346738788955,0.2226818963594197,0.0,1.918164439480677e-09,1.7082292497076674e-06,2.119003467702516e-06,0.0007261643822840672,0.0,2.6620241866167102e-09,9.778360115200176e-10,0.0137623654093879,0.0,0.0
0.06,0.4153895898520121,0.2241224122494471,0.0,1.29549091027638e-09,2.1826354474026926e-06,2.7181898996916663e-06,-9.431009621166073e-05,0.0,1.9704391648455103e-09,8.771574252820255e-10,0.0165072905192344,0.0,0.0
0.07,0.4141339776905482,0.22652914505200825,0.0,3.6197778743088445e-10,2.541986602868835e-06,3.176336585289098e-06,-0.0011041275016394699,0.0,8.746008603675668e-10,6.520959440669272e-10,0.0192481016662133,0.0,0.0
0.08,0.4103848180021142,0.22973968277568668,0.0,-8.621177289399262e-10,2.7155279247568156e-06,3.404751020959645e-06,-0.002262261837769445,0.0,-6.122694435298609e-10,2.9427342164314444e-10,0.0219841157827265,0.0,0.0
0.09,0.40426575583237184,0.2335342569120299,0.0,-2.318845780204585e-09,2.6341536742148944e-06,3.316454352346078e-06,-0.003484790628018683,0.0,-2.4299936307941596e-09,-1.9219708335560378e-10,0.0247146509966967,0.0,0.0
0.1,0.3960112455388552,0.23765778303785595,0.0,-3.908886812399741e-09,2.238521273176331e-06,2.8362969952195447e-06,-0.004641346865197845,0.0,-4.46552214517589e-09,-7.878173878712458e-10,0.0274390268015036,0.0,0.0
0.11,0.3859680877901065,0.2418404443798924,0.0,-5.491480905740434e-09,1.4882580107075643e-06,1.9124743531550294e-06,-0.0055562844035430955,0.0,-6.551302430586516e-09,-1.455742006956289e-09,0.030156564225581,0.0,0.0
0.12,0.3745909102112017,0.24581583258292636,0.0,-6.888938656049669e-09,3.715313324920504e-07,5.285397625234241e-07,-0.006015388873473674,0.0,-8.469260394267137e-09,-2.1412154721380738e-09,0.0328665860016304,0.0,0.0
0.13,0.362428665630386,0.24933639744599195,0.0,-7.896461747316018e-09,-1.0859822092496992e-06,-1.2852855821058493e-06,-0.005778621295832096,0.0,-9.961458478128674e-09,-2.7728470002864463e-09,0.0355684167354107,0.0,0.0
0.14,0.3501007821064514,0.2521864018901888,0.0,-8.297607208171734e-09,-2.8138863326537293e-06,-3.442949866873987e-06,-0.004598936968638505,0.0,-1.0748038005857938e-08,-3.2660738402380814e-09,0.0382613830740598,0.0,0.0
0.15,0.3382641912361915,0.25419272541387095,0.0,-7.885192398030835e-09,-4.692884856285045e-06,-5.797148203419855e-06,-0.002246691531744709,0.0,-1.0552407803929474e-08,-3.529015885008827e-09,0.040944813873909,0.0,0.0
0.16,0.32757520385992517,0.2552337690693611,0.0,-6.486779326596903e-09,-6.554908906422077e-06,-8.139245720643727e-06,0.001461509266692499,0.0,-9.132826455273771e-09,-3.4707130111281613e-09,0.0436180403677457,0.0,0.0
0.17,0.3186509961525546,0.25524652670484516,0.0,-3.993137481729266e-09,-8.188692752139572e-06,-1.0205988583362759e-05,0.006631557670444709,0.0,-6.318587049318673e-09,-3.0114697975635723e-09,0.0462803963314842,0.0,0.0
0.18,0.3120329868903177,0.2542317214127986,0.0,-3.87324289865386e-10,-9.351640757237597e-06,-1.1694078645948044e-05,0.013261394926321108,0.0,-2.0480219066460355e-09,-2.0947244688548642e-09,0.048931218250203,0.0,0.0
0.19,0.30815089619612357,0.2522567268768438,0.0,4.228679494002748e-09,-9.788355510110578e-06,-1.2283103004239165e-05,0.021215681424438505,0.0,3.595403647482453e-09,-6.995332746261613e-10,0.0515698454835062,0.0,0.0
0.2,0.307286140880679,0.2494556736099289,0.0,9.61339224258004e-09,-9.255556962104575e-06,-1.1666513959884248e-05,0.03021043831788324,0.0,1.035342799280041e-08,1.1475505703970195e-09,0.0541956204301694,0.0,0.0
0.21,0.3095375721424146,0.24602570646437588,0.0,1.5375221081206708e-08,-7.552340437063473e-06,-9.589379519405913e-06,0.03981221747832018,0.0,1.7774778337676978e-08,3.362684525835225e-09,0.0568078886920272,0.0,0.0
0.22,0.31479746403296105,0.24221807140797297,0.0,2.0975670099727723e-08,-4.553846461390718e-06,-5.89052961307201e-06,0.04945540785446902,0.0,2.5213497205998444e-08,5.798677730634567e-09,0.0594059992370635,0.0,0.0
0.23,0.322746305974499,0.23832285727402044,0.0,2.5749717567872442e-08,-2.4551970263668097e-07,-5.455982246692465e-07,0.05847994929778275,0.0,3.184843298291667e-08,8.244339419016604e-09,0.0619893045616618,0.0,0.0
0.24,0.33287020120035504,0.23464691102718924,0.0,2.8945705237801617e-08,5.245688238103546e-06,6.293576598491632e-06,0.06618997910417461,0.0,3.672740763552242e-08,1.0430757519633982e-08,0.064557160851977,0.0,0.0
0.25,0.34449743087927753,0.231485592035207,0.0,2.9785545168643893e-08,1.162745593166576e-05,1.4268545802491114e-05,0.07193146430921317,0.0,3.883777751196416e-08,1.2045669309991597e-08,0.0671089281443874,0.0,0.0
0.26,0.3568454682025287,0.2290904527095291,0.0,2.7544009998100676e-08,1.8430187077662302e-05,2.279862332934125e-05,0.07518328761946932,0.0,3.7202633350179684e-08,1.2756499307923693e-08,0.0696439704849866,0.0,0.0
0.27,0.3690695644777333,0.2276364855468339,0.0,2.1643423017231075e-08,2.5011592450198815e-05,3.1085740533902474e-05,0.07565134685505497,0.0,3.099883707580365e-08,1.2241831669096776e-08,0.0721616560880771,0.0,0.0
0.28,0.3803087748015239,0.22719412908230033,0.0,1.1757366724881557e-08,3.0581672529766486e-05,3.814473563465647e-05,0.07334944762664683,0.0,1.968964882665902e-08,1.0230085575887772e-08,0.0746613574936239,0.0,0.0
0.29,0.3897313837238915,0.22771223507922264,0.0,-2.085684319857708e-09,3.425079952057937e-05,4.2862538141544276e-05,0.06864649763057963,0.0,3.1611341507016674e-09,6.543032131152247e-09,0.0771424517236315,0.0,0.0
0.3,0.39658443766569035,0.22901740975498963,0.0,-1.9410331468323163e-08,3.510175695994277e-05,4.4087428505672677e-05,0.062261505054801276,0.0,-1.815177792621253e-08,1.1406203655441901e-09,0.0796043204374023,0.0,0.0
0.31,0.4002490978488872,0.2308317159330829,0.0,-3.9227149427769184e-08,3.228416568422094e-05,4.074653102868748e-05,0.055199144700405524,0.0,-4.316635627698213e-08,-5.8375128621828915e-09,0.0820463500856406,0.0,0.0
0.32,0.40029711761336484,0.23280595317269792,0.0,-6.000464944504176e-08,2.512681825449575e-05,3.198606970029187e-05,0.048634778428834,0.0,-7.009850646204171e-08,-1.4039346783177882e-08,0.0844679320633616,0.0,0.0
0.33,0.39653889977880935,0.234562291519973,0.0,-7.969389939092223e-08,1.3260254741428679e-05,1.732492231188291e-05,0.04376968012759746,0.0,-9.647270467583873e-08,-2.2882588356943874e-08,0.0868684628615688,0.0,0.0
0.34,0.3890529459211114,0.23573922776244172,0.0,-9.581719176891183e-08,-3.261280715336636e-06,-3.1920068090886315e-06,0.041680297258097215,0.0,-1.1921135541856087e-07,-3.155754940334735e-08,0.0892473442176609,0.0,0.0
0.35,0.37818898824444014,0.2360328204296436,0.0,-1.0562809581153446e-07,-2.3852207548816683e-05,-2.8857670611090176e-05,0.04318239979905766,0.0,-1.3481495676474958e-07,-3.9056039778421795e-08,0.0916039832645315,0.0,0.0
0.36,0.3645407936914188,0.23522963851194265,0.0,-1.0634427290112584e-07,-4.7318091477418674e-05,-5.82037591929856e-05,0.04872620259406037,0.0,-1.3963742959321824e-07,-4.423004733165012e-08,0.0939377926783239,0.0,0.0
0.37,0.34888886644373485,0.233228251218847,0.0,-9.544672667618665e-08,-7.18249255462018e-05,-8.89595029034074e-05,0.05833383818774521,0.0,-1.3025157101637418e-07,-4.588168002912268e-08,0.0962481908248045,0.0,0.0
0.38,0.332118217818047,0.23004734056476478,0.0,-7.103008639020067e-08,-9.493117244167725e-05,-0.00011808850884062043,0.07158598134150011,0.0,-1.0388823527631443e-07,-4.288277079845078e-08,0.0985346019043186,0.0,0.0
0.39,0.31512215861791765,0.22581971575518742,0.0,-3.217872548115955e-08,-0.0001136958454190387,-0.00014192047232260927,0.0876596665653319,0.0,-5.892026239594792e-08,-3.431882362052445e-08,0.1007964560952911,0.0,0.0
0.4,0.29870875410713127,0.22077278294811462,0.0,2.0666109690877877e-08,-0.00012487102529516072,-0.00015638858996656001,0.1054141092461626,0.0,4.650566066622867e-09,-1.964784976208032e-08,0.1030331896962388,0.0,0.0
0.41,0.2835290986847726,0.21519758899262462,0.0,8.539132913707699e-08,-0.0001251800899970694,-0.0001573746709028681,0.12351549016614075,0.0,8.475679164591798e-08,1.139545067941743e-09,0.1052442452662557,0.0,0.0
0.42,0.2700422582532848,0.2094105401903706,0.0,1.5799814349046125e-07,-0.00011167376056926034,-0.00014115252256695257,0.14058543675473006,0.0,1.769407188776056e-07,2.737625918851129e-08,0.1074290717639397,0.0,0.0
0.43,0.258520622248071,0.20371377901786653,0.0,2.3254018662543036e-07,-8.214531138598818e-05,-0.00010490675063530993,0.15535300093518117,0.0,2.742081504673285e-07,5.761129576857592e-08,0.1095871246847235,0.0,0.0
0.44,0.24908642145218837,0.198360570127584,0.0,3.012612513127839e-07,-3.5574722007026054e-05,-4.728960983862921e-05,0.16678997710412397,0.0,3.671244796662501e-07,8.956057999039237e-08,0.1117178661965763,0.0,0.0
0.45,0.24176100217148613,0.19352994239764645,0.0,3.5497088961249085e-07,2.743977012825544e-05,3.103570215039832e-05,0.1742165694245151,0.0,4.442074798917506e-07,1.2013706801541951e-07,0.113820765274043,0.0,0.0
0.46,0.23650634004851015,0.1893115783987172,0.0,3.836799834198727e-07,0.00010431399889502819,0.0001269292509635516,0.17737407719271045,0.0,4.926527694376774e-07,1.4557807371789013e-07,0.1158952978305868,0.0,0.0
0.47,0.23324403481215447,0.18570023001600516,0.0,3.774954593201985e-07,0.00019023202437887517,0.0002344585596602191,0.17646489205598176,0.0,4.994006475261459e-07,1.6168175480904718e-07,0.1179409468492028,0.0,0.0
0.48,0.23184856780094512,0.18259962212678807,0.0,3.2774433144724296e-07,0.00027808207144006597,0.0003448080664253468,0.17215552627408023,0.0,4.5251743317180966e-07,1.641557847462047e-07,0.1199572025112691,0.0,0.0
0.49,0.23212381179123925,0.17983690077644482,0.0,2.2826379949697686e-07,0.0003586301067805135,0.00044648429894863064,0.1655329944475469,0.0,3.42822316780798e-07,1.4906959427668337e-07,0.1219435623236046,0.0,0.0
