time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.0,0.301742654162926,0.18348912889233365,0.0,1.0394529568087774e-09,-3.863219643939913e-07,-4.948010106946698e-07,0.002000186619242843,0.0,1.063993499145252e-09,8.027657304982555e-11,0.0,0.0,0.0
0.01,0.3102862734803378,0.1814075013227936,0.0,1.3447419255868295e-09,-1.5216477897460403e-07,-2.0413736782125912e-07,0.0018751876387523337,0.0,1.546112966995926e-09,2.765782990451277e-10,0.0027552189965462,0.0,0.0
0.02,0.3180069568466824,0.17963615491720442,0.0,1.5826322207361973e-09,1.6169327900288258e-07,1.8715368164715826e-07,0.0016991098696434441,0.0,1.9859099905280324e-09,4.948299014990928e-10,0.0055097513347562,0.0,0.0
0.03,0.32448574045937484,0.17842059121323775,0.0,1.7086359886088027e-09,5.417874750453158e-07,6.626243194270469e-07,0.001444561797089411,0.0,2.323208240646343e-09,7.166897910144494e-10,0.0082629105274234,0.0,0.0
0.04,0.32939761950598917,0.17793951510561504,0.0,1.6787534418914674e-09,9.636881971441566e-07,1.1920696986651665e-06,0.0010794968001520302,0.0,2.493069132623464e-09,9.184960164994144e-10,0.0110140104295578,0.0,0.0
0.05,0.3325063455111077,0.17828895309412318,0.0,1.4544884167275625e-09,1.3917718894436612e-06,1.7311910738312863e-06,0.0005752434376891313,0.0,2.431723606364203e-09,1.0724660127505603e-09,0.0137623654093879,0.0,0.0
0.06,0.33365992899991764,0.17947965060682433,0.0,1.0085982734065365e-09,1.7801732402278352e-06,2.222733207428933e-06,-8.468655248282833e-05,0.0,2.0839651604860457e-09,1.1486756083600912e-09,0.0165072905192344,0.0,0.0
0.07,0.33278851811790594,0.18144487476820703,0.0,3.3113678848283157e-10,2.075129766199934e-06,2.59936523119442e-06,-0.0008958527990628864,0.0,1.4115753554310859e-09,1.1178066160710357e-09,0.0192481016662133,0.0,0.0
0.08,0.329905172616124,0.18405466576721588,0.0,-5.648022247282379e-10,2.21883199282471e-06,2.788452791461346e-06,-0.0018251394337846527,0.0,4.021233676593053e-10,9.545641392770002e-10,0.0219841157827265,0.0,0.0
0.09,0.3251088466151857,0.1871330416196796,0.0,-1.638358470100208e-09,2.1547556502550246e-06,2.718698999721408e-06,-0.00280498618916384,0.0,-9.227369566202134e-10,6.415638607018623e-10,0.0247146509966967,0.0,0.0
