time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.0,0.4521557428062005,0.27529294614859345,0.0,2.6409533825002996e-09,-3.781042451475857e-07,-4.6997860780304754e-07,0.002805086023913574,0.0,-1.7722656856922631e-09,-3.484924108142748e-09,0.0,0.0,0.0
0.01,0.4631642142695891,0.27150731948838386,0.0,3.5226308931606533e-09,-1.315405228682494e-07,-1.5301602555982436e-07,0.0026210897392657186,0.0,-4.268244681148176e-09,-6.487490573554941e-09,0.0027552189965462,0.0,0.0
0.02,0.4729946500522589,0.2681869187299725,0.0,4.24973649594955e-09,1.9576228359322045e-07,2.659529173213633e-07,0.0023701692123909105,0.0,-6.959883434580898e-09,-9.5752294900931e-09,0.0055097513347562,0.0,0.0
0.03,0.4810404033243542,0.26569396893683983,0.0,4.700089447653168e-09,5.8912535032579e-07,7.677776158190702e-07,0.00201457396556427,0.0,-9.600851355635481e-09,-1.242820100598336e-08,0.0082629105274234,0.0,0.0
0.04,0.4868304412920366,0.2642911739714281,0.0,4.749460047145428e-09,1.022598844308095e-06,1.3189724299203676e-06,0.0015094135870218478,0.0,-1.1884369524536208e-08,-1.4666710142870882e-08,0.0110140104295578,0.0,0.0
0.05,0.4900225847768159,0.26411840022471955,0.0,4.284811418362332e-09,1.4588195105236613e-06,1.8715889928173045e-06,0.0008139272787332023,0.0,-1.346105366618795e-08,-1.5877430494929903e-08,0.0137623654093879,0.0,0.0
0.06,0.4903976192418647,0.26518916173675056,0.0,3.2198505800736885e-09,1.8500971219394871e-06,2.364659849572358e-06,-9.612001774802666e-05,0.0,-1.3966273006688975e-08,-1.565026871765293e-08,0.0165072905192344,0.0,0.0
0.07,0.4878566325979985,0.267402599589389,0.0,1.5117818211404742e-09,2.1409387993091335e-06,2.7274746403588574e-06,-0.00121609140366004,0.0,-1.3056540221907248e-08,-1.362475830527899e-08,0.0192481016662133,0.0,0.0
0.08,0.482422290814369,0.27056502722691095,0.0,-8.222750011298268e-10,2.2721166446305153e-06,2.8848166679640415e-06,-0.002501492553167873,0.0,-1.0453315063919122e-08,-9.543388298098483e-09,0.0219841157827265,0.0,0.0
0.09,0.474243041326279,0.27441579846070796,0.0,-3.691113797287479e-09,2.1862410842300773e-06,2.764104347499486e-06,-0.0038597196817991295,0.0,-5.991347379620796e-09,-3.3078067906103256e-09,0.0247146509966967,0.0,0.0
0.1,0.4635976978205244,0.27865369328566936,0.0,-6.919695260720702e-09,1.8346250743017344e-06,2.3041556781101963e-06,-0.005145884115772203,0.0,3.3258967863528166e-10,4.967569088338588e-09,0.0274390268015036,0.0,0.0
0.11,0.4508967795773098,0.28296143406734015,0.0,-1.0246092193003962e-08,1.1850233877326089e-06,1.46503809275009e-06,-0.0061639183733045895,0.0,8.315881712837549e-09,1.4911183908046156e-08,0.030156564225581,0.0,0.0
0.12,0.43667662298345256,0.28702713453551726,0.0,-1.3327261341427425e-08,2.2962252829141591e-07,2.3820133581206994e-07,-0.006673909646235217,0.0,1.7517353293334346e-08,2.5866619689252147e-08,0.0328665860016304,0.0,0.0
0.13,0.4215829055290094,0.29056237365460225,0.0,-1.5755368533638952e-08,-1.007538503196236e-06,-1.3441556173302582e-06,-0.0064062244947522854,0.0,2.724225559030053e-08,3.6889059203859253e-08,0.0355684167354107,0.0,0.0
0.14,0.4063420486862682,0.2933171312470626,0.0,-1.7085685496246157e-08,-2.464693071323743e-06,-3.2017289225972902e-06,-0.005082495699231612,0.0,3.655137770532452e-08,4.677281730385469e-08,0.0382613830740598,0.0,0.0
0.15,0.3917219872261143,0.29509201674943153,0.0,-1.687606527529148e-08,-4.039084212203485e-06,-5.202121586897816e-06,-0.0024429530958431154,0.0,4.429974093731143e-08,5.4115217301044904e-08,0.040944813873909,0.0,0.0
0.16,0.37848698520089324,0.2957481365167058,0.0,-1.4736719632023095e-08,-5.587377330316954e-06,-7.161568534838218e-06,0.001721151848168648,0.0,4.920851540047996e-08,5.7419470030392936e-08,0.0436180403677457,0.0,0.0
0.17,0.367352109253549,0.2952147399515501,0.0,-1.038753568104561e-08,-6.9306883246079765e-06,-8.851558795321617e-06,0.007532292257006067,0.0,4.9971086433730194e-08,5.523559620154468e-08,0.0462803963314842,0.0,0.0
0.18,0.35894009702044805,0.2934946002840978,0.0,-3.7185910166336695e-09,-7.864906947118163e-06,-1.0012201435737941e-05,0.01499217355350993,0.0,4.539065586500301e-08,4.633395192238717e-08,0.048931218250203,0.0,0.0
0.19,0.35373930280068344,0.29066688082706493,0.0,5.151992833481985e-09,-8.176589690434074e-06,-1.0372660304700222e-05,0.023952867637347018,0.0,3.454256094030347e-08,2.990083862371102e-08,0.0515698454835062,0.0,0.0
0.2,0.35206121324622214,0.2868868651592928,0.0,1.5829995179743408e-08,-7.664151772261918e-06,-9.67828509006479e-06,0.034099060064335635,0.0,1.6949921108648355e-08,5.740405448223985e-09,0.0541956204301694,0.0,0.0
