time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.0,0.47671446228300624,0.29062503688985536,0.0,2.211403308131873e-09,-5.485370195161772e-07,-5.268560484353493e-07,0.003128949672942424,0.0,3.2204094791308584e-09,1.2186236004655732e-09,0.0,0.0,0.0
0.01,0.4892465121069336,0.28713992778080244,0.0,2.802035075291318e-09,-2.0466158692505272e-07,-6.742000704209545e-07,0.002951808641475164,0.0,3.573964704697307e-09,1.104573130187222e-09,0.0027552189965462,0.0,0.0
0.02,0.5005118592626926,0.28414528874726763,0.0,3.240024419500309e-09,2.5417251840264646e-07,-7.862199462426575e-07,0.0026950691998797187,0.0,3.6255902985194664e-09,8.373064220204433e-10,0.0055097513347562,0.0,0.0
0.03,0.5098791166558683,0.2820270602291104,0.0,3.4358044271643696e-09,8.078632688504808e-07,-8.410047342670433e-07,0.0023143370502026655,0.0,3.2885680796452955e-09,4.0539674563237456e-10,0.0082629105274234,0.0,0.0
0.04,0.5168654237696066,0.2810655737750991,0.0,3.3026724437621058e-09,1.4203861199532946e-06,-8.171202551232089e-07,0.0017577399725713255,0.0,2.4960651329904995e-09,-1.8736977339100082e-10,0.0110140104295578,0.0,0.0
0.05,0.5211266315978836,0.2814106227241709,0.0,2.767183664803192e-09,2.0395223631454093e-06,-6.961164926712832e-07,0.0009785527359532262,0.0,1.2138871241199073e-09,-9.183339076465983e-10,0.0137623654093879,0.0,0.0
0.06,0.522447945980262,0.2830775494666342,0.0,1.7808607904825432e-09,2.598312411359518e-06,-4.653762709642859e-07,-5.091625251509245e-05,0.0,-5.469709251294431e-10,-1.743416489744694e-09,0.0165072905192344,0.0,0.0
0.07,0.5207377418534702,0.2859597953379175,0.0,3.3227280448939973e-10,3.0185353615723857e-06,-1.2108050182831637e-07,-0.0013254899370043881,0.0,-2.7194240536062392e-09,-2.5962663701913748e-09,0.0192481016662133,0.0,0.0
0.08,0.5160255619849193,0.28985164091885623,0.0,-1.5417590397031465e-09,3.216372060864783e-06,3.2900791641413396e-07,-0.0027948089709640897,0.0,-5.17269973331569e-09,-3.3896523581361966e-09,0.0219841157827265,0.0,0.0
0.09,0.5084635289390977,0.2944755896111879,0.0,-3.747306169405248e-09,3.1102086736844944e-06,8.63299247389006e-07,-0.004354084243195292,0.0,-7.709772604915373e-09,-4.019546524787086e-09,0.0247146509966967,0.0,0.0
0.1,0.49832880104355515,0.2995103699399258,0.0,-6.128442219373337e-09,2.630288585394329e-06,1.4450649140533583e-06,-0.0058394320601249045,0.0,-1.0071466196384441e-08,-4.37216746853199e-09,0.0274390268015036,0.0,0.0
0.11,0.4860235742775106,0.3046170313338296,0.0,-8.467923474292008e-09,1.7296369161222455e-06,2.0224542163602106e-06,-0.007029156395508754,0.0,-1.1948554565136296e-08,-4.333995586899482e-09,0.030156564225581,0.0,0.0
0.12,0.47206875161433826,0.30946186475910104,0.0,-1.0494858981296004e-08,3.953862122442161e-07,2.5301943175356437e-06,-0.007652052378513913,0.0,-1.3002666227450892e-08,-3.804445693619243e-09,0.0328665860016304,0.0,0.0
0.13,0.4570880331370481,0.31373581614814294,0.0,-1.1900393681764266e-08,-1.3406463993844458e-06,2.8932362799279116e-06,-0.0074033734345344375,0.0,-1.289603077100938e-08,-2.7105029114003097e-09,0.0355684167354107,0.0,0.0
0.14,0.44178105992194805,0.31717062965694237,0.0,-1.236181283940273e-08,-3.3935055997369414e-06,3.0324643764775476e-06,-0.005968544311392479,0.0,-1.1329137710032792e-08,-1.0222236466290944e-09,0.0382613830740598,0.0,0.0
0.15,0.42688735964359237,0.3195521538742636,0.0,-1.1574650662906676e-08,-5.620275887617618e-06,2.8723882927073353e-06,-0.0030540301196541036,0.0,-8.08424919060982e-09,1.2323871548820804e-09,0.040944813873909,0.0,0.0
0.16,0.4131460870862143,0.32073114274691666,0.0,-9.291385555015333e-09,-7.820400639251268e-06,2.350496141462837e-06,0.0015760611238055365,0.0,-3.0715061626635693e-09,3.954941372619636e-09,0.0436180403677457,0.0,0.0
0.17,0.4012573049463745,0.32063165833071733,0.0,-5.364192968461436e-09,-9.742485786393444e-06,1.4276754459554873e-06,0.00806020561961808,0.0,3.6267948157651004e-09,6.968711316446902e-09,0.0462803963314842,0.0,0.0
0.18,0.3918471598652632,0.3192569852770961,0.0,2.119019685009696e-10,-1.1098572177723134e-05,9.883166661761503e-08,0.01640056010565273,0.0,1.1719160231055287e-08,1.001723605628244e-08,0.048931218250203,0.0,0.0
0.19,0.38543463604019657,0.31669275195793134,0.0,7.260155421009587e-09,-1.1586295507533498e-05,-1.5974215580919774e-06,0.02643038013616765,0.0,2.0681146649237677e-08,1.2771405522633181e-08,0.0515698454835062,0.0,0.0
0.2,0.3823971074207532,0.3131065608291102,0.0,1.5392983455659285e-08,-1.0918589413067166e-05,-3.571325215680937e-06,0.037793907120145534,0.0,2.9751097431940157e-08,1.4846509938556849e-08,0.0541956204301694,0.0,0.0
0.21,0.3829371134263068,0.30874289323735116,0.0,2.3998435824390384e-08,-8.859657555943165e-06,-5.678220746680875e-06,0.04994452190373817,0.0,3.795107016329846e-08,1.5830034851190576e-08,0.0568078886920272,0.0,0.0
0.22,0.38705877361012647,0.3039116941320475,0.0,3.224794965225777e-08,-5.264902772791118e-06,-7.719883566424417e-06,0.062165790083557555,0.0,4.413738846220531e-08,1.5319998399042e-08,0.0594059992370635,0.0,0.0
0.23,0.39456306020984366,0.2989692223581348,0.0,3.913023018729727e-08,-1.2144195497217815e-07,-9.45216091866475e-06,0.07361835578641557,0.0,4.708315234897953e-08,1.2972402554943291e-08,0.0619893045616618,0.0,0.0
0.24,0.40506537666232323,0.2942906076531068,0.0,4.351450543052798e-08,6.415134010106376e-06,-1.0599757161642206e-05,0.08341344748429053,0.0,4.559211954923182e-08,8.554975191310719e-09,0.064557160851977,0.0,0.0
