time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,5.2261061927903584e-24,-8.031667007176164e-10,0.0,1.3185330243090142e-14,0.2532022400200493,-2.899055480850268e-06,0.035579660094726705,0.0,1.5018690616148936e-16,1.2688227780830999e-12,0.0,-1.2614854596181045e-15,0.0,0.0,0.0
0.01,4.0545433649999015e-24,-1.4107581702114974e-09,0.0,2.1868909085105454e-14,0.26789556512084445,-4.637602815843788e-06,0.03707022626718246,0.0,2.762858216168836e-16,9.946644023437184e-13,0.0,-2.3381531276932987e-15,0.0,0.0055104379930924,0.0
0.02,2.118615097810933e-24,-2.02470913710625e-09,0.0,3.04532348664274e-14,0.2823506790120347,-6.327639204234348e-06,0.03905353651522897,0.0,4.055364963157071e-16,5.365453800359811e-13,0.0,-3.4440463022175853e-15,0.0,0.0110195026695125,0.0
0.03,-5.717879508903114e-25,-2.5785675655932716e-09,0.0,3.795910259196651e-14,0.29637977932916887,-7.768533018993401e-06,0.04230320233331728,0.0,5.2443554897601645e-16,-1.0402013379568516e-13,0.0,-4.464233292918224e-15,0.0,0.0165258210548468,0.0
0.04,-3.9203640174118455e-24,-2.9947280896096394e-09,0.0,4.326435600198968e-14,0.30981670149237334,-8.73349559446327e-06,0.04760028038854073,0.0,6.170067564127301e-16,-9.048575178903463e-13,0.0,-5.262468824001246e-15,0.0,0.0220280208591157,0.0
0.05,-7.731913028139001e-24,-3.1900557117397115e-09,0.0,4.519011258971775e-14,0.3225226616348939,-8.987742068548317e-06,0.05565967087079293,0.0,6.659113627268896e-16,-1.820051621022639e-12,0.0,-5.690602352923706e-15,0.0,0.0275247308187759,0.0
0.06,-1.1707479146796511e-23,-3.0836318266176197e-09,0.0,4.2616420422468166e-14,0.3343897300184245,-8.312411225571544e-06,0.06705446935155553,0.0,6.540074698596723e-16,-2.7786760871708074e-12,0.0,-5.6018316589812866e-15,0.0,0.0330145810384688,0.0
0.07,-1.544970886152487e-23,-2.6063319166944447e-09,0.0,3.4622400545532706e-14,0.3453418698763366,-6.533133616525706e-06,0.08214439070013281,0.0,5.663058512024828e-16,-3.685958468369457e-12,0.0,-4.867361774214979e-15,0.0,0.0384962033324266,0.0
0.08,-1.8480569909867614e-23,-1.7116629628906143e-09,0.0,2.0641882940740973e-14,0.35533364814668944,-3.551323272434692e-06,0.10101518646118196,0.0,3.9221139639070134e-16,-4.427405134424747e-12,0.0,-3.39553328229486e-15,0.0,0.0439682315654531,0.0
0.09,-2.0272779535593783e-23,-3.8699534836959865e-10,0.0,6.21411243536012e-16,0.36434695706177267,6.245502955900911e-07,0.12343624434895546,0.0,1.278779681823063e-16,-4.8762219620406045e-12,0.0,-1.1519588162557838e-15,0.0,0.0494293019933934,0.0
0.1,-2.0295130336099285e-23,1.3359518405431219e-09,0.0,-2.4836292803824186e-14,0.37238625804238623,5.851186770201547e-06,0.14884296808728206,0.0,-2.2155433267754402e-16,-4.9040910255110225e-12,0.0,1.8212972705766135e-15,0.0,0.0548780536030072,0.0
0.11,-1.8070409613062764e-23,3.3727364056370756e-09,0.0,-5.436323576219355e-14,0.37947296258691815,1.1830197784804119e-05,0.17634873539950469,0.0,-6.40119406726241e-16,-4.395007097617724e-12,0.0,5.389881945133309e-15,0.0,0.060313128451162,0.0
0.12,-1.3242860272567147e-23,5.5814254136583786e-09,0.0,-8.57727624303025e-14,0.3856395983381663,1.8099633223264477e-05,0.20478803037394594,0.0,-1.099893763505615e-15,-3.261458636343654e-12,0.0,9.317314008502452e-15,0.0,0.0657331720032609,0.0
