time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
0.38,1.463573940287265e-23,2.1604296618270647e-07,0.0,-2.273324754564622e-12,0.48023867189773617,0.0005712001396690039,0.20866570829664896,0.0,-6.365718069438799e-14,2.5971587017103103e-11,0.0,1.207038286165678e-13,0.0,0.1970692038086372,0.0
0.39,2.8664578314793824e-23,1.918411561209954e-07,0.0,-1.9413917290693185e-12,0.47588553040219767,0.00047773479942409393,0.21808456978013338,0.0,-5.3072546609450576e-14,6.476020766585756e-11,0.0,1.6840756172653402e-13,0.0,0.2015929121905823,0.0
0.4,4.327418790117351e-23,1.3985039228072982e-07,0.0,-1.304899436777981e-12,0.47121487021639813,0.00030615905085999565,0.22655125127638207,0.0,-3.375692692039672e-14,1.0676378456576586e-10,0.0,2.1021113735392055e-13,0.0,0.2060663793924776,0.0
0.41,5.699846116557012e-23,5.8388571146090485e-08,0.0,-3.5281569297411927e-13,0.46624857646496803,5.455953595769232e-05,0.23390480519417214,0.0,-5.51272475902863e-15,1.4818163649770722e-10,0.0,2.398911192210082e-13,0.0,0.2104884905325114,0.0
0.42,6.807632115351513e-23,-5.140586997811718e-08,0.0,8.938154752880182e-13,0.46102265089872413,-0.00027061198820950644,0.24011868689748295,0.0,3.091945057480805e-14,1.842586451581223e-10,0.0,2.5090065348324266e-13,0.0,0.2148581435278795,0.0
0.43,7.456810699806227e-23,-1.8494377958708998e-07,0.0,2.3756062042118086e-12,0.455584194670076,-0.0006530134946902606,0.24527265589008104,0.0,7.369134625672776e-14,2.0955713543704884e-10,0.0,2.3700951792207803e-13,0.0,0.2191742493694471,0.0
0.44,7.452300385603338e-23,-3.337691679276126e-07,0.0,3.991132740466321e-12,0.4499880096499315,-0.0010655772332224646,0.24952155743043344,0.0,1.1975514538902164e-13,2.1837745661775182e-10,0.0,1.930807014203982e-13,0.0,0.2234357323931527,0.0
0.45,6.619262104330641e-23,-4.854607430670059e-07,0.0,5.59691968125458e-12,0.4442930984641209,-0.0014706419452801536,0.2530643459161142,0.0,1.6488006026122904e-13,2.0532045984986134e-10,0.0,1.1593392332896247e-13,0.0,0.227641530548086,0.0
0.46,4.8279386351353464e-23,-6.23947244433684e-07,0.0,7.0120883504564225e-12,0.43855924973625315,-0.001821297880677468,0.2561160256880645,0.0,2.038047041102022e-13,1.6596748939429574e-10,0.0,5.223548996228425e-15,0.0,0.2317905956611737,0.0
0.47,2.020151980290727e-23,-7.303125604419408e-07,0.0,8.028404333519438e-12,0.43284381143276085,-0.002064120885468929,0.2588844004635304,0.0,2.305447458424156e-13,9.763391918200505e-11,0.0,-1.3576269895193385e-13,0.0,0.2358818936984056,0.0
0.48,-1.765038212798705e-23,-7.84132625349523e-07,0.0,8.426056960970065e-12,0.42719869367017416,-0.0021433649087674806,0.2615527268258938,0.0,2.3886334512786274e-13,1.3230787151743942e-13,0.0,-2.9949414767996694e-13,0.0,0.2399144050225383,0.0
0.49,-6.369588689978818e-23,-7.653383193631335e-07,0.0,7.9949564644574e-12,0.4216676100487546,-0.0020065389408892636,0.26426862991997896,0.0,2.228958052287541e-13,-1.235369693773427e-10,0.0,-4.738951010498104e-13,0.0,0.2438871246472093,0.0
0.5,-1.1502102664143797e-22,-6.565386523855646e-07,0.0,6.5606645148594235e-12,0.4162835657783889,-0.0016111207686072418,0.2671390108900433,0.0,1.7790046365638117e-13,-2.6666373600571657e-10,0.0,-6.424663074805833e-13,0.0,0.2477990624874013,0.0
0.51,-1.673440968689896e-22,-4.4566978529673545e-07,0.0,4.013322288955752e-12,0.41106662906555536,-0.0009319671309016317,0.2702301862939867,0.0,1.0108632135456969e-13,-4.185778606197783e-10,0.0,-7.849300909028862e-13,0.0,0.2516492436061922,0.0
0.52,-2.1512412081930377e-22,-1.287632071189324e-07,0.0,3.371686553406555e-13,0.4060220726622976,3.121590838467501e-05,0.27357216270617235,0.0,-7.55388528888324e-15,-5.647716195240792e-10,0.0,-8.784679883048133e-13,0.0,0.2554367084577291,0.0
0.53,-2.5183820559264925e-22,2.8744228016141615e-07,0.0,-4.3624701878974e-12,0.4011390348536015,0.0012471564174336043,0.27716576330223375,0.0,-1.4449619327108935e-13,-6.874809115496295e-10,0.0,-8.995724261417408e-13,0.0,0.259160513126368,0.0
0.54,-2.7044230143234225e-22,7.833766346196327e-07,0.0,-9.838394114227289e-12,0.3963899106945485,0.0026480034357224506,0.28099127466372736,0.0,-3.021294409338211e-13,-7.667838800504312e-10,0.0,-8.264715759003721e-13,0.0,0.2628197295619173,0.0
0.55,-2.6401340733637615e-22,1.3253694056500943e-06,0.0,-1.5690916986136387e-11,0.391730730957977,0.0041270336238007025,0.2850173512403098,0.0,-4.685039077805062e-13,-7.822337631598588e-10,0.0,-6.420119376938799e-13,0.0,0.2664134458109268,0.0
0.56,-2.265505980300679e-22,1.8656054932260323e-06,0.0,-2.1371336318962814e-11,0.387102804124264,0.005540066736666557,0.28920907776487215,0.0,-6.27494177351128e-13,-7.149879979161352e-10,0.0,-3.368014184266749e-13,0.0,0.2699407662439662,0.0
0.57,-1.538885470294075e-22,2.343639310468795e-06,0.0,-2.620287667664909e-11,0.3824358736285722,0.0067114352097244825,0.2935343211347749,0.0,-7.59469250473414e-13,-5.503303262563285e-10,0.0,8.766615194866382e-14,0.0,0.2734008117788342,0.0
0.58,-4.4652305871163356e-23,2.6897172669596142e-06,0.0,-2.942146877284234e-11,0.37765296952459715,0.007445078168507136,0.29796777838815836,0.0,-8.425315765705237e-13,-2.804113263096206e-10,0.0,6.162569135709895e-13,0.0,0.276792720099645,0.0
0.59,9.88415892461612e-23,2.830024774902202e-06,0.0,-3.023715774149811e-11,0.3726770065400009,0.00754091964176128,0.3024924240356971,0.0,-8.543400533866848e-13,9.303828298329627e-11,0.0,1.2182183821318817e-12,0.0,0.2801156458717347,0.0
0.6,2.6985211655407847e-22,2.6937914981001233e-06,0.0,-2.791485672161493e-11,0.36743900108714694,0.006816154362603079,0.30709835836433036,0.0,-7.744712531344605e-13,5.56330084857369e-10,0.0,1.846404037234468e-12,0.0,0.2833687609523367,0.0
0.61,4.567753389445148e-22,2.221964492246501e-06,0.0,-2.1870669906345632e-11,0.3618875571285607,0.0051304286534332765,0.3117793411395852,0.0,-5.872011123543159e-13,1.0821301581337467e-09,0.0,2.438109907316896e-12,0.0,0.2865512545969724,0.0
0.62,6.431282308612331e-22,1.376906944007258e-06,0.0,-1.1777267958088085e-11,0.3559990214249203,0.00241321310701389,0.3165275471944253,0.0,-2.845110573027404e-13,1.6288334057450877e-09,0.0,2.917862665381011e-12,0.0,0.2896623336615057,0.0
0.63,8.080698197384743e-22,1.5232089959951458e-07,0.0,2.3309543492581583e-12,0.34978745657187316,-0.0013090191375375003,0.32132728797290794,0.0,1.3095495993823537e-13,2.1413543751962163e-09,0.0,3.2023731708489056e-12,0.0,0.2927012227998108,0.0
0.64,9.275459119431817e-22,-1.4176475092923221e-06,0.0,1.996467076552257e-11,0.34331335577769817,-0.005888790960957631,0.32614859342648744,0.0,6.433239576814585e-13,2.5536267253004185e-09,0.0,3.207686379704206e-12,0.0,0.2956671646570052,0.0
0.65,9.76097586154168e-22,-3.251350439937133e-06,0.0,4.0111919344957554e-11,0.33668986157138964,-0.011040198315506261,0.3309416297232528,0.0,1.2217076269274684e-12,2.792992172848577e-09,0.0,2.8583230092338495e-12,0.0,0.2985594200581979,0.0
0.66,9.29310727195507e-22,-5.215961046899034e-06,0.0,6.121025830815242e-11,0.330085188396974,-0.01633161472268696,0.3356329290130649,0.0,1.8196038214567014e-12,2.7864984972272767e-09,0.0,2.0979323449916507e-12,0.0,0.3013772681927078,0.0
0.67,7.668066120598973e-22,-7.1284914702987945e-06,0.0,8.117256482728305e-11,0.3237200212954019,-0.02119185773647886,0.34012431878464877,0.0,2.3758708811715487e-12,2.468919498104795e-09,0.0,9.006789026891738e-13,0.0,0.3041200067937045,0.0
0.68,4.755866748981597e-22,-8.762652512233876e-06,0.0,9.747800138894081e-11,0.3178588982051482,-0.024932502406717905,0.3442952541020048,0.0,2.8175885070548516e-12,1.7920684510718895e-09,0.0,-7.177043040190958e-13,0.0,0.3067869523132278,0.0
0.69,5.345513328812561e-23,-9.862360395970857e-06,0.0,1.0733553107310547e-10,0.3127949991236141,-0.026787898563260096,0.34800897514825685,0.0,3.0649936193876934e-12,7.347180832249248e-10,0.0,-2.690512396624235e-12,0.0,0.3093774400925428,0.0
