time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.18,4.1354248536939805e-18,2.2613071733269568e-07,0.0,-1.636014312776729e-12,2.0161209092609087,2.2254786325809245e-05,0.7037751410169034,-1.776897445889978e-18,3.891786616825142e-08,1.4846518972269814e-17,0.0,0.0978624365004061,0.0
0.19,4.8674829746222864e-18,3.6114723299279614e-07,0.0,-9.21615831939973e-13,2.0176988086404903,1.0215280834599482e-05,0.6989679813905039,-1.36161380140265e-18,2.0590812285345921e-07,-1.1804683283177024e-16,0.0,0.1031396909670125,0.0
0.2,5.255537653635219e-18,4.922865741643319e-07,0.0,8.673422038245061e-14,2.0169971355371135,-6.187581779348506e-06,0.6941867183097585,-6.837783666285473e-19,3.948314583027986e-07,-2.7348134720821377e-16,0.0,0.1083912408603388,0.0
0.21,5.164236478189821e-18,6.039503025235178e-07,0.0,1.3559372695740926e-12,2.0132140942932746,-2.6303191178627083e-05,0.6894281196114836,2.517834550705366e-19,5.905976544841359e-07,-4.402476839150017e-16,0.0,0.1136157773840545,0.0
0.22,4.475137047367729e-18,6.785180761940962e-07,0.0,2.8150581321514858e-12,2.005569638353547,-4.889423901975875e-05,0.6846918417403507,1.410340405866911e-18,7.733091620917373e-07,-6.028718036905173e-16,0.0,0.118811998474127,0.0
0.23,3.1043916647519285e-18,6.977614357035776e-07,0.0,4.353051126505145e-12,1.9933649511393916,-7.211670415633206e-05,0.6799806020698053,2.7230893845454105e-18,9.191805524362086e-07,-7.421888953750447e-16,0.0,0.1239786091233236,0.0
0.24,1.0213350824270906e-18,6.447043214716312e-07,0.0,5.8203290810370355e-12,1.9760414673441813,-9.356182265709e-05,0.6752999764715636,4.0856544996368956e-18,1.0021362082449795e-06,-8.364809797673436e-16,0.0,0.1291143217039541,0.0
0.25,-1.733845998352752e-18,5.058436045318981e-07,0.0,7.035031834980642e-12,1.9532323757601853,-0.00011037200955214322,0.6706577649235361,5.3601326399569285e-18,9.960908103092155e-07,-8.63203094674211e-16,0.0,0.1342178562887749,0.0
0.26,-5.03556955343867e-18,2.7357968472307074e-07,0.0,7.79455888433526e-12,1.924799245473683,-0.00011943769945349227,0.6660629178020493,6.381409760001664e-18,8.778425985479867e-07,-8.01264304341746e-16,0.0,0.1392879409699733,0.0
0.27,-8.663894048547858e-18,-5.1356330199216464e-08,0.0,7.89249788803784e-12,1.890847409979114,-0.00011767495894509777,0.6615240866437486,6.968192216029399e-18,6.304225768938913e-07,-6.337591279201795e-16,0.0,0.1443233121761542,0.0
0.28,-1.2303625111089554e-17,-4.577492352272863e-07,0.0,7.140517060981444e-12,1.8517165012649464,-0.00010237471755411348,0.6570479565793679,6.938793231399693e-18,2.466501478896005e-07,-3.5096697350708977e-16,0.0,0.1493227149872479,0.0
0.29,-1.5553757090513437e-17,-9.22332626225708e-07,0.0,5.394122547149762e-12,1.8079472231041784,-7.160405860602208e-05,0.6526376268482613,6.131197428733468e-18,-2.6744418138141665e-07,4.664151734923569e-17,0.0,0.1542849034472631,0.0
0.3,-1.7948973490977553e-17,-1.409139317939285e-06,0.0,2.5804580343189184e-12,1.7602310286976088,-2.4628986191767296e-05,0.6482913914150837,4.426323473229361e-18,-8.89744649765427e-07,5.45723110836628e-16,0.0,0.1592086408748047,0.0
0.31,-1.8994053969056984e-17,-1.8700875024185028e-06,0.0,-1.2743917639352593e-12,1.7093530087835016,3.7682502322255226e-05,0.6440022485533515,1.7727601548751046e-18,-1.5801908628148904e-06,1.1180904504897555e-15,0.0,0.1640927001712813,0.0
0.32,-1.8210830142774884e-17,-2.24706903892663e-06,0.0,-6.021757927645125e-12,1.6561374988370965,0.00011252706437117589,0.6397582802455122,-1.7893749477035315e-18,-2.280411795871154e-06,1.7198596230999169e-15,0.0,0.1689358641267233,0.0
0.33,-1.5195843389487487e-17,-2.475710961079218e-06,0.0,-1.137401100199411e-11,1.6014016389100356,0.00019495808370164984,0.6355437692460622,-6.108338245641607e-18,-2.915294381838203e-06,2.292111630596602e-15,0.0,0.1737369257231377,0.0
0.34,-9.685174351904964e-18,-2.4908414245190655e-06,0.0,-1.6899218732906685e-11,1.5459180412347442,0.00027785988299502853,0.6313407308480083,-1.090766439262758e-17,-3.3968314617190157e-06,2.7634004113789776e-15,0.0,0.1784946884353219,0.0
0.35,-1.6211707717953489e-18,-2.23351047402565e-06,0.0,-2.203039061658194e-11,1.4903860558313848,0.0003521557848994105,0.6271305087201238,-1.5783403852414278e-17,-3.6304333119000803e-06,3.054324285003861e-15,0.0,0.1832079665290631,0.0
0.36,8.785824957551422e-18,-1.6592032663527123e-06,0.0,-2.6092195616215042e-11,1.435411142220004,0.000407289632982796,0.6228951651708751,-2.021477217065778e-17,-3.5236628790021146e-06,3.0842067952630365e-15,0.0,0.1878755853566478,0.0
0.37,2.100894244450895e-17,-7.466538057498516e-07,0.0,-2.8346873824859232e-11,1.3814920963922006,0.000432000644923638,0.6186185021898353,-2.3590626158730818e-17,-2.9970750896079687e-06,2.7797110834682066e-15,0.0,0.192496381649609,0.0
0.38,3.417837119226674e-17,4.935581964071283e-07,0.0,-2.8059393602740052e-11,1.329015807466085,0.00041538422845000824,0.6142866422147967,-2.5253073004464764e-17,-1.996521281009755e-06,2.084950099298108e-15,0.0,0.1970692038086372,0.0
0.39,4.708593548319997e-17,2.011639901616756e-06,0.0,-2.4579783000700068e-11,1.2782589212554107,0.00034819765757186774,0.6098881705928558,-2.4557966624523524e-17,-5.059457590458441e-07,9.72371493108599e-16,0.0,0.2015929121905823,0.0
0.4,5.822846005200385e-17,3.713595045703146e-06,0.0,-1.7438102118815454e-11,1.2293954342944657,0.00022433128589158808,0.6054138959324855,-2.0950104933171787e-17,1.4406141345884982e-06,-5.465834043556084e-16,0.0,0.2060663793924776,0.0
0.41,6.589551720261562e-17,5.459802395342349e-06,0.0,-6.444903727988972e-12,1.1825089390246781,4.2326304229055116e-05,0.6008563213397353,-1.4048723237207948e-17,3.7493702917910796e-06,-2.4122904197728115e-15,0.0,0.2104884905325114,0.0
0.42,6.830371860012517e-17,7.068278046000914e-06,0.0,8.212498367909671e-12,1.1376080486304052,-0.00019321705340229396,0.5962089406639521,-3.736554438629309e-18,6.261168904586921e-06,-4.510637579665122e-15,0.0,0.2148581435278795,0.0
0.43,6.377512805151175e-17,8.32351577764638e-06,0.0,2.5889764965818187e-11,1.094643471533598,-0.0004705266807841029,0.5914654813421752,9.756474256461364e-18,8.751626099905771e-06,-6.671077936936055e-15,0.0,0.2191742493694471,0.0
0.44,5.0951823383020427e-17,8.991420300028199e-06,0.0,4.5434474420021186e-11,1.053525277594608,-0.000770044049366815,0.5866192112796301,2.578563838100715e-17,1.0938541598587314e-05,-8.670425241078649e-15,0.0,0.2234357323931527,0.0
0.45,2.9032484114520603e-17,8.840309918972996e-06,0.0,6.51777753370463e-11,1.0141390802266377,-0.0010645099717932118,0.5816624134196381,4.3251728800842206e-17,1.2497719604114661e-05,-1.0243511485258753e-14,0.0,0.227641530548086,0.0
0.46,-1.9893518758448968e-18,7.667285072008128e-06,0.0,8.298113176488081e-11,0.976360121110004,-0.0013199291834808755,0.5765861100840332,6.060117358480437e-17,1.3087695695601176e-05,-1.110136375092618e-14,0.0,0.2317905956611737,0.0
0.47,-4.111136511803035e-17,5.328474784039272e-06,0.0,9.634774897114507e-11,0.9400645539296372,-0.0014975425818640445,0.5713800915057641,7.587663371308476e-17,1.2383013597261419e-05,-1.0956899355504065e-14,0.0,0.2358818936984056,0.0
0.48,-8.616314045119065e-17,1.770843480200321e-06,0.0,1.0260365920602987e-10,0.9051375487588472,-0.0015568586598527492,0.5660332708412076,8.68259943942822e-17,1.0114651019390767e-05,-9.55730339650631e-15,0.0,0.2399144050225383,0.0
0.49,-1.3373379621201508e-16,-2.9375542672860624e-06,0.0,9.914704916826837e-11,0.8714781518088582,-0.0014596918859579337,0.560534352964362,9.107331583132611e-17,6.115024384199573e-06,-6.7212867219932486e-15,0.0,0.2438871246472093,0.0
0.5,-1.792179118714147e-16,-8.58264602804644e-06,0.0,8.375645461730929e-11,0.8390011145196679,-0.001175029920133108,0.554872768264854,8.634938477288414e-17,3.63804531353955e-07,-2.378397211404163e-15,0.0,0.2477990624874013,0.0
0.51,-2.170063867956897e-16,-1.4788937002586579e-05,0.0,5.4939397897047596e-11,0.8076361359544433,-0.000684411637567609,0.5490397875021108,7.077225893021568e-17,-6.9703251961261405e-06,3.3934290185407365e-15,0.0,0.2516492436061922,0.0
0.52,-2.4083991697508594e-16,-2.1017893228061007e-05,0.0,1.2293612410817916e-11,0.7773251337104714,1.2644309321724508e-05,0.5430297018454698,4.316006923027608e-17,-1.5497692540881458e-05,1.0336717342270175e-14,0.0,0.2554367084577291,0.0
