time,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-1.468460506424255e-09,0.0,1.645383037195875e-14,0.25354394452914014,-3.161703576700819e-16,0.03162958516731382,0.0,3.1386269594953723e-21,1.0480020882728908e-12,0.0,8.096950050238771e-16,0.0,0.0,0.0
0.01,-2.5784965466769726e-09,0.0,2.6909972098960304e-14,0.284150354867804,-3.792070434939279e-18,0.0349875525577225,0.0,4.3970862309821945e-21,1.1899261451674733e-12,0.0,9.353205281369502e-16,0.0,0.0055104379930924,0.0
0.02,-3.700026775146449e-09,0.0,3.718242849534633e-14,0.3142828315145962,3.927968082634913e-16,0.039017801071890866,0.0,5.504960451733445e-21,1.2378188514464931e-12,0.0,9.908080026185607e-16,0.0,0.0110195026695125,0.0
0.03,-4.7116274584358664e-09,0.0,4.608209187645008e-14,0.3436050065750391,8.521568201782816e-16,0.04484815863394947,0.0,6.298867197266936e-21,1.1611412462415913e-12,0.0,9.511842632910766e-16,0.0,0.0165258210548468,0.0
0.04,-5.4715090686904065e-09,0.0,5.2253267833061265e-14,0.3718203050761377,1.3401292286154845e-15,0.05362572007235478,0.0,6.606454916125766e-21,9.349920558396031e-13,0.0,7.953363465819638e-16,0.0,0.0220280208591157,0.0
0.05,-5.827794325449254e-09,0.0,5.4279484009117776e-14,0.3986814156475504,1.8102164475361826e-15,0.0664102597796799,0.0,6.26313076122601e-21,5.443843158307941e-13,0.0,5.09390775749892e-16,0.0,0.0275247308187759,0.0
0.06,-5.632673022625676e-09,0.0,5.082443573889798e-14,0.4239959650158114,2.205434312696703e-15,0.08406357110459575,0.0,5.132414014449623e-21,-1.1431521517138415e-14,0.0,9.01955833318183e-17,0.0,0.0330145810384688,0.0
0.07,-4.759902115405206e-09,0.0,4.080184474684558e-14,0.44762810542182935,2.4618253586995376e-15,0.10714349811312526,0.0,3.1286280635903257e-21,-7.150654562338576e-13,0.0,-4.514539290615781e-16,0.0,0.0384962033324266,0.0
0.08,-3.1246055956943296e-09,0.0,2.3563126801024848e-14,0.46949618155800044,2.513688608685601e-15,0.13581271827112026,0.0,2.4003905147682324e-22,-1.5280529005929938e-12,0.0,-1.088272539420686e-15,0.0,0.0439682315654531,0.0
0.09,-7.037929453298113e-10,0.0,-9.131924292286785e-16,0.4895670367211492,2.300405713148728e-15,0.1697728804902334,0.0,-3.450007731634751e-21,-2.38947196791595e-12,0.0,-1.7750910663007867e-15,0.0,0.0494293019933934,0.0
0.1,2.4444889468761638e-09,0.0,-3.1850877201830086e-14,0.5078478099466948,1.774533823825013e-15,0.20823402906518776,0.0,-7.746837239728e-21,-3.2166829751967527e-12,0.0,-2.449073795206215e-15,0.0,0.0548780536030072,0.0
0.11,6.1658631046645226e-09,0.0,-6.75481884862675e-14,0.5243762509721756,9.1060654905623e-16,0.2499268304368798,0.0,-1.2336194430188369e-20,-3.908677307598903e-12,0.0,-3.031955478136951e-15,0.0,0.060313128451162,0.0
0.12,1.0200921907271096e-08,0.0,-1.0531856998526535e-13,0.5392106372474644,-2.8614411908248574e-16,0.29316066875638497,0.0,-1.678705624055554e-20,-4.352363782529465e-12,0.0,-3.434591278089566e-15,0.0,0.0657331720032609,0.0
0.13,1.4185852762743274e-08,0.0,-1.415247646593045e-13,0.552420325551298,-1.7721343696806903e-15,0.33592508273657806,0.0,-2.056816084317991e-20,-4.431882560855465e-12,0.0,-3.56393494987834e-15,0.0,0.0711368334708214,0.0
0.14,1.7664822138726847e-08,0.0,-1.7172762820583864e-13,0.5640778236434807,-3.4599798800119866e-15,0.37602787681827515,0.0,-2.3080098582700645e-20,-4.0407247028318606e-12,0.0,-3.3323219023964365e-15,0.0,0.0765227661481197,0.0
0.15,2.0115897094592633e-08,0.0,-1.909638752034545e-13,0.5742530433948766,-5.21644813278625e-15,0.4112621153560284,0.0,-2.3703576145899767e-20,-3.096064476110582e-12,0.0,-2.6686448230725784e-15,0.0,0.0818896277478181,0.0
0.16,2.0991257813145566e-08,0.0,-1.9415650090209577e-13,0.5830101219271537,-6.864951324598788e-15,0.4395930559820191,0.0,-2.1862834076546625e-20,-1.554306841897861e-12,0.0,-1.5306888453234671e-15,0.0,0.0872360807354914,0.0
