time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,1.983756627447259e-21,7.672834887979215e-11,0.0,7.892124549384286e-14,1.98646112740398,3.92240611643089e-08,0.3566641030478681,0.0,2.669675646854233e-11,9.70327086397645e-19,0.0,0.0,0.0
0.01,2.321036553311423e-21,1.1293369692790718e-10,0.0,1.341445223329935e-13,1.9714031399653085,7.675278291520076e-08,0.3591631154338452,0.0,8.448702849829381e-11,3.8414961877711326e-18,0.0,0.0055104379930924,0.0
0.02,2.491115296160672e-21,1.4631310023790525e-10,0.0,1.8928499541451868e-13,1.9561877900967026,1.1582715929503753e-07,0.3616308680570347,0.0,1.4839911747647e-10,7.056338295814065e-18,0.0,0.0110195026695125,0.0
0.03,2.430262960728014e-21,1.7240293307486067e-10,0.0,2.3820102918209797e-13,1.9402998641958698,1.5252393585843732e-07,0.3640675110649716,0.0,2.1297987651904625e-10,1.0350141103974818e-17,0.0,0.0165258210548468,0.0
0.04,2.0832921487912154e-21,1.8635153852985393e-10,0.0,2.7379450333555994e-13,1.9232926517598379,1.8213146834622237e-07,0.3664746294430927,0.0,2.712392219106734e-10,1.3378422363336087e-17,0.0,0.0220280208591157,0.0
0.05,1.4119759603783702e-21,1.833537538023719e-10,0.0,2.88542216619331e-13,1.9048198870311366,1.9946131575241044e-07,0.36885482641077894,0.0,3.1501388375022085e-10,1.573377583693493e-17,0.0,0.0275247308187759,0.0
0.06,4.0384109378229783e-22,1.591968271866056e-10,0.0,2.7521705001360266e-13,1.884653779717007,1.992963440420571e-07,0.3712113399024729,0.0,3.3555896730872134e-10,1.697422138049175e-17,0.0,0.0330145810384688,0.0
0.07,-9.195395096154282e-22,1.1088700044623914e-10,0.0,2.2776972333629683e-13,1.862688879505715,1.7696221064431365e-07,0.3735476914356576,0.0,3.2436275878267075e-10,1.6662997627459275e-17,0.0,0.0384962033324266,0.0
0.08,-2.495809322539524e-21,3.7308833425468016e-11,0.0,1.423163237778293e-13,1.838933334600439,1.2899188086840402e-07,0.37586736775934515,0.0,2.741542007892848e-10,1.4418448951852512e-17,0.0,0.0439682315654531,0.0
0.09,-4.217811318663842e-21,-6.014714162629418e-11,0.0,1.8150333814608647e-14,1.8134903299981948,5.3834358928184003e-08,0.3781735385560363,0.0,1.8004287261512698e-10,9.971176101379324e-18,0.0,0.0494293019933934,0.0
0.1,-5.933467131480973e-21,-1.770666101079059e-10,0.0,-1.4132663751068162e-13,1.7865331345479178,-4.745918655862028e-08,0.38046881703820273,0.0,4.070046206668533e-11,3.224054258681982e-18,0.0,0.0548780536030072,0.0
0.11,-7.450610748610649e-21,-3.056904579345327e-10,0.0,-3.2788056976179657e-13,1.7582773361872825,-1.7065413642213663e-07,0.382755073610164,0.0,-1.4053630299460792e-10,-5.6907752489075454e-18,0.0,0.060313128451162,0.0
0.12,-8.547569089470504e-21,-4.3487897096159375e-10,0.0,-5.280629859070071e-13,1.7289536090092883,-3.0794862689452677e-07,0.3850333150661649,0.0,-3.547847724960583e-10,-1.6365078295655112e-17,0.0,0.0657331720032609,0.0
