time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-6.387056424609678e-19,2.3826685169741314e-08,0.0,1.823164763597061e-13,1.6145230078084165,-2.6105708721146716e-06,0.8908176992629664,0.0,6.993553644741584e-08,-5.260675197807466e-17,0.0,0.0,0.0
0.01,-1.3065173899344933e-18,-3.5962554904423465e-09,0.0,3.1225488120118024e-13,1.6152598494546753,-4.187215933418016e-06,0.8830205757031121,0.0,4.657682793657698e-08,-6.148945405716633e-17,0.0,0.0055104379930924,0.0
0.02,-2.0084138990997315e-18,-3.797564621409092e-08,0.0,4.423746320595129e-13,1.6161208302289867,-5.721922511279706e-06,0.8753157868783823,0.0,1.1781851527950403e-08,-6.592851403606319e-17,0.0,0.0110195026695125,0.0
0.03,-2.675616629509566e-18,-7.736079127288988e-08,0.0,5.582834116114513e-13,1.6170434322569023,-7.0330658627229076e-06,0.867712285175183,0.0,-3.365418782102055e-08,-6.423920544105683e-17,0.0,0.0165258210548468,0.0
0.04,-3.2247500224243694e-18,-1.1872204288733228e-07,0.0,6.433058231026063e-13,1.6179415084485547,-7.915122747694748e-06,0.8602157899457027,0.0,-8.754146724630429e-08,-5.496524721963579e-17,0.0,0.0220280208591157,0.0
0.05,-3.5631820737524695e-18,-1.5799772935790788e-07,0.0,6.797221413988311e-13,1.618708527458003,-8.155077298276438e-06,0.8528297686922364,0.0,-1.4616456938162327e-07,-3.710174918111417e-17,0.0,0.0275247308187759,0.0
0.06,-3.596825021037371e-18,-1.9026824107113202e-07,0.0,6.504553362394471e-13,1.619223967476539,-7.554059246620518e-06,0.8455561407203811,0.0,-2.0428573783728363e-07,-1.0327847149399268e-17,0.0,0.0330145810384688,0.0
0.07,-3.240190029577631e-18,-2.1007205591529217e-07,0.0,5.411393116632678e-13,1.619363001252536,-5.953215820594853e-06,0.8383957095912735,0.0,-2.553180085836214e-07,2.4774199112352375e-17,0.0,0.0384962033324266,0.0
0.08,-2.428184248281001e-18,-2.1186669308811072e-07,0.0,3.4244098978989036e-13,1.619009290450933,-3.262080733730642e-06,0.8313483560485029,0.0,-2.916945630617218e-07,6.654139949909012e-17,0.0,0.0439682315654531,0.0
0.09,-1.1288079414508118e-18,-1.9062229677295712e-07,0.0,5.24465129691077e-14,1.618070317278889,5.130393238702878e-07,0.8244130417087848,0.0,-3.054459320357499e-07,1.1212476500488755e-16,0.0,0.0494293019933934,0.0
0.1,6.444164488597636e-19,-1.4251752839089447e-07,0.0,-3.2113617843857617e-13,1.6164942510356342,5.243807336223662e-06,0.817587686013783,0.0,-2.8897672388902176e-07,1.574874666805366e-16,0.0,0.0548780536030072,0.0
0.11,2.821735028600264e-18,-6.568795521985714e-08,0.0,-7.592522051566134e-13,1.6142869140987222,1.0661371044635363e-05,0.8108689849829622,0.0,-2.360091674613312e-07,1.9753436898195378e-16,0.0,0.060313128451162,0.0
0.12,5.269823158037191e-18,3.904206590633085e-08,0.0,-1.2305716492769967e-12,1.6115270233183294,1.6348519159546868e-05,0.8042522404031892,0.0,-1.4263346677104657e-07,2.263937960620675e-16,0.0,0.0657331720032609,0.0
0.13,7.789534845388455e-18,1.6752968710705956e-07,0.0,-1.6916753067328704e-12,1.6083775940620904,2.174620378043272e-05,0.797731262566031,0.0,-8.377012646357223e-09,2.3786108431291575e-16,0.0,0.0711368334708214,0.0
0.14,1.0120355624047539e-17,3.1188336500832193e-07,0.0,-2.0886323862660484e-12,1.6050912640445498,2.6177558424784987e-05,0.7912983990476145,0.0,1.6282118937948754e-07,2.259980762369745e-16,0.0,0.0765227661481197,0.0
0.15,1.1952862660307449e-17,4.603334238579519e-07,0.0,-2.360168300526386e-12,1.60200737934093,2.889143819980971e-05,0.7849447268750422,0.0,3.618644750895736e-07,1.8586383108808495e-16,0.0,0.0818896277478181,0.0
0.16,1.294995662033678e-17,5.974984308778974e-07,0.0,-2.442497337036651e-12,1.5995390333255257,2.9125884985149565e-05,0.778660426075302,0.0,5.741249433647439e-07,1.1433062877528502e-16,0.0,0.0872360807354914,0.0
0.17,1.2776861097584051e-17,7.051239813229674e-07,0.0,-2.275730262293015e-12,1.5981488914062603,2.618981658894155e-05,0.7724353295039241,0.0,7.795837234738553e-07,1.0917556560468421e-17,0.0,0.0925607926629685,0.0
0.18,1.1138910943594902e-17,7.633385919147806e-07,0.0,-1.811567971958407e-12,1.5983135758149951,1.95587594425419e-05,0.7662596182735588,0.0,9.536073454479304e-07,-1.2144614593834407e-16,0.0,0.0978624365004061,0.0
0.19,7.825023652653837e-18,7.5242598403697e-07,0.0,-1.021772058031749e-12,1.6004775977788432,8.977764043056096e-06,0.7601246062357229,0.0,1.0684446473336447e-06,-2.758315673059687e-16,0.0,0.1031396909670125,0.0
0.2,2.753552191015446e-18,6.550555182417745e-07,0.0,9.331964233965961e-14,1.6049992421412023,-5.437995306948644e-06,0.7540235333421014,0.0,1.0954713103945296e-06,-4.410065014791827e-16,0.0,0.1083912408603388,0.0
0.21,-3.983932309638637e-18,4.5884605852162444e-07,0.0,1.4971657725483208e-12,1.6120923215907708,-2.3116725605480134e-05,0.7479522689043695,0.0,1.0081333819751177e-06,-6.015281146147553e-16,0.0,0.1136157773840545,0.0
0.22,-1.2086343811376184e-17,1.5906807485027508e-07,0.0,3.1113674333275803e-12,1.621769170020318,-4.297101060443762e-05,0.7419098146521161,0.0,7.854505006897757e-07,-7.383279115325046e-16,0.0,0.118811998474127,0.0
0.23,-2.102030803586731e-17,-2.3877891046439565e-07,0.0,4.8131443578550354e-12,1.6337914433765877,-6.338022067905156e-05,0.7358984974391755,0.0,4.158400425017376e-07,-8.298561117263822e-16,0.0,0.1239786091233236,0.0
0.24,-3.0017068121854174e-17,-7.16833104794543e-07,0.0,6.43706107022308e-12,1.6476360172609354,-8.222739844321824e-05,0.7299237561647691,0.0,-9.907626942754139e-08,-8.538084430022869e-16,0.0,0.1291143217039541,0.0
0.25,-3.809469131335654e-17,-1.2435374308191398e-06,0.0,7.781951369058253e-12,1.6624832729364536,-9.70011373079105e-05,0.7239934604056251,0.0,-7.411105861646035e-07,-7.893998751078107e-16,0.0,0.1342178562887749,0.0
0.26,-4.4109897926803736e-17,-1.7734693398179034e-06,0.0,8.623666767165696e-12,1.67723411019542,-0.0001049685761030671,0.7181167521601615,0.0,-1.4730845115240192e-06,-6.200795808902785e-16,0.0,0.1392879409699733,0.0
0.27,-4.6841704417629675e-17,-2.2486642520737568e-06,0.0,8.733795790105137e-12,1.6905599069936825,-0.00010341938047901228,0.7123024789631467,0.0,-2.237862613320331e-06,-3.3650407419942284e-16,0.0,0.1443233121761542,0.0
0.28,-4.5106128434939865e-17,-2.601686338998535e-06,0.0,7.903877588718624e-12,1.7009862061055292,-8.99726667500138e-05,0.7065573874859873,0.0,-2.959342224783117e-06,6.049228771409321e-17,0.0,0.1493227149872479,0.0
0.29,-3.789755366218125e-17,-2.7605744338941426e-06,0.0,5.9738955465566374e-12,1.7070060737470454,-6.292967889542917e-05,0.700884364604138,0.0,-3.545814390398933e-06,5.572599149642077e-16,0.0,0.1542849034472631,0.0
0.3,-2.4548211793804375e-17,-2.655616966325067e-06,0.0,2.8630357012753156e-12,1.7072129977143364,-2.1645339977442127e-05,0.6952811054781736,0.0,-3.895958853842841e-06,1.1254118504462444e-15,0.0,0.1592086408748047,0.0
0.31,-4.892936315969423e-18,-2.227694397970594e-06,0.0,-1.4000971646565108e-12,1.7004368544461443,3.311750503918266e-05,0.6897395639931311,0.0,-3.907514083698826e-06,1.7210221295815504e-15,0.0,0.1640927001712813,0.0
0.32,2.057768800998041e-17,-1.437683471671876e-06,0.0,-6.651305667143251e-12,1.6858623752406343,9.889512084531162e-05,0.6842463396677413,0.0,-3.488377358207998e-06,2.285334180173059e-15,0.0,0.1689358641267233,0.0
0.33,5.0595894507401944e-17,-2.7616406483204055e-07,0.0,-1.2572658137129315e-11,1.6631107210452905,0.00017134014252149197,0.6787838625118152,0.0,-2.56955444447342e-06,2.747305659189757e-15,0.0,0.1737369257231377,0.0
0.34,8.304901141150341e-17,1.227567801282175e-06,0.0,-1.868654758636388e-11,1.632271911278784,0.0002441989121390654,0.6733320326088861,0.0,-1.1190173737773573e-06,3.0281998008199955e-15,0.0,0.1784946884353219,0.0
0.35,1.1498737048153608e-16,2.998367499348531e-06,0.0,-2.4365883458945835e-11,1.5938859735668645,0.00030949433451157307,0.6678699412242666,0.0,8.448245397692704e-07,3.0482625049014554e-15,0.0,0.1832079665290631,0.0
0.36,1.4272725622956737e-16,4.911286129591826e-06,0.0,-2.8863612045988992e-11,1.5488796682633477,0.000357949064924013,0.6623773864875635,0.0,3.2416396777741714e-06,2.735303368550757e-15,0.0,0.1878755853566478,0.0
0.37,1.6206295970504104e-16,6.792082924941496e-06,0.0,-3.1363472902516316e-11,1.4984712548588373,0.00037966649375056265,0.6568360093795578,0.0,5.921482829057548e-06,2.034738733616001e-15,0.0,0.192496381649609,0.0
0.38,1.685936609047545e-16,8.423347346733421e-06,0.0,-3.105205269729871e-11,1.4440579476501487,0.00036506305123902984,0.6512299736596237,0.0,8.662769105255163e-06,9.20373977959659e-16,0.0,0.1970692038086372,0.0
0.39,1.581596515363965e-16,9.557055954862532e-06,0.0,-2.7209850067481488e-11,1.3871002805119346,0.00030601570930954846,0.6455461899147079,0.0,1.1177657602812595e-05,-5.95073658702277e-16,0.0,0.2015929121905823,0.0
0.4,1.273687993033412e-16,9.933896101104833e-06,0.0,-1.9316341249625178e-11,1.329015447308436,0.00019715496665942018,0.6397741400321652,0.0,1.3126234709562539e-05,-2.450949504110296e-15,0.0,0.2060663793924776,0.0
0.41,7.417901380000382e-17,9.30902635037644e-06,0.0,-7.161138061179957e-12,1.2710885648962202,3.719873963262089e-05,0.6339053957038022,0.0,1.4140282885393868e-05,-4.532536723501269e-15,0.0,0.2104884905325114,0.0
0.42,-1.5129271330762539e-18,7.483140429246579e-06,0.0,9.049467823455589e-12,1.2144073394320187,-0.00016981002706902438,0.6279329451591625,0.0,1.3856567410458331e-05,-6.669290464219276e-15,0.0,0.2148581435278795,0.0
0.43,-9.73398531598463e-17,4.336808779696279e-06,0.0,2.8603639865408028e-11,1.1598222768016413,-0.0004135253435846209,0.6218504485945054,0.0,1.1958498862452957e-05,-8.63879609789395e-15,0.0,0.2191742493694471,0.0
