time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,2.4088460994523162e-20,2.569413290350135e-09,0.0,1.4184603937066245e-13,1.9568304730151693,1.9350117277754808e-08,0.6684388459455578,0.0,2.204969394738037e-09,-1.471367030072791e-18,0.0,0.0,0.0
0.01,2.2826907730213676e-20,3.1686671475875384e-09,0.0,2.420742242728466e-13,1.9564449840015472,3.785564928866122e-08,0.6673578755705293,0.0,3.347187869682739e-09,7.336509455241519e-19,0.0,0.0055104379930924,0.0
0.02,1.8692834149303045e-20,3.5768895853682345e-09,0.0,3.423070563750231e-13,1.9558688164396072,5.7122392891549445e-08,0.6662883605085137,0.0,4.424196493262487e-09,3.448677257830201e-18,0.0,0.0110195026695125,0.0
0.03,1.1374685326830042e-20,3.697521139314662e-09,0.0,4.3142188616271984e-13,1.9551158399270845,7.521562860734476e-08,0.6652342670566375,0.0,5.298939684801434e-09,6.509103051361931e-18,0.0,0.0165258210548468,0.0
0.04,8.308181292099537e-22,3.4400290223352115e-09,0.0,4.965466926545339e-13,1.9542235088449127,8.981196190154013e-08,0.6641994367577405,0.0,5.820053800706436e-09,9.667821662524422e-18,0.0,0.0220280208591157,0.0
0.05,-1.2633476993975511e-20,2.731574177627872e-09,0.0,5.240197743242181e-13,1.9532550426763091,9.83530003603045e-08,0.6631876280026673,0.0,5.8348329209244835e-09,1.2600532711032193e-17,0.0,0.0275247308187759,0.0
0.06,-2.8306809447546684e-20,1.5298435278183866e-09,0.0,5.006945773308011e-13,1.9522993065427645,9.826634020784053e-08,0.6622024742924657,0.0,5.205821477341282e-09,1.492103858548497e-17,0.0,0.0330145810384688,0.0
0.07,-4.504173487202803e-20,-1.6406461168268928e-10,0.0,4.155373727000475e-13,1.9514677705938936,8.724738378398675e-08,0.6612473613600423,0.0,3.8301645234790855e-09,1.6207515453872256e-17,0.0,0.0384962033324266,0.0
0.08,-6.126517559783331e-20,-2.2941181707482186e-09,0.0,2.6141895121521855e-13,1.9508880760850884,6.358701873941831e-08,0.6603252363929305,0.0,1.6603071581582069e-09,1.6039786029526947e-17,0.0,0.0439682315654531,0.0
0.09,-7.503888793166025e-20,-4.740836783602369e-09,0.0,3.695344939600224e-14,1.950693974463869,2.652108314237724e-08,0.6594383724404428,0.0,-1.275892961026846e-09,1.4046407265718728e-17,0.0,0.0494293019933934,0.0
