time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-2.229071621092379e-23,-4.246891619311277e-10,0.0,1.1295423752135827e-14,0.25300471975066174,-1.6772108288616296e-06,0.04455768140698828,0.0,1.666465183896148e-16,-1.3341895139793024e-12,4.960015226250276e-16,0.0,0.0,0.0
0.01,-2.0722440589142317e-23,-7.450390540951899e-10,0.0,1.8974836809544905e-14,0.25860399271889406,0.011668812441581737,0.04835281117552916,0.0,-5.840576541728954e-17,-1.9890619388926114e-12,2.3642484719213804e-15,0.0,0.0055104379930924,0.0
0.02,-1.6432999844820588e-23,-1.0686061801200442e-09,0.0,2.660707955108615e-14,0.2640998801784533,0.024251792699324114,0.052287756233490135,0.0,-3.3734017744457467e-16,-2.5987756173305416e-12,4.4711502387953716e-15,0.0,0.0110195026695125,0.0
0.03,-9.168685351024008e-24,-1.360332653292597e-09,0.0,3.333252555316925e-14,0.2693895981210135,0.03849563907670496,0.056493366488682535,0.0,-6.536436451686962e-16,-3.0835301143925496e-12,6.646823508474496e-15,0.0,0.0165258210548468,0.0
0.04,1.0620080763908051e-24,-1.5792917610862906e-09,0.0,3.8161619766973376e-14,0.2743816351880649,0.054839406661023486,0.061046768158222485,0.0,-9.822252433087085e-16,-3.3559923866871318e-12,8.668182276692327e-15,0.0,0.0220280208591157,0.0
0.05,1.3918994078262895e-23,-1.6816572474184724e-09,0.0,4.0049877439368634e-14,0.2789993546093548,0.0733045593861004,0.06595200807582224,0.0,-1.289900818321411e-15,-3.328971591355435e-12,1.0269433150175742e-14,0.0,0.0275247308187759,0.0
0.06,2.8679406276741286e-23,-1.6247909423888176e-09,0.0,3.799910290143214e-14,0.28318319670680897,0.09343875359253465,0.07112992579523585,0.0,-1.5369060751810111e-15,-2.9251367321972843e-12,1.116012698126738e-14,0.0,0.0330145810384688,0.0
0.07,4.4215173828666143e-23,-1.3722949264446825e-09,0.0,3.118062353602042e-14,0.2868913897324845,0.11432276165942548,0.07641920989133377,0.0,-1.6795460166150659e-15,-2.0882462897903755e-12,1.105078967681293e-14,0.0,0.0384962033324266,0.0
0.08,5.900956587176791e-23,-8.997260805305137e-10,0.0,1.9072761755399482e-14,0.29009924246196533,0.13464586458423206,0.08158957667174911,0.0,-1.6739914121572505e-15,-7.950487379949941e-13,9.685319744797815e-15,0.0,0.0439682315654531,0.0
0.09,7.122132085400256e-23,-2.0051629325619965e-10,0.0,1.6011004719227596e-15,0.2927972330454012,0.1528474590958702,0.08636666997599833,0.0,-1.4811085007050736e-15,9.33287237959733e-13,6.87837101103782e-15,0.0,0.0494293019933934,0.0
0.1,7.88020051716828e-23,7.08503743898249e-10,0.0,-2.0733282963629608e-14,0.2949882129938818,0.16731309078491535,0.09046659738939367,0.0,-1.0720629019845019e-15,3.021607897779001e-12,2.5549076367781808e-15,0.0,0.0548780536030072,0.0
0.11,7.966785029424777e-23,1.7826967083028976e-09,0.0,-4.675508042140277e-14,0.2966841074155183,0.17660160104136366,0.09363598380313815,0.0,-4.342832849261597e-16,5.3346371709222306e-12,-3.2118770895997834e-15,0.0,0.060313128451162,0.0
0.12,7.192160468528802e-23,2.94711545767834e-09,0.0,-7.456438944930555e-14,0.29790251225682446,0.179667364845665,0.09569117924553067,0.0,4.227807664767894e-16,7.675867661335629e-12,-1.016892663357421e-14,0.0,0.0657331720032609,0.0
0.13,5.411318712871519e-23,4.096693257077851e-09,0.0,-1.0155328773494857e-13,0.29866356908187247,0.17603225214071352,0.09654860825276002,0.0,1.4628011027690752e-15,9.792951789099094e-12,-1.7863169379814845e-14,0.0,0.0711368334708214,0.0
0.14,2.5520612743834937e-23,5.099828761441508e-09,0.0,-1.2450545637327747e-13,0.29898744235664554,0.16586571947866263,0.09623891485510674,0.0,2.6193943127297547e-15,1.1390738110412428e-11,-2.563816614789508e-14,0.0,0.0765227661481197,0.0
0.15,-1.3574557582754705e-23,5.805878345871938e-09,0.0,-1.3979006335922373e-13,0.29889263955749507,0.14995459624935265,0.0949016469431162,0.0,3.795429526940617e-15,1.2152556262690403e-11,-3.2652435345416355e-14,0.0,0.0818896277478181,0.0
0.16,-6.164929239596481e-23,6.0567720942587985e-09,0.0,-1.4365366297317956e-13,0.2983953093098536,0.129577134935461,0.09276305210457939,0.0,4.8655639859820484e-15,1.1769600122549987e-11,-3.792323600861892e-14,0.0,0.0872360807354914,0.0
0.17,-1.1577516803458131e-22,5.70256998964309e-09,0.0,-1.326039952512572e-13,0.29750953720077844,0.10631913959209933,0.09010366101790969,0.0,5.682590674098886e-15,9.97731939499183e-12,-4.039777675079792e-14,0.0,0.0925607926629685,0.0
0.18,-1.7156649790057723e-22,4.620288218877284e-09,0.0,-1.0386772903992188e-13,0.2962485420727028,0.08187396137653093,0.08722303471102028,0.0,6.087915849939921e-15,6.596659496625622e-12,-3.905130183241202e-14,0.0,0.0978624365004061,0.0
0.19,-2.2327632662504655e-22,2.734782733561983e-09,0.0,-5.589116805278419e-14,0.294626565254828,0.05785916791625442,0.0844074636466481,0.0,5.9261110772428485e-15,1.5768719454950757e-12,-3.300837459780544e-14,0.0,0.1031396909670125,0.0
0.2,-2.6406929430918185e-22,3.992349624308409e-11,0.0,1.1160139585262745e-14,0.2926611490269547,0.035670567315659873,0.08190426296367775,0.0,5.063017167920301e-15,-4.964436084928679e-12,-2.1680116239340525e-14,0.0,0.1083912408603388,0.0
0.21,-2.864885208577027e-22,-3.3822132791389254e-09,0.0,9.495864417418079e-14,0.29037542725432436,0.01638361227182858,0.07990442460715927,0.0,3.4063429596519714e-15,-1.2709199696780045e-11,-4.906444025724443e-15,0.0,0.1136157773840545,0.0
0.22,-2.831167214250694e-22,-7.3467971576323726e-09,0.0,1.9069328980684481e-13,0.2878000099261928,0.0007038741235727303,0.07853391385276645,0.0,9.271413443786632e-16,-2.11204372632284e-11,1.691114058963379e-14,0.0,0.118811998474127,0.0
0.23,-2.4741025800316202e-22,-1.1559200567860704e-08,0.0,2.909374761863682e-13,0.284974043854353,-0.011037762203737313,0.07785283126282723,0.0,-2.31998631048663e-15,-2.9443143213286765e-11,4.270349028784916e-14,0.0,0.1239786091233236,0.0
