time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-6.835714742807549e-22,-5.490466346050977e-10,0.0,6.699193652307701e-14,1.7761391299367568,-3.0758103128112047e-06,0.3119164089937571,0.0,-5.642586642460392e-10,7.437306509821392e-16,0.0,0.0,0.0
0.01,4.660689195091446e-21,-5.202578051871157e-10,0.0,1.1418604138961738e-13,1.7455298524847995,-4.927543931137299e-06,0.3220864146823472,0.0,-7.398698680649233e-10,9.858164731709867e-16,0.0,0.0055104379930924,0.0
0.02,1.0921040455160018e-20,-4.2599042012974525e-10,0.0,1.6135993862925042e-13,1.7152213154193354,-6.728938871968875e-06,0.33302539435515177,0.0,-8.804487263059447e-10,1.183396722416985e-15,0.0,0.0110195026695125,0.0
0.03,1.7648212655222692e-20,-2.5914619230590075e-10,0.0,2.032728472287874e-13,1.685122056934926,-8.266510776630794e-06,0.34536853732818323,0.0,-9.60992088171834e-10,1.302599215111683e-15,0.0,0.0165258210548468,0.0
0.04,2.4220603799313607e-20,-1.8779980512249818e-11,0.0,2.338622007294519e-13,1.6551417203837253,-9.298800499107947e-06,0.35948923806091715,0.0,-9.564550257599133e-10,1.3091673074583612e-15,0.0,0.0220280208591157,0.0
0.05,2.986706185985822e-20,2.881448196094642e-10,0.0,2.466962256350941e-13,1.625201080611856,-9.575676016763048e-06,0.3754072726926319,0.0,-8.445199942790124e-10,1.172159777298116e-15,0.0,0.0275247308187759,0.0
0.06,3.371238033697105e-20,6.454080012873734e-10,0.0,2.355889277754747e-13,1.595238655546045,-8.863774533505476e-06,0.3927410679690136,0.0,-6.088059867214308e-10,8.682750678205166e-16,0.0,0.0330145810384688,0.0
0.07,3.484654876954037e-20,1.0268502692260243e-09,0.0,1.953527722820764e-13,1.5652137764348322,-6.976907305611211e-06,0.4107134567532685,0.0,-2.422794384961054e-10,3.8648731000443743e-16,0.0,0.0384962033324266,0.0
0.08,3.241644216310693e-20,1.3966113433936106e-09,0.0,1.2264242432760776e-13,1.5351063690395605,-3.8093829476293234e-06,0.42821543969325104,0.0,2.4945766438592006e-10,-2.674369160902705e-16,0.0,0.0439682315654531,0.0
0.09,2.5735789238393284e-20,1.7105088858471186e-09,0.0,1.6820296997195765e-14,1.504914009852354,6.306673510781858e-07,0.4439260502292665,0.0,8.454004412025327e-10,-1.0670744996264248e-15,0.0,0.0494293019933934,0.0
0.1,1.4406114310800615e-20,1.918711173216925e-09,0.0,-1.192463474078847e-13,1.474647047900169,6.191661798066112e-06,0.45647834401075654,0.0,1.5073414387699565e-09,-1.962738437508294e-15,0.0,0.0548780536030072,0.0
0.11,-1.5618301080341712e-21,1.969753830742628e-09,0.0,-2.7856360755671337e-13,1.4443227152252167,1.2556918029791264e-05,0.4646517706579093,0.0,2.179497969869191e-09,-2.880753741328864e-15,0.0,0.060313128451162,0.0
0.12,-2.163948921672375e-20,1.8158152288664388e-09,0.0,-4.496805261326856e-13,1.4139591865090613,1.923552465799999e-05,0.46756041542195675,0.0,2.7899906092393816e-09,-3.725202149455395e-15,0.0,0.0657331720032609,0.0
0.13,-4.470029276020562e-20,1.4190025061146234e-09,0.0,-6.167648771381249e-13,1.3835704949924439,2.55701064085475e-05,0.46479867919579076,0.0,3.254505249983703e-09,-4.382604165454237e-15,0.0,0.0711368334708214,0.0
0.14,-6.898431495812687e-20,7.582214561048673e-10,0.0,-7.601856796883738e-13,1.3531630765421738,3.076515222068614e-05,0.4565091614255279,0.0,3.482317875797901e-09,-4.729806528386383e-15,0.0,0.0765227661481197,0.0
0.15,-9.212376717352101e-20,-1.639757721817245e-10,0.0,-8.576736635955676e-13,1.3227345080981254,3.393827712231007e-05,0.4433571312080206,0.0,3.3846469622844363e-09,-4.645059283320182e-15,0.0,0.0818896277478181,0.0
0.16,-1.1124281049077925e-19,-1.3153313104335503e-09,0.0,-8.860858622485293e-13,1.2922747445836977,3.419487863710488e-05,0.4264239360116663,0.0,2.885030607190922e-09,-4.021908279953536e-15,0.0,0.0872360807354914,0.0
0.17,-1.231405424169085e-19,-2.6294946808979897e-09,0.0,-8.237404744256045e-13,1.2617698560231256,3.072417493331901e-05,0.40705138876565733,0.0,1.9311194665647716e-09,-2.785116007449133e-15,0.0,0.0925607926629685,0.0
0.18,-1.245591533100143e-19,-4.004244001070586e-09,0.0,-6.532157569575659e-13,1.231207944213387,2.2911698347133235e-05,0.38667253406048524,0.0,5.069560657547566e-10,-9.073873749278985e-16,0.0,0.0978624365004061,0.0
