time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,1.0216313302802593e-07,1.2157059106123569,0.0,-9.865777215325329e-22,1.5767402235755206,-4.7265685040213885e-07,2.3555840776391225e-08,3.571265150766577e-20,4.060307126112856e-09,0.0,0.0,0.0
0.01,2.757338311927135e-07,1.2216172163429575,0.0,-1.2378774042228808e-21,1.5767403292423061,-3.300731038375819e-07,2.925631962891753e-08,4.025641135397786e-20,3.2216451095125423e-09,0.0,0.0,0.0123984854844581
0.02,4.6525098304698066e-07,1.2273302125900496,0.0,-1.4191603799988775e-21,1.5767405551631397,-1.1260083054702185e-07,3.3237950612017714e-08,4.151039555272592e-20,1.8003763648234627e-09,0.0,0.0,0.0247938810064031
0.03,6.539526527975978e-07,1.232491840962373,0.0,-1.491520826310556e-21,1.5767409085132795,1.7570469638058668e-07,3.459766372804135e-08,3.8445542125309303e-20,-2.0199008443259412e-10,0.0,0.0,0.0371830973734054
0.04,8.206713607807305e-07,1.236852223089394,0.0,-1.417709213413911e-21,1.576741384246031,5.218368889385822e-07,3.24812299748769e-08,3.023670822455984e-20,-2.7190298053043344e-09,0.0,0.0,0.0495630469330103
0.05,9.410022896806487e-07,1.2403151394136145,0.0,-1.1667118355409667e-21,1.576741962374695,9.028807498395272e-07,2.6191194378197632e-08,1.6410312903528678e-20,-5.609364732498966e-09,0.0,0.0,0.0619306443422459
0.06,9.89144233637285e-07,1.242963854382522,0.0,-7.188664445140822e-22,1.576742606184019,1.2858990388753179e-06,1.530635574405679e-08,-3.006624894697115e-21,-8.652253368404743e-09,0.0,0.0,0.0742828073365548
0.07,9.403893676793793e-07,1.2450571936234853,0.0,-7.108987245103759e-23,1.576743261819025,1.6289005260931637e-06,-1.973737384155184e-10,-2.7351864247756184e-20,-1.1550808679445851e-08,0.0,0.0,0.0866164574979598
0.08,7.741594692626129e-07,1.2469945225386665,0.0,7.58332662726311e-22,1.5767438596663166,1.8830730904738178e-06,-1.983777617092212e-08,-5.52260619445953e-20,-1.3944532439977388e-08,0.0,0.0,0.0989285210222696
0.09,4.773981008811444e-07,1.2492530484918662,0.0,1.7260458247587083e-21,1.5767443178553222,1.9963730273813628e-06,-4.25440544258731e-08,-8.444308065358385e-20,-1.543227348403764e-08,0.0,0.0,0.1112159294851353
