time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-2.1061635573814853e-07,0.7513238341504873,0.0,-2.750658118826647e-22,1.8868356366131676,-4.799115582491327e-07,-7.037014437674411e-09,-3.6657414211703446e-20,1.855579577752648e-09,0.0,0.0,0.0
0.01,-2.5566854755999856e-07,0.7560070336348402,0.0,-3.393344703478595e-22,1.8868356089091383,-3.5488720711735674e-07,-5.45395125804549e-09,-4.7598039345608787e-20,1.530078724089011e-09,0.0,0.0,0.0123984854844581
0.02,-2.844220652703204e-07,0.760558706641326,0.0,-3.8317072729788765e-22,1.88683564851276,-1.569295664637879e-07,-2.840789928670426e-09,-5.619964942393161e-20,9.474064723263588e-10,0.0,0.0,0.0247938810064031
0.03,-2.8931301960267075e-07,0.764766654203562,0.0,-3.962274862670153e-22,1.8868357690814466,1.1154805463498751e-07,7.886735846049279e-10,-6.087940447323407e-20,1.0326686110704049e-10,0.0,0.0,0.0371830973734054
0.04,-2.633977556970959e-07,0.7684823767824867,0.0,-3.687992265411158e-22,1.8868359789476075,4.396562363236952e-07,5.304117879585707e-09,-6.006349455240827e-20,-9.787615468172945e-10,0.0,0.0,0.0495630469330103
0.05,-2.0129007014698305e-07,0.7716519197968347,0.0,-2.930715535405397e-22,1.886836278765292,8.069647804984274e-07,1.0441908004526933e-08,-5.2363167808217225e-20,-2.242366423927571e-09,0.0,0.0,0.0619306443422459
0.06,-1.0017691824385404e-07,0.7743315683576978,0.0,-1.6449597401694343e-22,1.886836659378004,1.1832116369875932e-06,1.5798604070791706e-08,-3.6776939966251406e-20,-3.595972980579466e-09,0.0,0.0,0.0742828073365548
0.07,3.917909393772302e-08,0.776685234699019,0.0,1.6829135588333113e-23,1.8868371002037185,1.5290252389359193e-06,2.0838249137152754e-08,-1.290338699738621e-20,-4.913451659144096e-09,0.0,0.0,0.0866164574979598
0.08,2.1156526913167416e-07,0.7789626901952644,0.0,2.4492301481877027e-22,1.8868375684551144,1.7978518851961813e-06,2.4916323331332584e-08,1.8856483230983614e-20,-6.038851756176852e-09,0.0,0.0,0.0989285210222696
0.09,4.0670385373124414e-07,0.7814607441569151,0.0,5.070086350193665e-22,1.8868380195056207,1.9391974323114396e-06,2.7322175344091396e-08,5.713281623254062e-20,-6.79571534854546e-09,0.0,0.0,0.1112159294851353
0.1,6.09034417710228e-07,0.7844730791854357,0.0,7.831081715257035e-22,1.8868383986679862,1.9031759580407962e-06,2.7340176966158518e-08,9.948490749466558e-20,-7.001166117310755e-09,0.0,0.0,0.1234756206067662
0.11,7.980243190976121e-07,0.7882384776361733,0.0,1.0463293662261439e-21,1.886838644566803,1.6462109964569468e-06,2.432783369354842e-08,1.423926098122698e-19,-6.484489773351405e-09,0.0,0.0,0.1357045390151145
0.12,9.491144355219327e-07,0.7929001530184832,0.0,1.2639963082969004e-21,1.886838694158135,1.1375655768552394e-06,1.780672808876562e-08,1.8136761867110413e-19,-5.109348164094536e-09,0.0,0.0,0.1478996370073372
0.13,1.035365570778728e-06,0.7984876650376825,0.0,1.399725598660758e-21,1.886838489280796,3.661984443238053e-07,7.55964195400148e-09,2.1120493811739043e-19,-2.798135625988432e-09,0.0,0.0,0.1600578753093483
0.14,1.0298107032957761e-06,0.804925452547364,0.0,1.4164709939295722e-21,1.8868379844228298,-6.527271902206812e-07,-6.2752673648723434e-09,2.2638472364961807e-19,4.43651723907095e-10,0.0,0.0,0.1721762238332693
0.15,9.084412701517043e-07,0.8120616283672466,0.0,1.2804583047106647e-21,1.8868371551669463,-1.8724981427621862e-06,-2.3124481713196355e-08,2.2162068829537724e-19,4.505735646824821e-09,0.0,0.0,0.1842516624325907
0.16,6.536660320538183e-07,0.8197039532929062,0.0,9.658125090247085e-22,1.886836006559458,-3.2115744418823862e-06,-4.192601395667146e-08,1.9253380890434912e-19,9.157192498281904e-09,0.0,0.0,0.1962811816548557
0.17,2.5798529387432045e-07,0.8276500889122587,0.0,4.595490749120639e-22,1.8868345804531255,-4.553299871312611e-06,-6.111628199220501e-08,1.3641013460776855e-19,1.4039728382254658e-08,0.0,0.0,0.2082617834916791
0.18,-2.7246964827132323e-07,0.8357042899204107,0.0,-2.3352692786413967e-22,1.8868329607335101,-5.749433305574901e-06,-7.866914659440175e-08,5.298053598871242e-20,1.8673290517809933e-08,0.0,0.0,0.2201904821259137
0.19,-9.149609160663437e-07,0.8436794178460453,0.0,-1.0865825364305084e-21,1.886831275280921,-6.628133662449383e-06,-9.219677127649676e-08,-5.485983141684846e-20,2.2476700829080157e-08,0.0,0.0,0.2320643046757783
0.2,-1.6282138936272375e-06,0.8513897953281563,0.0,-2.0478271908924834e-21,1.8868296935745366,-7.00670661983426e-06,-9.911768979053147e-08,-1.8049144583871175e-19,2.4805050547285397e-08,0.0,0.0,0.2438802919357625
0.21,-2.3520272026862685e-06,0.8586453403915527,0.0,-3.0395678634301717e-21,1.8868284190357731,-6.708975270892159e-06,-9.689145041934339e-08,-3.132799967157745e-19,2.500420028487473e-08,0.0,0.0,0.2556354991141227
0.22,-3.0088792181146585e-06,0.865257699778008,0.0,-3.959886309598144e-21,1.886827675549807,-5.586586594194053e-06,-8.331164596865634e-08,-4.386683862824068e-19,2.248092347045117e-08,0.0,0.0,0.2673269965667859
0.23,-3.5078883107453408e-06,0.8710629410760908,0.0,-4.6874555766410304e-21,1.88682768809996,-3.542944103298917e-06,-5.684045956492635e-08,-5.38752327480663e-19,1.6785102199343696e-08,0.0,0.0,0.2789518705274782
0.24,-3.7513185137991338e-06,0.8759558556235475,0.0,-5.089803110300948e-21,1.8868286580857183,-5.57814207909668e-07,-1.6958722449840998e-08,-5.934065092025694e-19,7.69808335043428e-09,0.0,0.0,0.2905072238338968
0.25,-3.6435911476110186e-06,0.8799242755769345,0.0,-5.035027615576868e-21,1.8868307346384392,3.289944688269751e-06,3.5503217136959236e-08,-5.819667664245872e-19,-4.680961521495691e-09,0.0,0.0,0.3019901766497435
0.26,-3.1024741522316967e-06,0.8830711440068884,0.0,-4.406595327252288e-21,1.8868339840455897,7.804557176956234e-06,9.809569250200848e-08,-4.853935580822616e-19,-1.986079522311735e-08,0.0,0.0,0.31339786718244
0.27,-2.071791071938303e-06,0.8856156640708842,0.0,-3.12039907411758e-21,1.88683836017054,1.2663704210180922e-05,1.6658731669959529e-07,-2.8876141336434575e-19,-3.690748543593711e-08,0.0,0.0,0.324727452396347
0.28,-5.34646420177822e-07,0.8878698602440186,0.0,-1.142793274538198e-21,1.8868436794188015,1.7420362620423956e-05,2.3495681738329345e-07,1.6149838142131152e-20,-5.4429340680728913e-08,0.0,0.0,0.3359761087213079
0.29,1.4741622812991433e-06,0.8901920277989345,0.0,1.492135518788404e-21,1.8868496042493281,2.1518982185069983e-05,2.9558138583930557e-07,4.284411398798363e-19,-7.060862383414119e-08,0.0,0.0,0.3471410327563419
0.3,3.858141872594282e-06,0.8929236388678443,0.0,4.668184866259922e-21,1.8868556393534361,2.4328050142853765e-05,3.396533418368831e-07,9.361765379301604e-19,-8.328906971803484e-08,0.0,0.0,0.3582194419683107
0.31,6.453267057085346e-06,0.8963211295425515,0.0,8.177910622934537e-21,1.886861144323373,2.5189823672205012e-05,3.5784009960888717e-07,1.5152993597220232e-18,-9.012445938017935e-08,0.0,0.0,0.369208575385383
0.32,9.028075460116843e-06,0.9004974063976116,0.0,1.1721182500199859e-20,1.8868653658271692,2.348631430450172e-05,3.41179429694211e-07,2.1297077259560257e-18,-8.878813438450404e-08,0.0,0.0,0.3801056942851275
0.33,1.1291274720650946e-05,0.9053872544913635,0.0,1.491364174789866e-20,1.8868674909500558,1.8718558338226103e-05,2.821737427072307e-07,2.7327622233288244e-18,-7.723653786810997e-08,0.0,0.0,0.3909080828770599
0.34,1.2908032075087011e-05,0.9107444396008653,0.0,1.730677808387693e-20,1.886866721458254,1.059393682817784e-05,1.760152968511157e-07,3.2703968705610625e-18,-5.4012016986012306e-08,0.0,0.0,0.4016130489794744
0.35,1.3525466958057294e-05,0.9161688644263333,0.0,1.8420513672607847e-20,1.8868623663527369,-8.859894625636976e-07,2.1841430418198683e-08,3.685847706856067e-18,-1.8561802220873636e-08,0.0,0.0,0.412217924690392
0.36,1.2806985091778473e-05,0.9211551252883623,0.0,1.7788031618870654e-20,1.8868539473439907,-1.534674293819767e-05,-1.761114768972059e-07,3.925798851406057e-18,2.8457908831264806e-08,0.0,0.0,0.4227200670524575
0.37,1.0474014023240804e-05,0.9251519102310051,0.0,1.5011156696109465e-20,1.8868413090042382,-3.198247111358817e-05,-4.076105851324898e-07,3.9474799469710025e-18,8.493051654396522e-08,0.0,0.0,0.4331168587116205
0.38,6.352492131907562e-06,0.9276232190214411,0.0,9.822970648903973e-21,1.8868247226231118,-4.952969674585801e-05,-6.559541573752832e-07,3.725964632973092e-18,1.4712226836049598e-07,0.0,0.0,0.4434057085694337
0.39,4.202251533213947e-07,0.9281047501162959,0.0,2.1526513616875048e-21,1.8868049705481815,-6.628482946312536e-05,-8.980905463048287e-07,3.260690392671331e-18,2.0966299083855942e-07,0.0,0.0,0.4535840524288103
0.4,-7.149914377499866e-06,0.9262508059559031,0.0,-7.814065725053147e-21,1.8867833964125382,-8.017523301819497e-05,-1.1054740326816469e-06,2.5801281754535415e-18,2.657033208864971e-07,0.0,0.0,0.4636493536330746
0.41,-1.5956855613269235e-05,0.9218685764641885,0.0,-1.9586690332930546e-20,1.8867619065230508,-8.889032399172776e-05,-1.245760151216715e-06,1.743617849324046e-18,3.072783237297273e-07,0.0,0.0,0.4735991036981507
0.42,-2.5354644443770336e-05,0.9149377795547534,0.0,-3.234268444857253e-20,1.8867429091546861,-9.007425054141261e-05,-1.285377473326601e-06,8.396487749674159e-19,3.258924898639157e-07,0.0,0.0,0.483430822937729
0.43,-3.445846886836365e-05,0.9056145175331144,0.0,-4.492971094234838e-20,1.8867291818342822,-8.157527910288496e-05,-1.1929254324668983e-06,-1.9735810320654895e-20,3.1332054822160143e-07,0.0,0.0,0.4931420610812561
0.44,-4.217881739734065e-05,0.8942190321249949,0.0,-5.590509802495157e-20,1.8867236620313892,-6.173941503456871e-05,-9.432425515215211e-07,-7.082694685047034e-19,2.6259308180033086e-07,0.0,0.0,0.5027303978845936
0.45,-4.728752453174238e-05,0.881208008841898,0.0,-6.361812083263863e-20,1.8867291639475554,-2.9727527202011757e-05,-5.21873258896751e-07,-1.0979406240420166e-18,1.6910709727069533e-07,0.0,0.0,0.5121934437331935
0.46,-4.851692437183726e-05,0.8671333958236969,0.0,-6.633745051967597e-20,1.8867480330214321,1.4172922416901581e-05,7.045567878787823e-08,-1.0736564057168004e-18,3.1771775066483834e-08,0.0,0.0,0.5215288402376408
0.47,-4.4689985418595917e-05,0.8525915511372363,0.0,-6.242173739887921e-20,1.8867817597976244,6.827759453313653e-05,8.138434823057727e-07,-5.48861441964576e-19,-1.459283591616211e-07,0.0,0.0,0.5307342608214127
0.48,-3.487528973190006e-05,0.8381689096662674,0.0,-5.0525960693878684e-20,1.8868305851250384,0.0001293175513411826,1.6662816108589723e-06,5.192881873294106e-19,-3.5509302003721935e-07,0.0,0.0,0.5398074113007112
0.49,-1.8556315406585926e-05,0.8243923950666353,0.0,-2.9830230644366856e-20,1.886893138187244,0.0001923770769382162,2.5623874025080614e-06,2.1167010883690787e-18,-5.809415539991894e-07,0.0,0.0,0.548746030456221
0.5,4.1999340091287925e-06,0.8116924196320984,0.0,-2.716648403889191e-22,1.8869661563548825,0.0002509976061595583,3.41439294134976e-06,4.162646157666673e-18,-8.028765183668416e-07,0.0,0.0,0.557547890596653
0.51,3.259384881711377e-05,0.8003822093967857,0.0,3.7245578460909676e-20,1.8870443399075651,0.00029748076531000973,4.115884302799425e-06,6.5051397307232505e-18,-9.9521006602931e-07,0.0,0.0,0.5662107981139324
0.52,6.498547508977475e-05,0.7906516247876278,0.0,8.069128598502198e-20,1.887120393929648,0.0003234102710849483,4.548613812200118e-06,8.922892554977233e-18,-1.128650281126062e-06,0.0,0.0,0.5747325940298904
0.53,9.885116928496387e-05,0.7825709807795023,0.0,1.2683253205931267e-19,1.8871853029357015,0.0003203934271019287,4.592453344689375e-06,1.1135027478096514e-17,-1.1725863023596295e-06,0.0,0.0,0.5831111545343282
0.54,0.0001308267298643133,0.7761018485216232,0.0,1.7126997920438076e-19,1.8872288701659383,0.0002809987684039934,4.138226241632357e-06,1.2819329267934935e-17,-1.098132810139001e-06,0.0,0.0,0.5913443915143141
0.55,0.0001568554137240996,0.7711139525858839,0.0,2.0861340584760626e-19,1.8872405326791921,0.00019983832808604141,3.102765462021924e-06,1.3639123089898904e-17,-8.817995779975677e-07,0.0,0.0,0.5994302530745854
0.56,0.0001724525390617704,0.7674065047047884,0.0,2.3281432025427194e-19,1.8872104357416153,7.471311083525966e-05,1.4451234560231171e-06,1.3277995952209787e-17,-5.095463735426656e-07,0.0,0.0,0.6073667240489239
0.57,0.00017308857226090756,0.7647296210883605,0.0,2.376608712568269e-19,1.8871307168023894,-9.228851259238796e-05,-8.175568253432847e-07,1.1480504981129556e-17,1.912358477408854e-08,0.0,0.0,0.6151518265023771
0.58,0.0001546799519367288,0.7628008305749168,0.0,2.1742364667533515e-19,1.8869969127544617,-0.00029387414962148356,-3.5963625708976935e-06,8.095843039320225e-18,6.874757104486242e-07,0.0,0.0,0.6227836202242013
0.59,0.00011416206027938837,0.7613149399319062,0.0,1.6762113930211942e-19,1.8868093673534996,-0.0005169630923431282,-6.721229855866537e-06,3.1203245055971937e-18,1.458779866542146e-06,0.0,0.0,0.6302602032114031
0.6,5.0102768329796123e-05,0.7599504332884768,0.0,8.585200127120019e-20,1.8865744826389466,-0.0007425885343710224,-9.938054816410185e-06,-3.266278252368326e-18,2.2750245618709115e-06,0.0,0.0,0.6375797121427577
0.61,-3.670067369832529e-05,0.7583781535360122,0.0,-2.73803906825935e-20,1.886305633653373,-0.0009464278011994745,-1.2914359413290673e-05,-1.0675934624185201e-17,3.057648821038027e-06,0.0,0.0,0.644740322843188
0.62,-0.00014271213152478404,0.7562760742683172,0.0,-1.6794466013952193e-19,1.8860235546920001,-0.0011000703449293202,-1.5255177414986967e-05,-1.8504435709544526e-17,3.7107516885536616e-06,0.0,0.0,0.6517402507383879
0.63,-0.00026131446887226926,0.7533492838405808,0.0,-3.275669091980442e-19,1.8857560125802117,-0.0011730807877967328,-1.6530138444051002e-05,-2.5945144001921356e-17,4.127087649979974e-06,0.0,0.0,0.6585777512995744
0.64,-0.0003827176946329554,0.7493508088938096,0.0,-4.936380634522512e-19,1.8855366121852781,-0.0011358413764484482,-1.6311747127103423e-05,-3.2028066286353696e-17,4.1969296675159165e-06,0.0,0.0,0.6652511204782617
0.65,-0.0004941947009481852,0.7440985848335526,0.0,-6.4945080610354e-19,1.8854026342435009,-0.0009630674236284706,-1.4223610867229985e-05,-3.5686194944627605e-17,3.819585095449842e-06,0.0,0.0,0.6717586951309453
0.66,-0.0005807062923915084,0.7374856189580556,0.0,-7.749550278651823e-19,1.8853918862864316,-0.0006377859308907728,-9.995931112903678e-06,-3.584885575329006e-17,2.916997635899208e-06,0.0,0.0,0.6780988534335926
0.67,-0.0006259505403857293,0.7294823892541988,0.0,-8.480870102755268e-19,1.8855386519504589,-0.0001554596715613529,-3.524046622868586e-06,-3.1559114158852766e-17,1.448484872919072e-06,0.0,0.0,0.6842700152858352
0.68,-0.0006138337896708515,0.7201319991084797,0.0,-8.466786798490725e-19,1.885868947036649,0.0004721627119455918,5.07565093368788e-06,-2.2109093884487685e-17,-5.747200828043785e-07,0.0,0.0,0.6902706427047627
0.69,-0.000530313119863697,0.7095395154011056,0.0,-7.508905765137624e-19,1.8863954236724694,0.001213972685598817,1.5419340011458153e-05,-7.18342172801531e-18,-3.0767896969322553e-06,0.0,0.0,0.6960992402082214
0.7,-0.00036550536811678984,0.6978573582079829,0.0,-5.460389270767145e-19,1.887112394703967,0.002017755315513102,2.682663601843874e-05,1.3002731654303119e-17,-5.908393027139254e-06,0.0,0.0,0.7017543551875187
0.71,-0.00011590009726888083,0.6852686922369682,0.0,-2.2560870350914e-19,1.887991563898567,0.002810323471442373,3.831655870465203e-05,3.758778797241888e-17,-8.84355685836488e-06,0.0,0.0,0.7072345782694439
0.72,0.00021354125489100265,0.6719705980565747,0.0,2.0583191722720824e-19,1.8889791264086928,0.003500027287415136,4.863577663394232e-05,6.498892158484585e-17,-1.1584193112946481e-05,0.0,0.0,0.712538543667514
0.73,0.000607663572133293,0.658158471414971,0.0,7.301656515810513e-19,1.8899949301784367,0.003982004855510798,5.632464549215263e-05,9.288746776250471e-17,-1.3773846232797145e-05,0.0,0.0,0.7176649295223555
0.74,0.0010400659059887195,0.6440126945726277,0.0,1.31410278313737e-18,1.8909343454975196,0.004146337395981671,5.9823839116048726e-05,1.182921051724902e-16,-1.5021607439445936e-05,0.0,0.0,0.7226124582311408
