time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,1.5408619263362564e-12,0.10258475719951228,0.0,1.665604248515677e-30,1.0850028644663974,-0.0010141610451408433,-4.3030942160637106e-13,2.8142839658644334e-13,-3.3836290258851172e-15,2.0974980676531228e-12,0.0,0.0,0.0
0.01,2.3003291995988793e-12,0.1165167918173211,0.0,4.0454349212726064e-30,1.2305754867919079,0.007049244739645418,-1.1182009417216733e-13,1.3757261760312931e-13,-1.1933976912795332e-13,2.8187758760371664e-12,0.0,0.0,0.0123984854844581
0.02,3.0081379538124534e-12,0.13030466223295264,0.0,6.614505999925894e-30,1.3715790030912558,0.014887460294523187,3.045117426179527e-13,-6.014241805904425e-14,-2.531504470522747e-13,3.420596128364926e-12,0.0,0.0,0.0247938810064031
0.03,3.571854273612586e-12,0.14397430978175083,0.0,9.138371890859121e-30,1.5037609573844888,0.023003578253362456,7.987113694809911e-13,-3.0421408333577076e-13,-3.947497965906218e-13,3.804105417965391e-12,0.0,0.0,0.0371830973734054
0.04,3.890247021795002e-12,0.15756653276348573,0.0,1.132471982919544e-29,1.6234728845896835,0.031852798265494905,1.3368017199776088e-12,-5.799810245684103e-13,-5.305073113288027e-13,3.868170588441481e-12,0.0,0.0,0.0495630469330103
0.05,3.862166338347263e-12,0.1711400803873102,0.0,1.2840299238000177e-29,1.7279014473824608,0.04177537297171474,1.8708194823592793e-12,-8.653305996258016e-13,-6.4378488935141e-13,3.519994544952773e-12,0.0,0.0,0.0619306443422459
0.06,3.3977946072552537e-12,0.18477210667712118,0.0,1.3336936787313552e-29,1.815221686743264,0.05294947461786153,2.3403882053947763e-12,-1.1311550476139795e-12,-7.159771833666758e-13,2.6876541286561865e-12,0.0,0.0,0.0742828073365548
0.07,2.431657233410213e-12,0.19855510994997153,0.0,1.248618615612943e-29,1.8846590972581754,0.065369691255298,2.6760914067172984e-12,-1.3427065816298915e-12,-7.280493992483186e-13,1.3336837178138155e-12,0.0,0.0,0.0866164574979598
0.08,9.364208724544376e-13,0.2125899824351402,0.0,1.0021081946239706e-29,1.9364583414330228,0.07885352951868076,2.8047540345034874e-12,-1.4619420879888994e-12,-6.625352552798387e-13,-5.315229332343162e-13,0.0,0.0,0.0989285210222696
0.09,-1.0638414793571521e-12,0.22697552705523907,0.0,5.782267986850591e-30,1.9717682595877672,0.09307394583040607,2.656557840258112e-12,-1.4508625781845416e-12,-5.058967278527757e-13,-2.8380291785253473e-12,0.0,0.0,0.1112159294851353
