time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,1.2633478042085522e-07,0.37946926858569735,0.0,-3.8025311153145762e-22,1.9822232974056757,-0.0007851056149919413,8.782506725795048e-09,0.0,5.9610977408873e-20,1.7883268371909072e-09,0.0,0.0,0.0
0.01,2.429993440226761e-07,0.3804279509916439,0.0,-4.771106466799612e-22,1.9822254649368711,0.014428746806379022,-6.40978115803078e-09,0.0,4.512936966766079e-20,1.5552120665363793e-09,0.0,0.0,0.0123984854844581
0.02,3.6398038225884354e-07,0.3813350630926475,0.0,-5.469818937020968e-22,1.9822273550399985,0.029675980260980263,-2.4965532327920583e-08,0.0,2.172861557731701e-20,1.0869165495764409e-09,0.0,0.0,0.0247938810064031
0.03,4.770049818732645e-07,0.38208085705971007,0.0,-5.748715209939919e-22,1.9822286834708598,0.045447647383981715,-4.572696337904658e-08,0.0,-1.0386819525034722e-20,3.723453556152215e-10,0.0,0.0,0.0371830973734054
0.04,5.673915360941914e-07,0.38258609250263337,0.0,-5.464225759432621e-22,1.9822291520963093,0.06207336885072723,-6.698087337082364e-08,0.0,-4.9987431364950444e-20,-5.752321246186186e-10,0.0,0.0,0.0495630469330103
0.05,6.190335384159578e-07,0.3828172418940511,0.0,-4.496815571976195e-22,1.9822284782660609,0.0796342536648151,-8.649985473639402e-08,0.0,-9.46782788296635e-20,-1.713120010159646e-09,0.0,0.0,0.0619306443422459
0.06,6.158054460460345e-07,0.382794345763931,0.0,-2.770701149754135e-22,1.9822264303440627,0.09791775559501864,-1.0165164296708127e-07,0.0,-1.4084939535900354e-19,-2.966042715083801e-09,0.0,0.0,0.0742828073365548
0.07,5.433477531595667e-07,0.38259001919823893,0.0,-2.7399914929939744e-23,1.9822228671070914,0.1164231768695844,-1.0958274255027763e-07,0.0,-1.8374653457491784e-19,-4.225762783561818e-09,0.0,0.0,0.0866164574979598
0.08,3.9113481972092683e-07,0.3823192211564601,0.0,2.9228143701037546e-22,1.9822177776739995,0.13442015345634342,-1.0747586711448322e-07,0.0,-2.176862369100221e-19,-5.354255482889393e-09,0.0,0.0,0.0989285210222696
0.09,1.546717394422098e-07,0.38212080707721946,0.0,6.652636491514136e-22,1.9822113176751721,0.15105432052851384,-9.287241330604075e-08,0.0,-2.364294983068837e-19,-6.191041760198095e-09,0.0,0.0,0.1112159294851353
0.1,-1.62389026398613e-07,0.3821335994202583,0.0,1.0644370052363225e-21,1.982203836638288,0.16548441603157402,-6.404161299623891e-08,0.0,-2.337144093818539e-19,-6.564980896672362e-09,0.0,0.0,0.1234756206067662
0.11,-5.464677489849567e-07,0.38247161652411915,0.0,1.452512502850576e-21,1.9821958911940192,0.17702399402968166,-2.036790292498125e-08,0.0,-2.0393043394619674e-19,-6.3104099263054816e-09,0.0,0.0,0.1357045390151145
0.12,-9.729021842208561e-07,0.3832045078009985,0.0,1.7834310946890745e-21,1.9821882388320111,0.18525271280424316,3.7281605623725706e-08,0.0,-1.4289646792022311e-19,-5.287004037409909e-09,0.0,0.0,0.1478996370073372
0.13,-1.4057127784635476e-06,0.3843486590467673,0.0,2.0051245401021515e-21,1.9821818076831843,0.1900655567430681,1.0625568959882744e-07,0.0,-4.868300110193049e-20,-3.4021512354586982e-09,0.0,0.0,0.1600578753093483
0.14,-1.7985612878392046e-06,0.3858709152354437,0.0,2.063683914700284e-21,1.9821776392523403,0.19164883756931309,1.8193478546613206e-07,0.0,7.76022994956404e-20,-6.340317443845077e-10,0.0,0.0,0.1721762238332693
0.15,-2.097116500712625e-06,0.3877019581451806,0.0,1.908850588208037e-21,1.9821768032028573,0.1904004228169357,2.5771586014936094e-07,0.0,2.311638572342366e-19,2.9469709837336758e-09,0.0,0.0,0.1842516624325907
0.16,-2.242941861357849e-06,0.38975318839482137,0.0,1.5005748161936533e-21,1.98218028615693,0.18683017417778797,3.2521341898227144e-07,0.0,4.031118142605614e-19,7.161352111554014e-09,0.0,0.0,0.1962811816548557
0.17,-2.178881631239116e-06,0.3919310256877925,0.0,8.162002100941955e-22,1.982188859886093,0.18147611930185598,3.7471231043123587e-07,0.0,5.804113532748932e-19,1.1711143406889158e-08,0.0,0.0,0.2082617834916791
0.18,-1.8557495971230867e-06,0.39414489995910473,0.0,-1.423556192911539e-22,1.9822029379963892,0.1748580173291101,3.958895991539323e-07,0.0,7.462885663074652e-19,1.6181216644574603e-08,0.0,0.0,0.2201904821259137
0.19,-1.2399271619984597e-06,0.3963083419770414,0.0,-1.3422224313696811e-21,1.9822224339318508,0.16747157060869095,3.787975410734794e-07,0.0,8.811685801518317e-19,2.005394315433465e-08,0.0,0.0,0.2320643046757783
0.2,-3.212712406746474e-07,0.39833567511004014,0.0,-2.714923987886121e-21,1.9822466364133071,0.15980837426029498,3.1506857105499703e-07,0.0,9.641803780400897e-19,2.2739164618473774e-08,0.0,0.0,0.2438802919357625
0.21,8.794628366293354e-07,0.40013910852638424,0.0,-4.154429311211817e-21,1.9822741208170627,0.15237321243076068,1.9926808201248192e-07,0.0,9.752057248589896e-19,2.362025486261726e-08,0.0,0.0,0.2556354991141227
0.22,2.304637557201005e-06,0.40163119710626266,0.0,-5.518850373852154e-21,1.9823027159717201,0.14566941195410127,3.0284458756968995e-08,0.0,8.973815131454203e-19,2.2115475190389474e-08,0.0,0.0,0.2673269965667859
0.23,3.85623890512827e-06,0.402734840981111,0.0,-6.6365758367065315e-21,1.9823295449240492,0.1401395148768717,-1.8738795532438623e-07,0.0,7.198960675283311e-19,1.7751914097253347e-08,0.0,0.0,0.2789518705274782
0.24,5.395927156480508e-06,0.40339866074594566,0.0,-7.317349785143206e-21,1.9823511549894433,0.13607418359617054,-4.42644106216092e-07,0.0,4.408600196192307e-19,1.0247178459512635e-08,0.0,0.0,0.2905072238338968
0.25,6.74957806184936e-06,0.4036125421718714,0.0,-7.368391958380182e-21,1.9823637465992923,0.13352023435087135,-7.17227860332291e-07,0.0,6.998058858539251e-20,-4.081535724396146e-10,0.0,0.0,0.3019901766497435
0.26,7.717014738047314e-06,0.4034178257550148,0.0,-6.615122168704083e-21,1.982363502042171,0.1322205644253751,-9.85840569763399e-07,0.0,-3.6928245789729263e-19,-1.3876267183163398e-08,0.0,0.0,0.31339786718244
0.27,8.087242191631414e-06,0.4029082289985455,0.0,-4.925423173854382e-21,1.9823470044017617,0.1316091779065274,-1.217060583556577e-06,0.0,-8.384486872738679e-19,-2.9416473730109736e-08,0.0,0.0,0.324727452396347
0.28,7.65896918890824e-06,0.4022198376129152,0.0,-2.2356975801904552e-21,1.9823117243824602,0.13087117624030728,-1.3751891461112063e-06,0.0,-1.2840377764955257e-18,-4.5859375050705825e-08,0.0,0.0,0.3359761087213079
0.29,6.265557465404086e-06,0.4015107995053286,0.0,1.4236927188588508e-21,1.9822565391963718,0.12906392811554956,-1.4230662455148874e-06,0.0,-1.6392782116681116e-18,-6.162169107673569e-08,0.0,0.0,0.3471410327563419
0.3,3.8028160855211845e-06,0.40093361828446794,0.0,5.906594355013069e-21,1.9821822345210738,0.12528216836178854,-1.3258039801952569e-06,0.0,-1.8278455255960644e-18,-7.477101183585623e-08,0.0,0.0,0.3582194419683107
0.31,2.573185161173487e-07,0.40060509194177213,0.0,1.0936228828476376e-20,1.9820919292826746,0.11883697334003637,-1.0552690897163092e-06,0.0,-1.7698282729792968e-18,-8.31466766683817e-08,0.0,0.0,0.369208575385383
0.32,-4.267761000778799e-06,0.4005804484825899,0.0,1.6100881367231405e-20,1.9819913554355593,0.10940958014340814,-5.950179686966648e-07,0.0,-1.3898766873685073e-18,-8.453841630936003e-08,0.0,0.0,0.3801056942851275
