time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,5.223700226838446e-07,1.1227132276250185,0.0,-1.0657701558001297e-21,1.9903180923410946,-3.296388245634676e-07,3.64723860067104e-08,3.2365529694514523e-21,4.184844022988013e-09,0.0,0.0,0.0
0.01,7.35689443406134e-07,1.1274649033775368,0.0,-1.3372416234484159e-21,1.9903187112908693,-2.1905483556608107e-07,3.727215135226137e-08,-6.319609971921596e-21,3.3427664166264777e-09,0.0,0.0,0.0123984854844581
0.02,9.245551310768746e-07,1.1320404660637429,0.0,-1.5330761544400607e-21,1.99031939482273,-5.449036304744173e-08,3.414866573776186e-08,-1.776928277908174e-20,1.903719615616968e-09,0.0,0.0,0.0247938810064031
0.03,1.0614408803527543e-06,1.136111616284202,0.0,-1.6112449621330322e-21,1.990320084377227,1.6026469661610532e-07,2.6396344909486226e-08,-3.0351293202854895e-20,-1.3266618529770477e-10,0.0,0.0,0.0371830973734054
0.04,1.1172076579258144e-06,1.1394448029661677,0.0,-1.5315085030458595e-21,1.9903207050188318,4.148319630728616e-07,1.3634215663454063e-08,-4.2971567812763e-20,-2.7005463128594075e-09,0.0,0.0,0.0495630469330103
0.05,1.0639058655220765e-06,1.1419477977967405,0.0,-1.2603636062548217e-21,1.9903211693623404,6.916294919302046e-07,-4.0647195376122385e-09,-5.423301741981854e-20,-5.6574105793728e-09,0.0,0.0,0.0619306443422459
0.06,8.781972120765965e-07,1.1436935827147507,0.0,-7.7656973809210395e-22,1.9903213839345626,9.658914155879758e-07,-2.6059816487798496e-08,-6.25059835006831e-20,-8.779339985201929e-09,0.0,0.0,0.0742828073365548
0.07,5.451825140060359e-07,1.1449168795159648,0.0,-7.679624528112606e-23,1.9903212579182736,1.2064903764898303e-06,-5.106165119628333e-08,-6.60418921882662e-20,-1.1764028731247475e-08,0.0,0.0,0.0866164574979598
0.08,6.231936239497015e-08,1.1459820907027687,0.0,8.19203902774917e-22,1.9903207139467152,1.3776867842265867e-06,-7.71011424665695e-08,-6.312855238191e-20,-1.4243318950967218e-08,0.0,0.0,0.0989285210222696
0.09,-5.569811581591757e-07,1.1473258011585123,0.0,1.8645952439866854e-21,1.9903197003003128,1.4418593055472949e-06,-1.0156584442667854e-07,-5.2280343764416686e-20,-1.580640822545122e-08,0.0,0.0,0.1112159294851353
0.1,-1.2805640776589053e-06,1.1493823319568766,0.0,2.983394898408174e-21,1.9903182035277065,1.3631766588304723e-06,-1.2131739706958763e-07,-3.245068246217515e-20,-1.60340162698429e-08,0.0,0.0,0.1234756206067662
0.11,-2.056072533603837e-06,1.1525067857147089,0.0,4.0710895702715885e-21,1.9903162602037905,1.1120555754632364e-06,-1.3289886513011595e-07,-3.248102000069754e-21,-1.4542657363756264e-08,0.0,0.0,0.1357045390151145
0.12,-2.8113413967629365e-06,1.1569144208220732,0.0,4.9985853573127934e-21,1.9903139662879528,6.701209014107858e-07,-1.3283305840486675e-07,3.48683248867914e-20,-1.103681429189509e-08,0.0,0.0,0.1478996370073372
0.13,-3.4570954971953626e-06,1.162653368161132,0.0,5.619945841779438e-21,1.9903114823999117,3.525188226431245e-08,-1.1800311951010226e-07,8.044291231326558e-20,-5.365341129472371e-09,0.0,0.0,0.1600578753093483
0.14,-3.89227107238414e-06,1.1696167177812793,0.0,5.78407555335721e-21,1.9903090333324216,-7.738224651830588e-07,-8.609519477362061e-08,1.3095769548375516e-19,2.4230323823468193e-09,0.0,0.0,0.1721762238332693
