time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.18,3.099183935563066e-11,0.23085464749532647,0.0,7.80153242346463e-34,1.9290538115749207,0.09176819992038893,6.778044105260429e-12,1.88363200229738e-12,-1.003232679667336e-11,2.0850914106951062e-11,0.0,0.0,0.2201904821259137
0.19,3.3856671310448765e-11,0.23940735680674416,0.0,5.892455622618146e-34,1.9252312370777716,0.09191117832240792,1.040292031995064e-11,-3.6375219891900717e-12,-1.2907442243217543e-11,2.2848310996998476e-11,0.0,0.0,0.2320643046757783
0.2,3.3731337626069714e-11,0.2479310940856482,0.0,2.806216946470026e-34,1.920513108941137,0.09217577758836833,1.3845219923069685e-11,-1.0235801935027427e-11,-1.5120831957198635e-11,2.28449637133877e-11,0.0,0.0,0.2438802919357625
0.21,2.982769641211195e-11,0.2563783315780142,0.0,-1.428639072691411e-34,1.915605024330711,0.09279871480481902,1.6673822796928642e-11,-1.7467617699349406e-11,-1.624928065816023e-11,2.030458177166698e-11,0.0,0.0,0.2556354991141227
0.22,2.1565650838331746e-11,0.2647046254371466,0.0,-6.645788873983744e-34,1.9110452093775583,0.09400641949305528,1.841009856902799e-11,-2.4700062348978504e-11,-1.587649838391779e-11,1.482867408172786e-11,0.0,0.0,0.2673269965667859
0.23,8.693352848339186e-12,0.27287710726639136,0.0,-1.2521140154429727e-33,1.9072030362632755,0.09596237643165831,1.856829809478675e-11,-3.1130393725676725e-11,-1.3641192565138374e-11,6.237749593321989e-12,0.0,0.0,0.2789518705274782
0.24,-8.596791319037116e-12,0.2808857972408872,0.0,-1.8564360824928572e-33,1.9042899579654557,0.0986977668820633,1.6707569489096857e-11,-3.5829595865654e-11,-9.291928988726552e-12,-5.350013828641285e-12,0.0,0.0,0.2905072238338968
0.25,-2.95703182560901e-11,0.288753974302622,0.0,-2.4125741956909092e-33,1.9023798907579443,0.10204798968429808,1.249294220685735e-11,-3.7811643256514894e-11,-2.7445122445939394e-12,-1.9452044834964588e-11,0.0,0.0,0.3019901766497435
0.26,-5.288684727855163e-11,0.296543739084102,0.0,-2.842147580612268e-33,1.9014357602283471,0.10561815920777133,5.76091452720459e-12,-3.612767285442861e-11,5.863808638280812e-12,-3.5177209602499294e-11,0.0,0.0,0.31339786718244
0.27,-7.658635703267816e-11,0.3043540589761091,0.0,-3.0579149567171255e-33,1.9013389795610842,0.10879376741908536,-3.4164019855457977e-12,-2.998129038131048e-11,1.613017859608446e-11,-5.121515196142725e-11,0.0,0.0,0.324727452396347
0.28,-9.81405705544666e-11,0.3123102081273345,0.0,-2.9703427328478647e-33,1.9019189686574371,0.1108029990758106,-1.4676089114385604e-11,-1.885787903151613e-11,2.7359615705716203e-11,-6.586931423860625e-11,0.0,0.0,0.3359761087213079
0.29,-1.1458120838215249e-10,0.32054524889257474,0.0,-2.4959578447608258e-33,1.9029803587804526,0.11082682944927041,-2.7326707977729878e-11,-2.657311247674851e-12,3.8563807150578906e-11,-7.71416895359605e-11,0.0,0.0,0.3471410327563419
0.3,-1.227114900979142e-10,0.32917598524826197,0.0,-1.566984678847398e-33,1.9043261701569032,0.10814237239259995,-4.033693970859048e-11,1.81837566410778e-11,4.8492146396613746e-11,-8.28737726447747e-11,0.0,0.0,0.3582194419683107
0.31,-1.1939973425492681e-10,0.33827757076113,0.0,-1.414860367738424e-34,1.9057759187937269,0.10227447692257677,-5.2358911032752616e-11,4.259637767637621e-11,5.57002140818559e-11,-8.094313614020857e-11,0.0,0.0,0.369208575385383
0.32,-1.0194448400459814e-10,0.34786221157476716,0.0,1.787034414997898e-33,1.9071782377253874,0.09312305293939648,-6.179291882700827e-11,6.882838346802227e-11,5.865814377757464e-11,-6.950872914453199e-11,0.0,0.0,0.3801056942851275
0.33,-6.848980937888761e-11,0.35786717857049144,0.0,4.1818186938657394e-33,1.908418138550452,0.08103494891636652,-6.689747275125607e-11,9.445564008114876e-11,5.589754074931656e-11,-4.7290735824567055e-11,0.0,0.0,0.3909080828770599
0.34,-1.845814033352723e-11,0.3681550008728582,0.0,6.958190387036805e-33,1.9094194611393978,0.06680317448567724,-6.594459527940598e-11,1.164709214519649e-10,4.6190984629963006e-11,-1.3863195093705224e-11,0.0,0.0,0.4016130489794744
0.35,4.7042718170449256e-11,0.37852523909923863,0.0,9.983365186855768e-33,1.9101433495136901,0.05159698944290958,-5.741527792268088e-11,1.3146135348318533e-10,2.8752928513671284e-11,3.006968074458394e-11,0.0,0.0,0.412217924690392
0.36,1.2489049906633035e-10,0.3887346463369075,0.0,1.3081834748068294e-32,1.9105837514098825,0.03684184577041346,-4.02241661907421e-11,1.3587848726123032e-10,3.4454308185056154e-12,8.244853641732833e-11,0.0,0.0,0.4227200670524575
0.37,2.097547504312931e-10,0.3985218068096731,0.0,1.604696170822821e-32,1.9107609806311818,0.02407246974128079,-1.3956369919034212e-11,1.2639586520343497e-10,-2.90328231337272e-11,1.3972400161869738e-10,0.0,0.0,0.4331168587116205
0.38,2.9409629219085554e-10,0.40763287634819845,0.0,1.8658694673143206e-32,1.9107143254700087,0.014779205842853391,2.0906638166980178e-11,1.0033785321669147e-10,-6.699967629690972e-11,1.9685105627165634e-10,0.0,0.0,0.4434057085694337
0.39,3.684117293562949e-10,0.4158458642440521,0.0,2.0706293598766422e-32,1.9104945581325512,0.010262903390272467,6.280004068681629e-11,5.615124777637823e-11,-1.0771244696158681e-10,2.474479241433769e-10,0.0,0.0,0.4535840524288103
0.4,4.2176160894094674e-10,0.4229915597358598,0.0,2.2013643798432057e-32,1.9101570253133147,0.011509692102438358,1.0895880714692226e-10,-6.12122402987829e-12,-1.4738794210286997e-10,2.8414598686143917e-10,0.0,0.0,0.4636493536330746
0.41,4.4259966923684863e-10,0.42896967718225576,0.0,2.2463232319014845e-32,1.9097558036152327,0.019094207195036298,1.5540271953667713e-10,-8.441756941427944e-11,-1.8134335144094925e-10,2.9914311021613026e-10,0.0,0.0,0.4735991036981507
0.42,4.1989188460449197e-10,0.43375912743826106,0.0,2.2013719576367273e-32,1.9093392069006705,0.03311785378180907,1.970522855320739e-10,-1.7434381216834515e-10,-2.042748048237356e-10,2.8495351668173736e-10,0.0,0.0,0.483430822937729
