time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,1.0158427512188433e-10,1.575964605063993,0.0,1.9496684782477268e-30,1.4292497879480872,5.21006165416423e-09,-7.744350279415326e-10,1.5069890304472201e-21,-7.599408731774035e-10,0.0,0.0,0.0
0.01,2.8984197923348965e-09,1.6131933921347617,0.0,5.297462078588795e-30,1.4292497744007933,3.998950175325406e-09,-6.924659257681467e-10,-6.0981784562410416e-21,-9.533823261908131e-10,0.0,0.0,0.0123984854844581
0.02,6.123685483688104e-09,1.649536136014427,0.0,8.955140009372393e-30,1.4292497597772242,2.0190367590485964e-09,-5.116359492744427e-10,-1.5133550556681518e-20,-1.0928709482948193e-09,0.0,0.0,0.0247938810064031
0.03,9.534246386893909e-09,1.6828763115144683,0.0,1.259976530549189e-29,1.4292497454121267,-7.160949267449115e-10,-2.255023888013671e-10,-2.4990103067547294e-20,-1.148449556234066e-09,0.0,0.0,0.0371830973734054
0.04,1.2801180574468936e-08,1.7112341081589897,0.0,1.5823228260448435e-29,1.429249732969573,-4.105376989259841e-09,1.6241530932031348e-10,-3.480197069012061e-20,-1.0914407962970225e-09,0.0,0.0,0.0495630469330103
0.05,1.5523283723338073e-08,1.7328602217641225,0.0,1.815470679223203e-29,1.4292497243465605,-7.94801137513644e-09,6.363540931723729e-10,-4.347071670749683e-20,-8.979740549732253e-10,0.0,0.0,0.0619306443422459
0.06,1.7252220472003543e-08,1.746312626291665,0.0,1.909611340397204e-29,1.4292497215248936,-1.1939010749879931e-08,1.1667731251756252e-09,-4.972028806475655e-20,-5.529247762877355e-10,0.0,0.0,0.0742828073365548
0.07,1.7529654416107643e-08,1.750511936001901,0.0,1.817007700048113e-29,1.429249726373922,-1.5675109889344987e-08,1.7099376297824593e-09,-5.218410335839048e-20,-5.3939482306058864e-11,0.0,0.0,0.0866164574979598
0.08,1.593544779577497e-08,1.7447718512417822,0.0,1.4978495092575205e-29,1.4292497404128488,-1.867317302460085e-08,2.2089668581116204e-09,-4.952231555314661e-20,5.848773531321555e-10,0.0,0.0,0.0989285210222696
0.09,1.2144549216879015e-08,1.72880318150456,0.0,9.267991516275487e-30,1.429249764548158,-2.0402405451261124e-08,2.5966225514839286e-09,-4.0563132808137675e-20,1.3301145777756152e-09,0.0,0.0,0.1112159294851353
0.1,5.9885844100570105e-09,1.702693816403381,0.0,9.96865143918695e-31,1.4292497988086295,-2.033049616192911e-08,2.799995198365532e-09,-2.4457422915151808e-20,2.1275848504344742e-09,0.0,0.0,0.1234756206067662
0.11,-2.4834259775418478e-09,1.6668730830917042,0.0,-9.60350280266551e-30,1.4292498421067155,-1.798230570657706e-08,2.747076886727238e-09,-8.310497243164307e-22,2.9027674333215713e-09,0.0,0.0,0.1357045390151145
0.12,-1.2952196308926977e-08,1.6220748223740165,0.0,-2.1981086354315292e-29,1.4292498920598433,-1.3007949061904202e-08,2.3749971095259315e-09,3.008500433727105e-20,3.5636270699716695e-09,0.0,0.0,0.1478996370073372
0.13,-2.479112798408543e-08,1.5693130547703833,0.0,-3.523849109698965e-29,1.42924994490755,-5.255235315368298e-09,1.6394532801938786e-09,6.73700811441488e-20,4.006133350988676e-09,0.0,0.0,0.1600578753093483
0.14,-3.705344043430937e-08,1.5098736077826758,0.0,-4.81399399320519e-29,1.4292499955593563,5.1604091038889906e-09,5.246094866952992e-10,1.0939994635401717e-19,4.1225921896571295e-09,0.0,0.0,0.1721762238332693
0.15,-4.849139529282769e-08,1.445311434016762,0.0,-5.915769823633414e-29,1.4292500378031376,1.779697117572904e-08,-9.475098311924074e-10,1.5392800771182237e-19,3.812618783204965e-09,0.0,0.0,0.1842516624325907
0.16,-5.7614087960132704e-08,1.3774378722340168,0.0,-6.656336340539379e-29,1.4292500646939015,3.1847320700741096e-08,-2.7093095991247427e-09,1.9828244493687673e-19,2.9962424238655474e-09,0.0,0.0,0.1962811816548557
