time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-1.0366538856794035e-09,0.7529522653870361,0.0,1.915169223541445e-30,1.7485962384881313,1.7710399647174566e-08,-8.899624026446601e-11,1.2177135091264146e-12,6.313640022807232e-20,-1.1788608208541477e-10,0.0,0.0,0.0
0.01,-1.259126679702502e-09,0.7704316487194209,0.0,4.894772324139134e-30,1.7485962373493986,1.4956821769150358e-08,-8.84531980777209e-11,5.775487213436745e-12,6.343315171165909e-20,-1.2194307132756493e-10,0.0,0.0,0.0123984854844581
0.02,-1.4014915035379068e-09,0.7876556819608762,0.0,8.130204220872951e-30,1.7485962361545402,9.804214650499974e-09,-7.794485097288982e-11,1.0914631680845889e-11,5.670075184142055e-20,-1.1355074485044602e-10,0.0,0.0,0.0247938810064031
0.03,-1.4264562466447798e-09,0.8044599293998073,0.0,1.133090426773674e-29,1.7485962350211481,2.181101104737785e-09,-5.5964778499667275e-11,1.6220565874860912e-11,4.179270261924594e-20,-9.03014825919037e-11,0.0,0.0,0.0371830973734054
0.04,-1.299759075789767e-09,0.8207511574429328,0.0,1.4132230138495874e-29,1.7485962340915335,-7.72890485542646e-09,-2.1876026369001885e-11,2.1148988990334256e-11,1.8166138857272116e-20,-5.079121036788914e-11,0.0,0.0,0.0495630469330103
0.05,-9.947848322398905e-10,0.836537870684562,0.0,1.611606762437068e-29,1.7485962335235576,-1.943905852536626e-08,2.3784963994725473e-11,2.5051511188822916e-11,-1.389249059777938e-20,4.955544285686329e-12,0.0,0.0,0.0619306443422459
0.06,-4.975707942534315e-10,0.851944771706171,0.0,1.684290481168624e-29,1.7485962334772773,-3.213221141904334e-08,7.905316718965109e-11,2.721971475623929e-11,-5.307143940221834e-20,7.51051794349492e-11,0.0,0.0,0.0742828073365548
0.07,1.8824947061240313e-10,0.867207485334888,0.0,1.5894885025026566e-29,1.7485962340977645,-4.46629025065599e-08,1.4036993055698103e-10,2.6947697842232317e-11,-9.689636646359659e-20,1.5573332605814853e-10,0.0,0.0,0.0866164574979598
0.08,1.0371296120709925e-09,0.8826464300600254,0.0,1.292800385528972e-29,1.7485962354949842,-5.5596458049479546e-08,2.0255057788936728e-10,2.3611115085156267e-11,-1.4168173876666013e-19,2.4069970337517567e-10,0.0,0.0,0.0989285210222696
0.09,1.9985688359166273e-09,0.8986220587790932,0.0,7.73010834154145e-30,1.748596237722168,-6.32906862222151e-08,2.5892383667147166e-10,1.6758365396713807e-11,-1.825988615619144e-19,3.217354062182759e-10,0.0,0.0,0.1112159294851353
