time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,2.2435777125612387e-08,0.844432895974563,0.0,-6.8942312296148045e-31,1.9289604679138177,-7.673985514969868e-07,-1.4664305726329673e-09,0.0,4.961036507626181e-20,1.165559962319632e-09,0.0,0.0,0.0
0.01,-6.564850362635257e-09,0.8511897377677123,0.0,-6.941487905591026e-31,1.9289603978621492,-5.818865643177699e-07,-3.304935638661907e-09,0.0,5.929879579423476e-20,9.49522589875497e-10,0.0,0.0,0.0123984854844581
0.02,-4.261555425137149e-08,0.8577840050775881,0.0,-6.23081024584996e-31,1.9289602977020086,-2.820162486480384e-07,-5.269687304208154e-09,0.0,6.492272758710407e-20,5.701258639518015e-10,0.0,0.0,0.0247938810064031
0.03,-8.360521136385045e-08,0.8639821505884965,0.0,-4.637792675130838e-31,1.928960170476653,1.295967258129228e-07,-7.176431672379527e-09,0.0,6.475724921542117e-20,2.56704832545554e-11,0.0,0.0,0.0371830973734054
0.04,-1.2630813076665658e-07,0.8696232946345068,0.0,-2.1026132912156747e-31,1.928960023050286,6.372299575302381e-07,-8.797931883821635e-09,0.0,5.72616211985219e-20,-6.676746497696445e-10,0.0,0.0,0.0495630469330103
0.05,-1.6644319240798336e-07,0.8746539531955572,0.0,1.3460016238702258e-31,1.928959866370923,1.2102841024471184e-06,-9.877665474958029e-09,0.0,4.130387669841083e-20,-1.4728746114954894e-09,0.0,0.0,0.0619306443422459
0.06,-1.9886601719573225e-07,0.8791455822973934,0.0,5.570215246980271e-31,1.9289597153504034,1.8026894031834177e-06,-1.0150446940969922e-08,0.0,1.640247207172618e-20,-2.3305429756343903e-09,0.0,0.0,0.0742828073365548
0.07,-2.1790851791515027e-07,0.8832913228951931,0.0,1.0309115307688638e-30,1.9289595882721693,2.3538704807104905e-06,-9.369543643055923e-09,0.0,-1.7036389200171665e-20,-3.1595392343787597e-09,0.0,0.0,0.0866164574979598
0.08,-2.1786766783862105e-07,0.887380959180393,0.0,1.517466659084474e-30,1.9289595056658972,2.7915802566353764e-06,-7.3390165015312774e-09,0.0,-5.751210734506225e-20,-3.860141498931139e-09,0.0,0.0,0.0989285210222696
0.09,-1.9362925115869057e-07,0.8917564736360692,0.0,1.9660690340171656e-30,1.9289594886309034,3.036789756966954e-06,-3.949096619002073e-09,0.0,-1.0228337417960253e-19,-4.3201330320023e-09,0.0,0.0,0.1112159294851353
