time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-2.120132202903356e-08,0.5658036602420019,0.0,-1.2658112998543358e-36,1.9524437484507562,-7.717513762067165e-07,6.73882611444503e-10,0.0,7.35926548177158e-11,3.221219458544463e-20,-3.6397613833630687e-10,0.0,0.0,0.0
0.01,-1.885467476712726e-08,0.5718236524367861,0.0,2.801978489620733e-36,1.9524437728809811,-5.967750262881905e-07,1.123466686108798e-09,0.0,8.380032043655182e-11,2.3269200892624825e-20,-2.608157654314869e-10,0.0,0.0,0.0123984854844581
0.02,-1.3785429076826102e-08,0.5777211410499908,0.0,7.649814533845314e-36,1.9524437919699986,-3.086134902016662e-07,1.5689214431747132e-09,0.0,8.744289664037038e-11,9.29970899697316e-21,-1.0103005981375591e-10,0.0,0.0,0.0247938810064031
0.03,-5.826062027967524e-09,0.5833470930227259,0.0,1.29487464140763e-35,1.9524438021659583,9.110274076110765e-08,1.9596870490892015e-09,0.0,8.235504027543713e-11,-9.489261374375408e-21,1.1283102927478754e-10,0.0,0.0,0.0371830973734054
0.04,4.915036969211355e-09,0.5886014542480847,0.0,1.8231510467267334e-35,1.952443799951558,5.879215659562198e-07,2.2377132673188032e-09,0.0,6.675980569772534e-11,-3.229108116184742e-20,3.715303903639373e-10,0.0,0.0,0.0495630469330103
0.05,1.799159072123609e-08,0.593456097711635,0.0,2.2907303193824153e-35,1.9524437822437841,1.1527345208371378e-06,2.341894753348249e-09,0.0,3.9570092984079986e-11,-5.762284775066711e-20,6.583755031717849e-10,0.0,0.0,0.0619306443422459
0.06,3.2578345717966325e-08,0.5979662897723041,0.0,2.629423214686172e-35,1.9524437468526612,1.7410769620457544e-06,2.214035197576719e-09,0.0,6.943706515172827e-13,-8.330091160002222e-20,9.49071787532295e-10,0.0,0.0,0.0742828073365548
0.07,4.746103447934552e-08,0.6022682214058422,0.0,2.7670583415716986e-35,1.9524436929639126,2.293945308412043e-06,1.8060882907238088e-09,0.0,-4.868612040877777e-11,-1.0648450918719103e-19,1.212380559655743e-09,0.0,0.0,0.0866164574979598
0.08,6.106683192978002e-08,0.6065619188136682,0.0,2.634426143527525e-35,1.9524436215983636,2.7404475334663226e-06,1.0882141386480487e-09,0.0,-1.059071052449371e-10,-1.2379991388283089e-19,1.411724373436402e-09,0.0,0.0,0.0989285210222696
0.09,7.154278644462767e-08,0.6110811247173469,0.0,2.1737566636478886e-35,1.9524435359908479,3.0024843999248646e-06,5.6975471575035666e-11,0.0,-1.6671925363744794e-10,-1.3155166410017298e-19,1.5078156478824624e-09,0.0,0.0,0.1112159294851353
