time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU
0.0,0.1762686933369273,0.1069974529914046,0.0,3.4072416403521363e-11,-5.502029490763842e-07,-6.650912661249595e-07,0.0014157898961401451,0.0,6.626524441213358e-11,2.8300447241960903e-11,0.0,2.0933107946563894e-61
0.01,0.18052427022572926,0.10670807066739449,0.0,3.338107817554876e-11,-2.8860217829116285e-07,-3.4000997299676083e-07,0.0014898350119047553,0.0,9.899284872246764e-11,5.884232826187636e-11,0.0,3.673511758398421e-61
0.02,0.18448841332107033,0.1065922850322778,0.0,2.8798496420851418e-11,7.520730634512461e-08,1.1001453183365543e-07,0.001508094486038303,0.0,1.295093139868831e-10,9.10441065673132e-11,0.0,5.2697565636836125e-61
0.03,0.18811090724292787,0.10679441547905927,0.0,1.9789654025234066e-11,5.282527119280044e-07,6.68536385595851e-07,0.0014386804267005557,0.0,1.538337540252969e-10,1.2177613357910581e-10,0.0,6.709141331729396e-61
0.04,0.19133794439837992,0.10742090189661477,0.0,6.167407510779814e-12,1.0441749979133363e-06,1.3026535817165106e-06,0.0012506535036339325,0.0,1.6760489317365243e-10,1.4723245585342906e-10,0.0,7.789797801321982e-61
0.05,0.19409438076857385,0.10853076869823891,0.0,-1.1793426629416158e-11,1.5825645183752417e-06,1.9622465381618626e-06,0.0009203547623295014,0.0,1.664632015644361e-10,1.6317192744063125e-10,0.0,8.295534609692529e-61
0.06,0.19628069965907163,0.11013357035616143,0.0,-3.326266862807259e-11,2.089678292475738e-06,2.5809238373044237e-06,0.0004375038269824034,0.0,1.4653533721614843e-10,1.6527230906654544e-10,0.0,8.015995903370335e-61
0.07,0.19778218024104705,0.11219326064691136,0.0,-5.679797218788166e-11,2.5008298710499803e-06,3.0790280625302664e-06,-0.00018931418544748142,0.0,1.0499455640790854e-10,1.495883503617012e-10,0.0,6.771579288277851e-61
0.08,0.19848627641324593,0.11463579822572491,0.0,-8.034074457027203e-11,2.7446351303917304e-06,3.368920620432185e-06,-0.0009282059511294484,0.0,4.0655255370858336e-11,1.1309089257780037e-10,0.0,4.441623452834729e-61
0.09,0.19830399120936507,0.11735855618785652,0.0,-1.0127938500860189e-10,2.749140463422904e-06,3.362570148347476e-06,-0.0017210756799720742,0.0,-4.545520474657782e-11,5.424887545416761e-11,0.0,9.936132396204398e-62
