time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU
0.0,0.1762310888096165,0.10700219943708716,0.0,1.4720859484985855e-11,-5.999619587365471e-07,-7.260296434076716e-07,0.0014569876792432232,0.0,-4.189385187186295e-12,-1.9839213328794607e-11,0.0,-1.9591686988897573e-61
0.01,0.18080879646895168,0.10685743068862524,0.0,1.4873029611181453e-11,-3.1135435266307846e-07,-3.711636925986746e-07,0.0015321340013777602,0.0,2.3509626692257072e-11,4.54699784697956e-12,0.0,-1.703660048007137e-61
0.02,0.1850856289138628,0.10688619225753974,0.0,1.341488507536388e-11,8.92318798986855e-08,1.2009317999815067e-07,0.0015491433472576328,0.0,5.602845431299611e-11,3.496956700380428e-11,0.0,-1.1904839394714888e-61
0.03,0.18900761769337687,0.10723405472824053,0.0,1.0076365302287639e-11,5.873617658751623e-07,7.297883278391597e-07,0.001475273218236536,0.0,9.10498406568017e-11,6.967026817649693e-11,0.0,-4.074962293084923e-62
0.04,0.19251798258656758,0.10800857406873385,0.0,4.723721152194441e-12,1.1538995979851184e-06,1.4220052006656293e-06,0.0012787951379769021,0.0,1.253571460867752e-10,1.0594432685667392e-10,0.0,6.307514928702231e-62
0.05,0.19553920574398093,0.10926964425715271,0.0,-2.5890739150151693e-12,1.7443002426354952e-06,2.1420321444675416e-06,0.0009354943502849381,0.0,1.5495020153045746e-10,1.4018679702343526e-10,0.0,1.8774667209752765e-61
0.06,0.19796987686272718,0.11102735767163927,0.0,-1.157596264588733e-11,2.299421033844766e-06,2.8173947884138184e-06,0.0004349436786963419,0.0,1.7527922073435092e-10,1.6805131060752575e-10,0.0,3.2501626880942355e-61
0.07,0.19969382653677772,0.11324581487085156,0.0,-2.1688308556129175e-11,2.7481719892837104e-06,3.361137280330809e-06,-0.00021384358350408497,0.0,1.816024709192112e-10,1.8473371759199164e-10,0.0,4.630241330633686e-61
0.08,0.2005975568648467,0.1158506947410704,0.0,-3.210537093416785e-11,3.0122032296718453e-06,3.677591315254122e-06,-0.0009778344439925549,0.0,1.694611908476165e-10,1.8538262797410974e-10,0.0,5.866473291022165e-61
0.09,0.20059174213423617,0.11873865243720208,0.0,-4.175243263163154e-11,3.0126556685055915e-06,3.6706598112587985e-06,-0.0017969957478807005,0.0,1.3525048262710814e-10,1.656253182589618e-10,0.0,6.783033933463533e-61
0.1,0.19963276016313766,0.12178716182386545,0.0,-4.935198552280908e-11,2.6787789768233144e-06,3.2543701259845713e-06,-0.002583467553537902,0.0,7.684854277003495e-11,1.2218156327336938e-10,0.0,7.19242531835242e-61
0.11,0.19774060359513007,0.12486395631641241,0.0,-5.3511158371639597e-11,1.957960959855512e-06,2.3651340086557565e-06,-0.00322341307629528,0.0,-5.74997325223359e-12,5.35208329937105e-11,0.0,6.913160167304928e-61
0.12,0.19501014950764287,0.12783566387242742,0.0,-5.284540263524962e-11,8.264335175979456e-07,9.748110469975456e-07,-0.0035819642464304897,0.0,-1.0986565728216725e-10,-3.9498472557991965e-11,0.0,5.791521945607245e-61
0.13,0.19161371762338672,0.130575548438697,0.0,-4.613443071857265e-11,-7.003518534930559e-07,-8.966591089499167e-07,-0.003511504035495674,0.0,-2.2971166881127717e-10,-1.530835330514312e-10,0.0,3.726078705529141e-61
0.14,0.18779420734755234,0.13297044291481297,0.0,-3.250174628794142e-11,-2.558919494817545e-06,-3.1705737816823793e-06,-0.0028632804333790646,0.0,-3.5620265145920976e-10,-2.8014106513486385e-10,0.0,6.929679274719734e-62
0.15,0.1838498639449358,0.1349269859284349,0.0,-1.1604164188163327e-11,-4.631934770019989e-06,-5.702442382505937e-06,-0.0015020412866651933,0.0,-4.77078580080328e-10,-4.1017949699205094e-10,0.0,-3.2306478354898714e-61
0.16,0.1801134174961513,0.13637718875438468,0.0,1.6187040093080743e-11,-6.746783331732443e-06,-8.280380688990472e-06,0.0006770034606166962,0.0,-5.774142638257059e-10,-5.29562164524416e-10,0.0,-7.848049088970493e-61
0.17,0.17692885221348525,0.13728323387157002,0.0,4.963570696327595e-11,-8.679906187739409e-06,-1.0630556130670383e-05,0.0037301042216920707,0.0,-6.405613875812965e-10,-6.221775755137466e-10,0.0,-1.2832729333000343e-60
0.18,0.1746277115399527,0.13764130672962832,0.0,8.654603622065e-11,-1.0167953192753033e-05,-1.2430970873217898e-05,0.0076476515614196175,0.0,-6.49534531224959e-10,-6.705642029566685e-10,0.0,-1.77298292973734e-60
0.19,0.17350488744107392,0.13748416604987906,0.0,1.2374894853060617e-10,-1.0926345672418402e-05,-1.33342890259957e-05,0.012340108922956467,0.0,-5.888063863018116e-10,-6.574868574047846e-10,0.0,-2.1972204984287582e-60
0.2,0.17379367270195584,0.13688199503581486,0.0,1.571928373419028e-10,-1.0675174805369973e-05,-1.2999599720536824e-05,0.017629988459530274,0.0,-4.4642263341943766e-10,-5.679107647117818e-10,0.0,-2.491327096652309e-60
0.21,0.17564209960719912,0.135940860220635,0.0,1.8215663718276066e-10,-9.17152832640971e-06,-1.1131986752233402e-05,0.023252481621860444,0.0,-2.1628743994602906e-10,-3.91260873685954e-10,0.0,-2.5877472485395993e-60
0.22,0.17909510384808777,0.1347979782400598,0.0,1.935943636043129e-10,-6.2463810681711925e-06,-7.527605912951393e-06,0.02886679905976627,0.0,9.958838113734469e-11,-1.2379208386626338e-10,0.0,-2.4227511776300818e-60
0.23,0.1840872092809912,0.1336131133041026,0.0,1.866081404243658e-10,-1.843178088505258e-06,-2.1207430727684404e-06,0.0340794824827698,0.0,4.891361463416236e-10,2.2916298550114822e-10,0.0,-1.9445359489179725e-60
0.24,0.19044761755589548,0.13255585869758899,0.0,1.5703166539389668e-10,3.945718934839682e-06,4.97183986423235e-06,0.038479911651170054,0.0,9.288712731963793e-10,6.513510689455997e-10,0.0,-1.1221755302907028e-60
0.25,0.19791544873514638,0.13178924142332046,0.0,1.0208896379916376e-10,1.084934129824319e-05,1.3414921699346936e-05,0.04168676516406538,0.0,1.3834383237269999e-09,1.114473354849748e-09,0.0,4.534611225374398e-62
0.26,0.20615994595025183,0.13145092662529193,0.0,2.1075492953076263e-11,1.8400287128459175e-05,2.2633439223663894e-05,0.04340208738541541,0.0,1.8063518590498045e-09,1.5780960902049037e-09,0.0,1.5209994236746314e-60
0.27,0.21480053265520427,0.1316342035195772,0.0,-8.40080201269938e-11,2.5933920867834783e-05,3.1811995211259374e-05,0.04346674878465806,0.0,2.142171612904352e-09,1.9908843689692993e-09,0.0,3.2236150856801854e-60
0.28,0.22342457908106653,0.1323718302380882,0.0,-2.0795205186842577e-10,3.2609254101845656e-05,3.992091533006059e-05,0.041907727921827925,0.0,2.330255236073948e-09,2.293377054017715e-09,0.0,5.025055376569429e-60
0.29,0.23160452376671495,0.13362638578716257,0.0,-3.4205591865695107e-10,3.7455005304383214e-05,4.5773082570261294e-05,0.03896517584336801,0.0,2.3100951540425816e-09,2.4224081545065887e-09,0.0,6.751841005239319e-60
0.3,0.23891784148230896,0.13529029402661763,0.0,-4.74157246258888e-10,3.944247900810989e-05,4.8113495279732745e-05,0.03508841371712059,0.0,2.0280719745482947e-09,2.3171254496058042e-09,0.0,8.192247913498971e-60
0.31,0.24497180735770926,0.13719666304305475,0.0,-5.890536439266558e-10,3.758436759661497e-05,4.574038410238765e-05,0.03089660809990696,0.0,1.4452546774881415e-09,1.9263666316176823e-09,0.0,9.109553410561324e-60
0.32,0.24943140941970599,0.13913927756943367,0.0,-6.693749725254334e-10,3.105546057931826e-05,3.7652907212275136e-05,0.02710930652868709,0.0,5.456624277364039e-10,1.2169382340367679e-09,0.0,9.261610561229753e-60
0.33,0.2520460082636984,0.14089804867194378,0.0,-6.969302351054175e-10,1.93277371815537e-05,2.3216156712768545e-05,0.024458997792237022,0.0,-6.558053537334898e-10,1.8212041332600117e-10,0.0,8.426275209676301e-60
0.34,0.25266994262660053,0.14226572720884584,0.0,-6.545068732415456e-10,2.308703118541434e-06,2.329801558292218e-06,0.023599754014914494,0.0,-2.106740001852552e-09,-1.150485994095975e-09,0.0,6.431432713925023e-60
0.35,0.2512735306736872,0.1430722422852312,0.0,-5.280440693665234e-10,-1.95315155795039e-05,-2.4417379300584966e-05,0.02502438705796061,0.0,-3.712980611740969e-09,-2.7128177041078408e-09,0.0,3.1875247550411656e-60
0.36,0.2479426365990099,0.14320388151651467,0.0,-3.090391057274159e-10,-4.5061446581671987e-05,-5.5628013553073326e-05,0.028999884774919174,0.0,-5.337868069689889e-09,-4.393051747416984e-09,0.0,-1.2803641490732817e-60
0.37,0.24286671739814672,0.14261535598864997,0.0,3.0178492410642624e-12,-7.243648218203214e-05,-8.903436766949895e-05,0.03552823751696366,0.0,-6.806016936487597e-09,-6.036281797516217e-09,0.0,-6.804540615030498e-60
0.38,0.23631711694614543,0.14133356437224995,0.0,3.984432001522859e-10,-9.911236634515992e-05,-0.00012151663268155695,0.04433714970036925,0.0,-7.91239827605843e-09,-7.450158815789589e-09,0.0,-1.3055066745825514e-59
0.39,0.22861941117970647,0.13945263918591885,0.0,8.557007548399703e-10,-0.00012193996967626681,-0.0001492207064604131,0.054902353164680694,0.0,-8.43714965935988e-09,-8.41620140169421e-09,0.0,-1.9532869185687447e-59
0.4,0.22012535198716526,0.13712070430208884,0.0,1.3406133310314435e-09,-0.00013735263495314918,-0.00016778908511102392,0.06650011079766438,0.0,-8.166004416200511e-09,-8.70704101992556e-09,0.0,-2.5579776404583547e-59
0.41,0.21119014807038075,0.1345198075396274,0.0,1.80676623257436e-09,-0.0001416501257424661,-0.00017270957093414523,0.07828488620530026,0.0,-6.91557943657058e-09,-8.109279542670752e-09,0.0,-3.040891060181743e-59
0.42,0.20215860955960416,0.13184174491932438,0.0,2.1973774998923773e-09,-0.00013137356828598064,-0.00015977468819268308,0.08938312267857469,0.0,-4.5620174074539995e-09,-6.4509269719400294e-09,0.0,-3.31575200119804e-59
0.43,0.19336004304734167,0.12926359862386572,0.0,2.448820743222139e-09,-0.00010375417112730073,-0.0001256305016848502,0.09899062505289538,0.0,-1.070703527602643e-09,-3.631601886789587e-09,0.0,-3.2962405644360597e-59
0.44,0.18510841101522924,0.12692691281623103,0.0,2.495852745135353e-09,-5.7205699717500634e-05,-6.837789458704237e-05,0.10646061241121711,0.0,3.4759540963918856e-09,3.471170422911414e-10,0.0,-2.9055629478707516e-59
0.45,0.17770184811305634,0.12492301426330803,0.0,2.278422761701875e-09,8.182225879211164e-06,1.182636942314132e-05,0.1113736754476753,0.0,8.856283798418634e-09,5.35451742847951e-09,0.0,-2.0875319178853544e-59
0.46,0.171414836563251,0.12328493399451475,0.0,1.7497318477649366e-09,9.020454712614894e-05,0.00011223557741718213,0.11358679675689602,0.0,1.4696604427087818e-08,1.1110626526177204e-08,0.0,-8.183317681208047e-60
0.47,0.16647872267673156,0.12198537974871959,0.0,8.849827947305942e-10,0.00018421809664035654,0.00022712324061773394,0.11326081180208654,0.0,2.0471935918692135e-08,1.7177256153853845e-08,0.0,8.821547217993684e-60
0.48,0.16305196476338188,0.1209407286821902,0.0,-3.099654508353487e-10,0.00028300301008331064,0.00034761946145839577,0.1108627756523533,0.0,2.552369693783613e-08,2.2964209894089145e-08,0.0,2.940832276875986e-59
0.49,0.16118787716758154,0.12002174879583628,0.0,-1.791025280513543e-09,0.00037687296477949235,0.00046185231041226556,0.10713638495312036,0.0,2.909698134188187e-08,2.7754030474011232e-08,0.0,5.225234555385022e-59
0.5,0.16081142688286526,0.11907135997080902,0.0,-3.47052069468859e-09,0.0004540887255940086,0.00055546030036649,0.10303485242746771,0.0,3.0398526869471056e-08,3.074751304778065e-08,0.0,7.542304743519425e-59
0.51,0.16171635924442757,0.11792835056407934,0.0,-5.215228897660838e-09,0.0005016104112391871,0.0006125185644180434,0.09961632553141554,0.0,2.8674490951978496e-08,3.1130501781338805e-08,0.0,9.64357552707776e-59
0.52,0.16358941031689472,0.11645445092508505,0.0,-6.8489529712715695e-09,0.0005061957783152401,0.0006168868292948364,0.09790937100690013,0.0,2.330471224446238e-08,2.816026315377618e-08,0.0,1.1237889897742978e-58
0.53,0.16606022993997654,0.11456087907185723,0.0,-8.160555398123891e-09,0.00045581534970554175,0.0005539426030038198,0.09876404246651094,0.0,1.3907415404062789e-08,2.1267098318167313e-08,0.0,1.2012273279265947e-58
0.54,0.16876668976478265,0.11222971720055547,0.0,-8.918025362160175e-09,0.0003413121957293171,0.0004126103954014519,0.10271118477864183,0.0,4.45536505442586e-10,1.0164001603243913e-08,0.0,1.1660826290190492e-58
