time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU
0.0,0.25151329223904817,0.15290144585256868,0.0,1.360901402068378e-10,-5.95511064630079e-07,-7.163600731297713e-07,0.0018541308593025328,0.0,-6.033995414030491e-11,-1.5042749370419983e-10,0.0,-9.293670199937268e-62
0.01,0.26022864358835035,0.15182087233409955,0.0,1.2796212688113157e-10,-3.022017343913501e-07,-3.527357479565904e-07,0.0017505651874586642,0.0,-1.7702391041583188e-10,-2.487136086935346e-10,0.0,-1.3427340185341272e-61
0.02,0.268210044668642,0.15099876627650916,0.0,1.0344819324447607e-10,1.0333129261997559e-07,1.4758298771802166e-07,0.00159420804976797,0.0,-3.0535381461834085e-10,-3.4575215410511833e-10,0.0,-1.7179151550986205e-61
0.03,0.27508726347505263,0.15064555081284378,0.0,6.08745413701789e-11,6.061696096969555e-07,7.657188884611477e-07,0.00135870725799118,0.0,-4.342069116638891e-10,-4.3043574524393306e-10,0.0,-2.003017002851278e-61
0.04,0.28057249447179083,0.15091535462720942,0.0,1.23310566574937e-13,1.1765908658387001e-06,1.4646517514219695e-06,0.001014081460280897,0.0,-5.49418893793321e-10,-4.900492368446467e-10,0.0,-2.1422268616391546e-61
0.05,0.2844553288347442,0.1518922683342602,0.0,-7.693698733350314e-11,1.7693975158002193e-06,2.1884617106316906e-06,0.0005341626331901513,0.0,-6.345405137259138e-10,-5.11250045079371e-10,0.0,-2.080957541105317e-61
0.06,0.28659855604072226,0.15358778485179356,0.0,-1.6612609391437394e-10,2.324783500557427e-06,2.8634677076459952e-06,-9.527671681530572e-05,0.0,-6.720508079723856e-10,-4.813810777287018e-10,0.0,-1.7722360851979537e-61
0.07,0.28693630777781387,0.1559470259568453,0.0,-2.6079599350037936e-10,2.771055164447508e-06,3.40164309647014e-06,-0.0008684926036853258,0.0,-6.450147212607113e-10,-3.9005973329008786e-10,0.0,-1.1839608568777443e-61
0.08,0.28547501411879145,0.1588604503163097,0.0,-3.519070139560806e-10,3.0294017101111983e-06,3.7065399973653212e-06,-0.001752705367656635,0.0,-5.391203129294271e-10,-2.30940616379764e-10,0.0,-3.0645425808884993e-62
0.09,0.2822965501033334,0.16217812997720282,0.0,-4.2838985017146706e-10,3.0207353484931723e-06,3.681737631287642e-06,-0.0026829124873936653,0.0,-3.449712002788859e-10,-3.502877469883166e-12,0.0,8.40448082648276e-62
0.1,0.2775619703501226,0.16572449609235368,0.0,-4.778300135401488e-10,2.6743969404724264e-06,3.241553752274097e-06,-0.00355946543050409,0.0,-6.044820548901998e-11,2.8532963979184117e-10,0.0,2.2016829960281063e-61
0.11,0.271513528721304,0.1693122524674886,0.0,-4.874852078996487e-10,1.9382610551453432e-06,2.3234370800722103e-06,-0.004249199484205665,0.0,3.071034098979801e-10,6.199601507880323e-10,0.0,3.683623490506788e-61
0.12,0.26447242712398555,0.17275481895306252,0.0,-4.4561198907940386e-10,7.894939974959147e-07,9.011158820633673e-07,-0.004590724455546009,0.0,7.391507219323441e-10,9.755240554564477e-10,0.0,5.1541287440186724e-61
0.13,0.25683009133845563,0.17587715310111762,0.0,-3.430373882874559e-10,-7.550543517390761e-07,-1.0027541643620042e-06,-0.00440421883176873,0.0,1.2050296988554941e-09,1.3181633677144564e-09,0.0,6.446883123264713e-61
0.14,0.24903187488390638,0.1785250815861236,0.0,-1.7486673230113897e-10,-2.630076758540496e-06,-3.3059812417717887e-06,-0.0035057291267563185,0.0,1.6620954307865168e-09,1.6063731574225103e-09,0.0,7.370692984914172e-61
0.15,0.24155394356478002,0.18057334972735628,0.0,5.782540119619868e-11,-4.716060957267569e-06,-5.859992483460456e-06,-0.0017255709121136104,0.0,2.0572427145479847e-09,1.7935580766943583e-09,0.0,7.724039005018906e-61
0.16,0.23487606568196734,0.18193251114712447,0.0,3.4651333845407664e-10,-6.838017844821242e-06,-8.448522347472934e-06,0.0010700671286536878,0.0,2.3299957577494824e-09,1.831839739852044e-09,0.0,7.314678204604774e-61
0.17,0.22945362661087973,0.18255462954253532,0.0,6.741681717962205e-10,-8.770027305210961e-06,-1.0793464082867821e-05,0.004955881649893549,0.0,2.417244885000642e-09,1.677027798232292e-09,0.0,5.9834740361025505e-61
0.18,0.22569045453558162,0.1824376366890844,0.0,1.0148673932155873e-09,-1.0246657478316771e-05,-1.2569156050651914e-05,0.009924992507628587,0.0,2.2595461775749253e-09,1.2945149845948268e-09,0.0,3.630943128258216e-61
0.19,0.22391161316198768,0.18162805886329578,0.0,1.3342871437789122e-09,-1.0981833431863644e-05,-1.3425779390852978e-05,0.015870481163548555,0.0,1.8087039187261897e-09,6.656895254697581e-10,0.0,2.4430029162108634e-62
0.2,0.22433531104374435,0.1802215965332468,0.0,1.591259176834863e-09,-1.0695058688351996e-05,-1.3021713484812704e-05,0.022574529126875936,0.0,1.036138166987256e-09,-2.0570817915899334e-10,0.0,-4.077866971371013e-61
0.21,0.22704629111139857,0.1783607389957895,0.0,1.7405052780395674e-09,-9.14405088188669e-06,-1.1063660022093436e-05,0.029708521892268514,0.0,-5.868087400890478e-11,-1.2880052457511112e-09,0.0,-9.106669536778609e-61
0.22,0.2319766452325365,0.1762284042157475,0.0,1.7365614108795427e-09,-6.161888957094569e-06,-7.352165068304547e-06,0.03684676504630783,0.0,-1.4406501150053463e-09,-2.5176201121595578e-09,0.0,-1.4473375851917711e-60
0.23,0.2389004606308188,0.17403672511627438,0.0,1.538775069674342e-09,-1.695758136841087e-06,-1.8289333972260133e-06,0.043495446935996544,0.0,-3.0333727024632987e-09,-3.79756214924022e-09,0.0,-1.9672836612196976e-60
0.24,0.24744521819955273,0.17201063578586578,0.0,1.1171089259922122e-09,4.156580059483353e-06,5.378836793292131e-06,0.04913716164394087,0.0,-4.716562948382459e-09,-4.9992377336273274e-09,0.0,-2.4082972478887813e-60
0.25,0.25711754322937236,0.17036677732115238,0.0,4.5832274894696803e-10,1.1117251700020193e-05,1.3922819852695749e-05,0.053289446403993045,0.0,-6.327627506272412e-09,-5.968249176420786e-09,0.0,-2.7002470015470226e-60
0.26,0.2673370240134639,0.16928931078693027,0.0,-4.280512224912786e-10,1.8710807094210877e-05,2.321291907668232e-05,0.055573107389667996,0.0,-7.668367458472558e-09,-6.534613747590261e-09,0.0,-2.7707385035940563e-60
0.27,0.2774716857422379,0.16890538663155955,0.0,-1.5046582145781611e-09,2.6264007235740844e-05,3.241792622389912e-05,0.055782454479298166,0.0,-8.517430870048253e-09,-6.527453937422892e-09,0.0,-2.5525441095015226e-60
0.28,0.28687219269441366,0.16926417753208048,0.0,-2.703004991272397e-09,3.292751071423334e-05,4.0493125144497365e-05,0.0539452761115476,0.0,-8.648675842023375e-09,-5.793727439042144e-09,0.0,-1.9924521252835958e-60
0.29,0.2949063172261323,0.17032413050639872,0.0,-3.9227113320793384e-09,3.772292796096737e-05,4.62390024157884e-05,0.050357232119738964,0.0,-7.854990867590786e-09,-4.220001119767051e-09,0.0,-1.0609336268225885e-60
0.3,0.30099716725264103,0.171952498664603,0.0,-5.034100670867231e-09,3.961682347149186e-05,4.839289116768882e-05,0.0455768656108719,0.0,-5.976391890274881e-09,-1.7556682337495292e-09,0.0,2.382269238832328e-61
0.31,0.30466632047860703,0.17393865061844627,0.0,-5.884737962805075e-09,3.762067900893111e-05,4.575220805782346e-05,0.040375867853469596,0.0,-2.9304240102861447e-09,1.5645814638022572e-09,0.0,1.8594161205431314e-60
0.32,0.3055781240571014,0.17601908918106493,0.0,-6.310247747097149e-09,3.091268400523404e-05,3.732407662073051e-05,0.03565129214133627,0.0,1.2578890319510735e-09,5.601733618797978e-09,0.0,3.7090355617448086e-60
0.33,0.3035777298524277,0.17790953078923533,0.0,-6.149359518990796e-09,1.8973687438188455e-05,2.249180433323584e-05,0.03231531096726139,0.0,6.429993741460633e-09,1.0099898860077412e-08,0.0,5.643021615881834e-60
0.34,0.2987149381598648,0.179338776884026,0.0,-5.262644043391454e-09,1.7260171565945636e-06,1.1842527873486783e-06,0.03118047362135312,0.0,1.2275591856035798e-08,1.4683370863305157e-08,0.0,7.469302314083342e-60
0.35,0.2912478046084079,0.1800798247447922,0.0,-3.553850621462378e-09,-2.033947510014052e-05,-2.5969925469320002e-05,0.03285626364181013,0.0,1.832638546462804e-08,1.8866196791434222e-08,0.0,8.956242910785737e-60
0.36,0.28162279758182557,0.1799747507374078,0.0,-9.921742074340368e-10,-4.606540498532067e-05,-5.75243650834802e-05,0.037669252308296056,0.0,2.3965684724112515e-08,2.207655385821553e-08,0.0,9.847748874595853e-60
0.37,0.2704315675035409,0.17895092620706574,0.0,2.3667701965658407e-09,-7.357755187739254e-05,-9.115621277676946e-05,0.04561565275996261,0.0,2.8457066416813322e-08,2.3697197311881413e-08,0.0,9.885135379581172e-60
0.38,0.25834823697497294,0.1770270597363976,0.0,6.363941091427963e-09,-0.00010030064060637322,-0.00012368888875114332,0.05635164395059139,0.0,3.099401184563813e-08,2.3121800357403305e-08,0.0,8.835150439157447e-60
0.39,0.24605564553098708,0.17430846222932952,0.0,1.072678427802188e-08,-0.00012305618271018083,-0.00015121572837567912,0.06922320621790394,0.0,3.0770640822686556e-08,1.982519414738199e-08,0.0,6.522691289645167e-60
0.4,0.2341734433116614,0.17097190800692116,0.0,1.5069042847586795e-08,-0.0001382535264292625,-0.00016933783747233018,0.0833331688052065,0.0,2.7071347839011895e-08,1.3443438571832491e-08,0.0,2.865840885802851e-60
0.41,0.22320292064911584,0.16724168171764825,0.0,1.890313892770097e-08,-0.00014217790790218906,-0.00017352039182712774,0.09763860308280418,0.0,1.9374459599116415e-08,3.857471704348064e-09,0.0,-2.0900427465647854e-60
