time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU
0.0,0.47735400208143763,0.2905715367944598,0.0,-8.198315292560859e-10,-1.2596861747071913e-07,-1.8118902962608712e-07,0.002736789764465164,0.0,7.2647547643723455e-09,6.8869700150892875e-09,0.0,8.851374918553475e-62
0.01,0.4871016211877615,0.2857806065788926,0.0,1.0293373523094813e-09,5.46684757487283e-08,1.0906734076680246e-08,0.002540973111339058,0.0,1.604653132684241e-08,1.3478696739528267e-08,0.0,2.325826665859786e-61
0.02,0.4956610548412411,0.2814810064878168,0.0,3.2602390606763987e-09,2.7768905745691044e-07,2.5331776924910366e-07,0.0022872558745839545,0.0,2.5402446797693868e-08,2.0342191107275375e-08,0.0,3.894751708827025e-61
0.03,0.5024192195689158,0.27804798344340637,0.0,5.727602401853946e-09,5.297030408963972e-07,5.326289075952017e-07,0.0019400785693761287,0.0,3.444785492361614e-08,2.6788397920008104e-08,0.0,5.452135055413091e-61
0.04,0.5069019426345353,0.27575247743598813,0.0,8.220939089020425e-09,7.905099926635355e-07,8.277301428538088e-07,0.0014559808546621312,0.0,4.209529071239751e-08,3.1989761090518775e-08,0.0,6.821987734110869e-61
0.05,0.508767363240611,0.2747371371119571,0.0,1.0470417867441033e-08,1.0335149386884588e-06,1.110096164844049e-06,0.0007945999839246842,0.0,4.7120793189620136e-08,3.503494463263969e-08,0.0,7.8019337770571e-61
0.06,0.5077998754818628,0.2750130936816263,0.0,1.216090223099612e-08,1.226965593099276e-06,1.3449640841504127e-06,-6.918149697989394e-05,0.0,4.8263171110957834e-08,3.5007532367213996e-08,0.0,8.178599199486423e-61
0.07,0.5039069768960821,0.2764729502428047,0.0,1.2954783061550383e-08,1.336093990084791e-06,1.4935195249321287e-06,-0.0011330838344944117,0.0,4.43540279629717e-08,3.1086401325986834e-08,0.0,7.74834973054303e-61
0.08,0.497119757717528,0.27891373754746884,0.0,1.2523430495573038e-08,1.326167354299939e-06,1.5161188722519962e-06,-0.002356549174401065,0.0,3.447236211086062e-08,2.2662439448817645e-08,0.0,6.342509795580767e-61
0.09,0.4875960625531086,0.28206430179511655,0.0,1.0586085330666724e-08,1.1663534031557912e-06,1.376467884656746e-06,-0.003652468000038224,0.0,1.8113170958289093e-08,9.46303419278815e-09,0.0,3.855465072765007e-61
0.1,0.47562384042729156,0.28561309674456026,0.0,6.9538679541150696e-09,8.341894299586714e-07,1.0465493097434714e-06,-0.004882823348084315,0.0,-4.644902181594045e-09,-8.327403665863504e-09,0.0,2.733022794616636e-62
0.11,0.4616211427417119,0.28923384035759486,0.0,1.5753918154128316e-09,3.203209848621423e-07,5.119533687409484e-07,-0.005859433948402494,0.0,-3.299174661965107e-08,-2.996532448899376e-08,0.0,-4.3000491596309096e-61
0.12,0.44612890015390316,0.292607750035658,0.0,-5.420651954373393e-09,-3.669435971650274e-07,-2.2287259235942966e-07,-0.0063507330921807985,0.0,-6.527951644263962e-08,-5.408060653472697e-08,0.0,-9.622745756866077e-61
0.13,0.4297932609790028,0.295442015321088,0.0,-1.3691478746861256e-08,-1.1978178385043032e-06,-1.130059757941948e-06,-0.006095158271411504,0.0,-9.898085960260698e-08,-7.86605940044371e-08,0.0,-1.5304885390306025e-60
0.14,0.4133361286796858,0.29748475679846337,0.0,-2.2660838198659774e-08,-2.1185827621675256e-06,-2.1551293360759852e-06,-0.004821258957614232,0.0,-1.3073358124170448e-07,-1.0110118460549968e-07,0.0,-2.081207839126503e-60
0.15,0.3975155812440105,0.29853694901150324,0.0,-3.15203638967838e-08,-3.051131069888167e-06,-3.2159029051936595e-06,-0.0022740691482641914,0.0,-1.564899673107877e-07,-1.1833727991306024e-07,0.0,-2.54860168141028e-60
0.16,0.3830810508237332,0.29846172418958034,0.0,-3.9257053512617536e-08,-3.895096527471335e-06,-4.204195559990067e-06,0.001753412651051053,0.0,-1.7178226446204686e-07,-1.270594041497876e-07,0.0,-2.8584317831374686e-60
0.17,0.37072902202525737,0.2971912857963756,0.0,-4.471083765075166e-08,-4.533025596457953e-06,-4.99085032503807e-06,0.007385785352126553,0.0,-1.7210600067302005e-07,-1.240155564841912e-07,0.0,-2.9340387956782267e-60
0.18,0.36106201031110646,0.2947314879904513,0.0,-4.666391713223389e-08,-4.838833207723886e-06,-5.4344511717605986e-06,0.014631313340882681,0.0,-1.5341020077957215e-07,-1.0638764896913895e-07,0.0,-2.7042032472314873e-60
0.19,0.35454935905646123,0.29116393723321965,0.0,-4.396047220791927e-08,-4.689484866846707e-06,-5.393734077340637e-06,0.023353240183285384,0.0,-1.1266874813246338e-07,-7.222074601494827e-08,0.0,-2.1125111272434293e-60
0.2,0.35148805755291407,0.2866450965003869,0.0,-3.565160086756386e-08,-3.979473602513846e-06,-4.7433102390329584e-06,0.03325172086549856,0.0,-4.8491228517542544e-08,-2.087161634606104e-08,0.0,-1.127587982783143e-60
0.21,0.35196668466528325,0.2814013500758243,0.0,-2.1156163130019696e-08,-2.637234260043496e-06,-3.39184435040798e-06,0.043861443911080746,0.0,3.828396619541218e-08,4.65680183949157e-08,0.0,2.4670165071551366e-61
0.22,0.355841186857799,0.27571861709396006,0.0,-4.2394164475072155e-10,-6.421925589482516e-07,-1.3013283967812734e-06,0.05456898991213512,0.0,1.4408487663959544e-07,1.2692731253485205e-07,0.0,1.9622310739687535e-60
0.23,0.3627319544786386,0.26992522082259385,0.0,2.591637338448809e-08,1.9592735289341665e-06,1.4943948653175162e-06,0.06465253522901568,0.0,2.6226928906104767e-07,2.1475062199016231e-07,0.0,3.920081721093083e-60
0.24,0.3720462610354304,0.2643674540572701,0.0,5.6444874110637054e-08,5.041023789896106e-06,4.874116395809018e-06,0.07334463651390619,0.0,3.830385831078553e-07,3.0229030871860374e-07,0.0,5.967900652721419e-60
0.25,0.3830219104631948,0.2593785256276843,0.0,8.889583701297511e-08,8.389764577843119e-06,8.6192826221034e-06,0.07991615766387161,0.0,4.936788796977542e-07,3.79752061015513e-07,0.0,7.902481270606561e-60
0.26,0.3947819699112111,0.25524312656709014,0.0,1.2018237830866474e-07,1.1705350457261695e-05,1.2412147469058052e-05,0.0837754814113183,0.0,5.791905099726072e-07,4.358332279961612e-07,0.0,9.478681786480749e-60
0.27,0.40639029985293185,0.2521615560758341,0.0,1.465188839289624e-07,1.46108086633369e-05,1.5844440631083493e-05,0.08457173969381496,0.0,6.233400845650194e-07,4.585730005119112e-07,0.0,1.0425391343775814e-59
0.28,0.4169029811695384,0.25021905418301427,0.0,1.6365384866903485e-07,1.667358149192177e-05,1.8438410582376585e-05,0.0822843938873718,0.0,6.101317221260713e-07,4.36503702467536e-07,0.0,1.0468661711630003e-59
0.29,0.42541767508904665,0.24936710500673484,0.0,1.6721689102660767e-07,1.743863741274246e-05,1.968122555074644e-05,0.0772767261329944,0.0,5.256465400423063e-07,3.600561489554048e-07,0.0,9.361358613280773e-60
0.3,0.43112619582408346,0.2494226178924455,0.0,1.5317204531085187e-07,1.647295866011635e-05,1.907249648336106e-05,0.0702929156404785,0.0,3.6014497541304735e-07,2.2313120380631023e-07,0.0,6.917789712106327e-60
0.31,0.4333724636552867,0.25008713999143506,0.0,1.1835551561335395e-07,1.341951806519987e-05,1.6183166006405505e-05,0.062390681977044574,0.0,1.1026904609916657e-07,2.470764973827006e-08,0.0,3.050799919682055e-60
0.32,0.4317110865513547,0.25098302646922527,0.0,6.106084811257592e-08,8.057298236054085e-06,1.072227457900369e-05,0.05481912653735324,0.0,-2.188731254144286e-07,-2.296823866378435e-07,0.0,-2.1921223020771074e-60
0.33,0.4259565647572782,0.2516997379105151,0.0,-1.8380722202395778e-08,3.623108428528886e-07,2.6063047584814226e-06,0.04886434145282621,0.0,-6.120035197796815e-07,-5.268097753308097e-07,0.0,-8.598001273102936e-60
0.34,0.4162124286642342,0.25184258550028277,0.0,-1.1709047204139425e-07,-9.43688974106657e-06,-7.975903086070366e-06,0.04568860683589057,0.0,-1.0426424308729678e-06,-8.451524422526221e-07,0.0,-1.5767628778658085e-59
0.35,0.40287231177426436,0.25107737167053984,0.0,-2.2927845599872867e-07,-2.0816838021662255e-05,-2.051105803830564e-05,0.04618557786308119,0.0,-1.4730434742525438e-06,-1.155060220738013e-06,0.0,-2.310992884156083e-59
