time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU
0.0,0.12588551002601048,0.07642694914693109,0.0,-1.047599007058757e-12,-6.07092971538633e-07,-4.019795801732146e-09,0.0013983628466999417,0.0,4.355216783506332e-12,4.4043862987087915e-12,0.0,5.5137311728990326e-64
0.01,0.13160925608840016,0.07757087584128765,0.0,-8.135592861699239e-13,0.030504961554582603,0.026961872615069007,0.0014960773898309984,0.0,8.793139442090768e-12,8.389841263977291e-12,0.0,-1.381772938546386e-63
0.02,0.13696635731041615,0.07884136125668875,0.0,-4.264254046760602e-13,0.05834063184925342,0.05156397906187785,0.0015383712070624778,0.0,1.3445279989286045e-11,1.2512920352130596e-11,0.0,-3.6800514370262846e-63
0.03,0.14192592111499883,0.08035120260491425,0.0,1.1188955192558557e-13,0.08121428630444034,0.07178045160891765,0.001491326933378606,0.0,1.785264032677579e-11,1.635281445554743e-11,0.0,-6.186258598760582e-63
0.04,0.14647685480161235,0.08218421324099662,0.0,7.821759608482632e-13,0.09750093641952023,0.08617505522692578,0.001321003271298057,0.0,2.146027903768221e-11,1.9407278139661155e-11,0.0,-8.677940450870976e-63
0.05,0.1506115059055771,0.08438748147363495,0.0,1.5454207493669145e-12,0.1063902039894227,0.09403153446519044,0.0009996721865166433,0.0,2.3653183289883707e-11,2.1126542722798397e-11,0.0,-1.0874586445531884e-62
0.06,0.15431865897641098,0.08696929168832108,0.0,2.341826532628709e-12,0.1078876193673488,0.0953547638098485,0.0005121100121645871,0.0,2.3808431540801636e-11,2.096160170321856e-11,0.0,-1.2453197790420794e-62
0.07,0.15758425900202505,0.0899015913842401,0.0,3.091875026876451e-12,0.10270203428345441,0.0907712428542541,-0.00013848606104165331,0.0,2.1362225895578054e-11,1.8425363232441875e-11,0.0,-1.3072748530045546e-62
0.08,0.16039720079558567,0.09312541985174617,0.0,3.699865021640242e-12,0.0920643948994387,0.08136892544894847,-0.0009254616295576771,0.0,1.5888341017628493e-11,1.3163332128302001e-11,0.0,-1.2407209141179112e-62
0.09,0.16275744530862754,0.09655789902219229,0.0,4.060195896436144e-12,0.07751937625540353,0.06851306241554081,-0.0017951343033387212,0.0,7.182342850854718e-12,5.028530774473913e-12,0.0,-1.0185763257125445e-62
0.1,0.1646839785507807,0.1000997847537796,0.0,4.066435557292834e-12,0.06072188950059452,0.053666350035272585,-0.0026653102311964805,0.0,-4.656224755882598e-12,-5.8465214458046995e-12,0.0,-6.237682277440079e-63
0.11,0.16622054601334568,0.10364296142663662,0.0,3.622912983249654e-12,0.04326060241996593,0.03823295234328007,-0.0034264827918512094,0.0,-1.915335455362457e-11,-1.8989549981637006e-11,0.0,-5.3812549246443e-64
0.12,0.16743768945054896,0.10707757203650359,0.0,2.6582256139245726e-12,0.026521672303075183,0.023438062567724204,-0.003946207180035103,0.0,-3.5412755092907095e-11,-3.3549821790448207e-11,0.0,6.749970532514684e-63
0.13,0.16843042333825334,0.11029868775471557,0.0,1.139675673837462e-12,0.011598262123711995,0.010247927223233557,-0.004076963598667208,0.0,-5.21020828299623e-11,-4.829107519540237e-11,0.0,1.5243612651993374e-62
0.14,0.1693119525175169,0.11321252218185245,0.0,-9.127180472018857e-13,-0.000754670108225376,-0.0006701181474633245,-0.0036675634670407494,0.0,-6.748388963741183e-11,-6.162535282448419e-11,0.0,2.4323243128757185e-62
0.15,0.17020510510070672,0.11574218717882444,0.0,-3.4143023533269833e-12,-0.010125266974678417,-0.008951983675444447,-0.0025778238795244653,0.0,-7.949984414550151e-11,-7.169495314699676e-11,0.0,3.313806590898028e-62
0.16,0.17123419415203692,0.1178328990574424,0.0,-6.20785046222694e-12,-0.016417170550033784,-0.014512440033415978,-0.000695820353559638,0.0,-8.591316677544894e-11,-7.650630965717901e-11,0.0,4.063847252443989e-62
0.17,0.17251983247203345,0.11945644178182223,0.0,-9.061550055341694e-12,-0.01979866641558989,-0.017500181088646337,0.0020435225017663514,0.0,-8.450908075055723e-11,-7.41148637058178e-11,0.0,4.563923682230828e-62
0.18,0.17417718987427383,0.12061463376557406,0.0,-1.167473178391479e-11,-0.02063802861653954,-0.018240690802805284,0.005640429527168458,0.0,-7.334658768577363e-11,-6.285408538609205e-11,0.0,4.691471611150453e-62
0.19,0.17631538491959423,0.1213415086946922,0.0,-1.3692778512056168e-11,-0.01943379705548017,-0.017174630387213348,0.010015451241166524,0.0,-5.1047383708870355e-11,-4.159505957544841e-11,0.0,4.332407507784201e-62
0.2,0.17903430385558886,0.12170384362780673,0.0,-1.4732022705570614e-11,-0.016747341969140885,-0.014798244614674287,0.015000775145078719,0.0,-1.7099804300742968e-11,-1.0016017682696913e-11,0.0,3.3960683762077526e-62
0.21,0.18241619751267282,0.12179953881234606,0.0,-1.4414547112170221e-11,-0.013143315750859532,-0.011610735497674779,0.020340529803209217,0.0,2.7851913451822826e-11,3.1145439255115116e-11,0.0,1.8315588402410818e-62
0.22,0.18651216830596815,0.12175324750510833,0.0,-1.2411681702828322e-11,-0.009141704892711175,-0.008071883341838023,0.02570235399932445,0.0,8.176910200859625e-11,7.989006942874997e-11,0.0,-3.559317814963648e-63
0.23,0.1913265254522325,0.1217086792370856,0.0,-8.493700664182298e-12,-0.00518337474426483,-0.004571586728765709,0.030701494593006796,0.0,1.41070956530632e-10,1.3284052489891749e-10,0.0,-3.090661901476878e-62
0.24,0.19680327046363083,0.12181725959654566,0.0,-2.5818653708466687e-12,-0.0016093966210674298,-0.0014115764316199682,0.034937347324141325,0.0,2.006184090311543e-10,1.8524663723444589e-10,0.0,-6.21582180377217e-62
